"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"SLC22A9",0,1,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0
"SLC23A1",3,2,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC23A2",1,5,21,39,30,6,0,0,2,36,23,21,25,31,14,21,9,19,13,15,15,29,20,5,14
"SLC23A3",0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC24A1",0,1,12,9,3,6,1,0,8,12,10,1,10,2,0,0,3,0,0,10,11,0,11,1,5
"SLC24A2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC24A3",0,5,4,12,13,2,2,21,16,18,9,2,3,0,1,14,3,1,1,4,0,7,10,3,0
"SLC24A4",0,0,0,0,1,0,0,1,0,10,0,1,0,0,5,0,1,0,0,1,2,0,0,0,6
"SLC24A5",0,4,0,3,0,0,0,0,1,0,9,0,9,0,0,0,0,2,0,0,0,0,0,9,0
"SLC25A1",0,1,2,13,7,1,0,0,6,4,0,6,9,0,1,9,2,5,0,5,0,5,5,2,0
"SLC25A10",5,7,7,4,3,2,0,0,10,11,4,8,6,0,0,7,7,5,22,0,4,0,3,7,0
"SLC25A11",12,24,10,31,9,3,0,14,25,36,31,26,18,36,7,22,9,7,4,19,19,76,30,29,8
"SLC25A12",0,9,18,11,3,3,0,3,6,7,32,9,1,12,12,17,5,9,0,7,9,11,11,3,5
"SLC25A13",2,21,3,27,17,0,0,37,5,35,22,21,20,3,13,11,10,3,3,9,25,6,15,22,25
"SLC25A14",0,6,16,0,6,1,6,2,6,17,4,6,5,3,6,15,0,0,0,0,2,28,0,10,1
"SLC25A15",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A16",0,22,35,11,13,6,15,30,18,1,20,10,16,15,11,28,6,3,2,13,9,0,12,18,41
"SLC25A17",0,12,15,17,7,10,14,0,9,18,4,9,13,13,12,2,1,7,0,8,7,3,10,8,0
"SLC25A18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A19",1,0,2,6,10,3,0,0,0,0,2,2,6,0,0,1,2,0,0,4,13,0,15,1,4
"SLC25A2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A20",12,3,0,0,12,8,19,32,3,0,11,8,12,25,6,10,3,3,21,3,9,0,10,11,6
"SLC25A21",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"SLC25A22",22,7,6,7,10,15,13,0,9,15,3,5,0,1,0,11,3,4,0,3,3,1,6,7,11
"SLC25A23",12,1,1,11,4,5,0,9,10,29,14,7,7,8,1,12,6,6,2,2,4,6,5,5,13
"SLC25A24",2,5,8,13,31,12,11,9,15,20,11,22,37,6,8,18,15,12,33,24,58,12,18,20,18
"SLC25A25",0,16,5,3,23,18,1,27,17,47,12,30,5,9,4,0,1,15,0,17,14,28,22,7,1
"SLC25A26",3,9,3,1,7,9,9,2,14,17,10,14,10,6,18,17,4,0,1,4,16,10,15,10,0
