"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ACADS",61,65
"ACADSB",46,60
"ACADVL",94,117
"ACAN",0,0
"ACAP1",11,3
"ACAP2",26,32
"ACAP3",84,47
"ACAT1",7,23
"ACAT2",126,117
"ACBD3",72,90
"ACBD4",1,0
"ACBD5",94,110
"ACBD6",11,17
"ACBD7",0,0
"ACCS",1,1
"ACCSL",0,0
"ACD",2,4
"ACE",3,2
"ACE2",1,3
"ACER1",21,7
"ACER2",0,0
"ACER3",12,22
"ACHE",0,0
"ACIN1",134,156
"ACKR1",6,5
"ACKR2",1,1
"ACKR3",144,155
"ACKR4",0,0
"ACLY",65,55
"ACMSD",0,0
"ACO1",4,7
"ACO2",44,72
"ACOT1",0,0
"ACOT11",29,12
"ACOT12",0,0
"ACOT13",7,11
"ACOT2",0,1
"ACOT4",2,1
"ACOT6",0,0
"ACOT7",22,15
"ACOT8",12,6
"ACOT9",1,0
"ACOX1",30,52
"ACOX2",2,0
"ACOX3",5,9
"ACOXL",0,0
"ACP1",15,32
"ACP2",10,24
"ACP5",75,49
"ACP6",1,1
"ACPP",8,16
"ACR",0,0
"ACRBP",0,0
"ACRV1",0,0
"ACSBG1",2,5
"ACSBG2",0,0
"ACSF2",10,13
"ACSF3",8,16
"ACSL1",27,38
"ACSL3",27,35
"ACSL4",5,9
"ACSL5",0,11
"ACSL6",0,0
"ACSM1",0,0
"ACSM2A",0,0
"ACSM2B",0,0
"ACSM3",1,0
"ACSM4",0,0
"ACSM5",1,0
"ACSM6",0,0
"ACSS1",2,8
"ACSS2",23,26
"ACSS3",0,0
"ACTA1",0,0
"ACTA2",139,60
"ACTB",3089,1755
"ACTBL2",0,0
"ACTC1",0,0
"ACTG1",1108,1136
"ACTG2",1,0
"ACTL10",1,5
"ACTL6A",4,14
"ACTL6B",0,0
"ACTL7A",0,0
"ACTL7B",0,0
"ACTL8",1,1
"ACTL9",0,0
"ACTN1",859,483
"ACTN2",0,0
"ACTN3",0,0
"ACTN4",173,191
"ACTR10",49,58
"ACTR1A",37,39
"ACTR1B",32,58
"ACTR2",1329,1242
"ACTR3",164,244
"ACTR3B",0,0
"ACTR3C",2,0
"ACTR5",1,4
"ACTR6",4,9
"ACTR8",3,13
"ACTRT1",0,0
"ACTRT2",0,0
"ACTRT3",7,4
"ACVR1",22,12
"ACVR1B",129,112
"ACVR1C",0,1
"ACVR2A",4,2
"ACVR2B",6,9
"ACVRL1",12,4
"ACY1",0,0
"ACY3",0,0
"ACYP1",9,13
"ACYP2",5,5
"ADA",4,3
"ADAD1",0,0
"ADAD2",0,1
"ADAL",2,2
"ADAM10",162,165
"ADAM11",0,1
"ADAM12",1,2
"ADAM15",24,50
"ADAM17",39,35
"ADAM18",0,0
"ADAM19",8,11
"ADAM2",0,0
"ADAM20",1,1
"ADAM21",0,0
"ADAM22",0,0
"ADAM23",20,19
"ADAM28",0,1
"ADAM29",0,0
"ADAM30",0,0
"ADAM32",0,0
"ADAM33",1,0
"ADAM7",0,0
"ADAM8",7,1
"ADAM9",97,74
"ADAMDEC1",2,2
"ADAMTS1",23,10
"ADAMTS10",4,1
"ADAMTS12",1,0
"ADAMTS13",0,0
"ADAMTS14",5,0
"ADAMTS15",14,4
"ADAMTS16",0,0
"ADAMTS17",3,1
"ADAMTS18",0,0
"ADAMTS19",0,0
"ADAMTS2",17,3
"ADAMTS20",0,0
"ADAMTS3",0,0
"ADAMTS4",8,0
"ADAMTS5",1,3
"ADAMTS6",1,0
"ADAMTS7",3,0
"ADAMTS8",2,2
"ADAMTS9",0,0
"ADAMTSL1",1,0
"ADAMTSL2",1,1
"ADAMTSL3",0,0
"ADAMTSL4",81,62
"ADAMTSL5",14,10
"ADAP1",15,5
"ADAP2",18,2
"ADAR",38,49
"ADARB1",27,28
"ADARB2",0,1
"ADAT1",3,2
"ADAT2",1,7
"ADAT3",0,2
"ADCK1",5,0
"ADCK2",121,136
"ADCK5",7,1
"ADCY1",1,0
"ADCY10",0,0
"ADCY2",0,0
"ADCY3",43,48
"ADCY4",5,2
"ADCY5",0,0
"ADCY6",6,17
"ADCY7",17,14
"ADCY8",0,0
"ADCY9",2,0
"ADCYAP1",0,0
"ADCYAP1R1",0,0
"ADD1",32,27
"ADD2",0,0
"ADD3",52,50
"ADGB",0,0
