"GENE_SYMBOL","GSM3036125","GSM3036126","GSM3036127","GSM3036128","GSM3036129","GSM3036130","GSM3036131","GSM3036132","GSM3036133","GSM3036134","GSM3036135"
"MYH8",4.443043579,4.156109378,4.425653627,4.370009822,4.311636057,4.408925666,4.447841509,4.496486314,4.503908409,4.582163192,4.72997778
"MYH4",4.300989274,3.936229283,4.205456895,4.169494718,4.179381788,4.209042999,4.110172297,4.139833508,4.257565465,4.162033087,4.23151118
"MYH1",4.268488379,4.056625773,4.38324729,4.265671723,4.227067748,4.246369735,4.28497371,4.410436627,4.286143596,4.436212941,4.524489027
"MYH2",4.156483501,4.019587868,4.275126383,4.19817056,4.068187746,4.216739533,4.14246364,4.235308506,4.293379135,4.293379135,4.183862628
"MYH3",4.49325323,4.194225423,4.466868424,4.369241851,4.322395563,4.472303684,4.284918533,4.462934426,4.449278553,4.537227908,4.677946875
"SCO1",4.580034381,4.406787369,4.630989385,4.338540194,4.525107248,4.508146607,4.601430134,4.457264683,4.406787369,4.529079378,4.55965238
"TMEM220",4.984673584,4.599681216,4.728012006,4.811651761,4.636567716,4.942964795,4.645321919,4.785389154,4.836599596,4.639167613,4.737883605
"PIRT",4.714261278,4.705183178,4.550855469,4.709750554,4.690938142,4.850843646,4.662719523,4.775593997,4.805042283,4.886745188,4.886745188
"ZNF18",4.487198427,4.562888553,4.553427287,4.460469029,4.38964637,4.584408682,4.451616196,4.38964637,4.59127235,4.316895642,4.506120958
"ELAC2",4.442350977,4.586121624,4.524505633,4.478072907,4.435563913,4.495076505,4.588596292,4.5290837,4.442350977,4.493697637,4.493697637
"HS3ST3A1",4.125794318,3.848506556,3.911119921,4.103054188,4.246666632,4.112628351,4.093480025,3.997738395,4.152628618,4.22418675,4.295744882
"CDRT15",5.355768478,4.873807007,5.114787743,4.943246392,5.200722629,5.219794943,5.191186472,5.191186472,5.364374933,5.622568578,5.53650403
"PMP22",4.731495081,4.719898707,4.47637485,4.655371836,4.981483401,4.520154846,4.798542767,4.376983915,4.487971224,4.638724088,4.777880578
"TEKT3",4.418132692,4.113214331,4.328450821,4.278465285,4.268906045,4.421853879,4.4027354,4.364498442,4.507814562,4.427100879,4.310514447
"TVP23C",4.807469257,4.529121576,4.586710752,4.609367638,4.493064148,4.65409975,4.698831861,4.627260483,4.596308948,4.61550534,4.625103535
"ZSWIM7",5.448032898,5.448032898,5.484891075,5.121547435,5.750848337,5.292468668,5.432313313,5.377929284,5.42346078,5.374316545,5.300600192
"NCOR1",5.119341459,5.210962349,4.924647066,4.920311144,5.405473947,4.896450678,5.262311152,4.785101838,4.936099677,4.78721573,4.913194455
"CENPV",4.96152327,4.701934156,4.711918353,4.574092225,4.81915444,4.565641803,4.785352755,4.734650227,4.741870943,4.84171291,4.63204478
"ZNF287",4.828987652,4.443310936,4.680650453,4.565543034,4.454268119,4.719615994,4.44570851,4.711056385,4.532313255,4.710317893,4.700428747
