"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"CD82",16646,11566,18844,15299,5011,23771,29802,24858,22991,16285,9750,71843,38210,8402,35146
"CD83",5237,3339,2698,996,1683,5039,1034,2899,2267,2472,4269,3685,5608,1675,16200
"CD84",520,3317,6068,726,1973,12173,1200,2340,374,3678,303,881,12052,2144,3161
"CD86",490,1586,4170,1190,1090,8411,941,3301,210,2189,258,622,6768,1379,1685
"CD8A",145,1365,451,330,765,290,415,907,451,2142,933,124,21775,3854,944
"CD8B",116,892,266,161,599,286,287,543,214,747,6235,135,8363,2941,485
"CD9",59533,42571,127279,109308,4890,31273,46597,205772,69769,52278,41648,156012,53255,27770,87486
"CD93",801,2774,3531,1206,8638,12710,17939,7055,4605,846,2477,10817,4403,2120,7545
"CD96",420,832,748,196,989,277,784,601,97,1206,1137,36,8584,2781,673
"CD99",16724,29717,48698,17691,43854,50762,48604,26639,37199,37597,44947,45112,44612,17389,66448
"CD99L2",2007,1519,3255,2839,13162,5604,8751,2346,8351,5793,1231,2473,7712,634,3196
"CDA",113,466,254,98,1305,4150,819,898,450,3030,250,172,514,1990,670
"CDADC1",602,1030,895,1077,1487,948,1118,665,1576,1282,888,1368,935,121,3079
"CDAN1",1238,647,795,1494,1407,1237,1082,653,1359,1113,1685,1492,1693,145,1821
"CDC123",18502,10384,29282,9943,7285,6027,8505,10588,56749,18311,12665,26049,14313,6661,45552
"CDC14A",586,510,374,125,681,425,586,729,685,266,981,784,837,1583,688
