"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"A1BG",27,55,45,71,8,68,7,45,6,16417,195,91,85,131,161
"A1CF",1,2,11,1,26,4,0,0,13,21337,1,21,1,0,15
"A2M",7875,19143,56224,10879,110483,29284,184380,320761,47905,105241,16596,273866,59013,1161,62569
"A2ML1",941,674,124,0,8,138,4265,2624,7,923,2336,4023,2772,91,399
"A3GALT2",0,2,14,0,0,0,0,0,24,0,239,16,0,0,6
"A4GALT",574,852,1545,127,2452,2151,3950,7843,413,307,471,5960,2357,535,2217
"A4GNT",0,4,0,5,1,0,6,0,0,0,48,17,0,0,0
"AAAS",2536,2204,3292,6920,4186,3489,4108,4862,5443,4105,7772,5089,3761,1800,4750
"AACS",910,2395,2598,8230,14312,2602,7862,10425,7448,5467,3066,7974,9331,2685,8439
"AADAC",0,0,0,0,128,49,1514,0,0,30215,5,1,114,5,29
"AADACL2",1,0,0,0,6,0,1,0,0,0,16,0,0,1,0
"AADACL3",0,2,1,0,0,2,1,0,1,1,0,0,0,1,0
"AADACL4",0,0,0,0,16,0,0,0,1,0,0,0,0,0,0
"AADAT",1938,881,892,121,469,300,394,309,3416,4933,1324,1470,2738,244,621
"AAGAB",4066,4128,5871,10548,4008,4518,4753,15327,11653,4866,6698,7824,8997,1642,9251
"AAK1",780,2720,2718,1301,7210,5576,4328,2872,1721,1492,5941,4212,4539,2439,3972
"AAMDC",1715,2641,4144,35357,6777,2699,5434,1816,2674,4161,5961,3953,5060,544,4542
"AAMP",16518,12968,15388,15750,17493,12820,16314,13688,29885,18102,25048,18667,17731,3018,18524
"AANAT",2,8,14,0,0,10,5,21,43,11,1,0,4,14,29
"AAR2",8825,4750,5996,14143,7322,4848,8011,6826,9853,9247,5822,12267,10788,1501,7180
"AARD",1249,3748,5323,7,14,16,30643,5447,1210,1726,20771,53853,109,229,65784
"AARS2",1421,1412,1891,2900,1609,2123,2593,6317,5092,2703,4878,3689,2593,361,4675
"AARSD1",213,184,266,483,200,164,216,278,458,253,728,503,155,49,302
"AASDH",1468,1012,860,1743,1154,1139,1053,1388,2405,1015,1656,1401,2078,850,2119
"AASDHPPT",5377,2409,2878,4510,4690,3084,4606,5449,15142,5601,3533,7869,7067,1891,7349
"AASS",329,400,57,47,2082,230,825,148,114,1860,681,65,121,17,295
"AATF",5251,3074,5390,21549,5206,7603,6650,7816,13980,6442,7542,11915,8792,1728,10291
"AATK",445,84,306,95,306,305,144,363,740,288,1540,674,2,267,461
"ABAT",1630,258,475,5349,875,450,543,288,383,26866,269,326,1500,561,67
"ABCA1",470,1406,2403,564,7185,13252,5114,3583,713,2337,955,2982,3941,1021,1769
"ABCA10",8,13,0,1,458,19,382,13,2,10,132,1,43,0,51
"ABCA12",7,85,12,107,0,440,198,320,1,103,590,43,453,18,11
"ABCA13",2,11,0,0,1,34,8,194,65,87,2973,1910,1493,114,3030
"ABCA2",2072,644,637,1000,2763,1505,2605,3498,2524,2678,1717,856,2881,131,7082
"ABCA3",9048,2264,1307,14059,2588,1338,3013,7274,6983,2159,7171,6082,1268,1747,10034
"ABCA4",328,35,149,255,64,43,237,1,148,633,2188,931,26,137,3864
"ABCA5",92,578,175,939,2404,509,940,1020,642,3741,4954,1380,1018,260,1229
"ABCA6",20,178,287,40,3436,583,2680,572,65,5362,102,103,829,113,217
"ABCA7",129,334,278,1100,2411,648,2029,1489,599,661,1339,1388,1877,971,902
"ABCA8",60,25,25,62,14580,196,6954,125,20,1859,28,140,356,34,133
"ABCA9",1,22,7,4,987,55,528,8,23,394,57,67,228,1,149
"ABCB1",325,104,133,78,396,30,1017,361,1546,1815,19,23,2124,0,125
"ABCB10",4686,2158,2721,6477,2914,2582,3745,2245,6590,5364,5225,6467,3420,1622,12716
"ABCB11",0,0,4,0,34,1,2,0,0,1743,0,0,31,8,0
"ABCB4",8,30,55,180,181,127,137,17,85,8103,17,104,146,170,230
"ABCB5",0,0,32,0,38,0,24,0,36,0,78,13,5,1,32
"ABCB6",331,140,362,354,803,332,410,425,867,759,618,350,326,38,273
"ABCB7",1671,798,1276,2112,1210,1159,1411,1004,3775,2172,2555,1814,1864,587,2254
"ABCB8",2093,1767,4319,3895,2915,2075,3963,1550,12965,3776,3589,4389,3925,389,4306
"ABCB9",447,530,472,4567,264,1066,845,1466,424,2312,1771,1108,1632,324,3877
"ABCC1",4145,805,1920,1849,1155,2743,1935,3453,2322,1036,1665,5627,3901,1519,1732
"ABCC10",1228,1633,1617,1976,1154,1773,2157,3382,3226,2068,1682,3226,2470,135,7377
"ABCC11",23,47,31,69,104,7,83,9,44,151,63,56,572,37,83
"ABCC12",11,0,0,0,0,1,6,0,4,0,0,2,10,0,2
"ABCC2",8,2,9,399,199,233,50,180,72,4634,20,79,6,43,18
"ABCC3",313,746,1139,103,519,10569,742,1130,2700,5882,421,686,3677,1262,4881
"ABCC4",3788,1135,963,153,728,1219,1158,3113,6739,4209,342,1594,13651,1908,7212
"ABCC5",3655,2450,3229,189,969,1237,1431,2602,4807,1884,6048,9759,3111,616,7374
"ABCC6",126,161,925,1963,2686,179,3907,322,59,10554,92,159,1126,134,25
"ABCC8",0,0,1,587,1,0,18,0,0,1,134,1,1425,0,0
"ABCC9",386,257,266,186,4194,1412,4080,2541,1126,2275,201,1299,640,153,569
"ABCD1",526,678,2941,1704,2040,2580,2176,865,1572,2213,793,3508,4851,482,1203
"ABCD2",2,174,1,0,5845,22,2311,0,46,87,54,51,904,33,79
"ABCD3",4838,4107,6742,9088,4105,2192,4431,3003,17558,12005,8478,6983,5523,1270,28177
"ABCD4",1788,2429,3470,4164,5437,3813,7242,2471,2401,6015,3697,3107,4810,275,3142
"ABCE1",15891,5638,7393,6542,6498,5760,5753,10489,29282,7190,5677,14375,9884,3403,14769
"ABCF1",6686,9284,5487,8874,5454,9594,8415,9048,10725,6221,15595,20674,9381,2821,16526
"ABCF2",9197,6586,11227,8239,7493,4678,8781,9889,51300,4405,6731,14972,7911,956,9645
"ABCF3",6899,3677,7465,10939,7129,5886,6403,8167,23855,7243,11684,14414,11595,1546,20126
"ABCG1",699,998,2808,9810,4043,10886,6548,3390,1231,3066,2358,4364,17377,1214,31360
"ABCG2",66,59,408,175,716,172,677,533,168,3469,22,176,369,1468,2356
"ABCG4",17,1,10,14,63,0,73,144,0,11,65,314,29,6,0
"ABCG5",22,15,48,6,49,0,12,6,42,4526,60,17,0,2,4
"ABCG8",1,0,19,0,9,1,16,0,0,7590,0,0,1,1,0
"ABHD1",111,159,87,96,305,10,393,75,73,362,145,167,49,30,40
"ABHD10",1908,3315,3531,6352,3313,2057,2947,4256,9170,4666,6320,7464,5472,1215,11975
"ABHD11",3008,4304,10702,12292,2092,2556,6883,4563,10350,6987,7214,9265,10525,1661,15634
"ABHD12",10622,10285,13246,19594,6439,10516,13987,11941,10139,13936,19825,15761,20301,2619,43839
"ABHD12B",14,143,28,2,80,196,70,2,10,19,249,139,111,199,19
"ABHD13",7207,1870,1964,2906,2465,1782,2256,3614,4252,2088,2934,3054,3733,1921,3741
"ABHD14A",1322,1725,1761,1135,3491,1751,2635,1272,3386,2565,2968,2328,2475,1041,2102
"ABHD14A-ACY1",6,11,14,8,18,6,11,4,12,33,16,26,9,2,19
"ABHD14B",2239,2076,1846,9318,14097,3416,10444,7201,4489,11521,3343,2996,3608,1338,4135
"ABHD15",460,744,861,2650,11625,1548,4816,898,1157,5592,2098,764,2509,541,1315
"ABHD16A",540,507,994,1080,482,458,545,732,1512,1166,859,1067,990,142,1164
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",4856,5293,5851,8039,8911,9243,10178,7019,4002,5969,7171,8930,8732,5231,10495
"ABHD17B",2003,1565,1757,4910,1215,1103,1824,1705,2520,1926,1282,2835,2802,839,1520
"ABHD17C",3353,5152,2953,10766,559,1777,1654,11012,3605,1019,2701,3529,2379,1083,7239
"ABHD2",1226,3166,2486,2021,2687,7063,4266,21704,3027,10918,10582,5709,6483,2146,7296
"ABHD3",1176,2216,2844,9309,3066,1297,2258,2378,1963,3184,5182,4795,5448,1717,6092
"ABHD4",1723,1860,4689,7484,5611,5070,6570,2646,5785,2496,6254,3487,7834,1196,2631
"ABHD5",1920,957,1457,2767,8341,1661,3374,1904,2984,1272,2814,2971,1145,1321,3522
"ABHD6",256,739,1095,1597,4255,1459,2335,1761,1148,6605,399,1453,2420,201,889
"ABHD8",7755,1247,2448,1209,1456,2774,1110,1336,1869,2397,2056,2449,3819,424,2025
"ABI1",6915,5283,10905,13240,7187,7679,6076,7921,13020,11013,7489,27336,14207,4358,13636
"ABI2",8848,5712,3071,2166,2360,3579,3427,4121,6280,3806,10680,6464,3021,1166,16370
"ABI3",665,2437,3352,1099,1300,2103,2744,1671,1479,2352,408,743,5868,2530,3362
"ABI3BP",68,578,327,380,4747,455,4189,1062,56,342,186,828,1836,5,1497
"ABL1",8192,1810,3847,5540,8401,7360,11049,5729,12620,7072,3730,14495,7043,391,5613
"ABL2",2030,3323,1213,2428,1210,4908,2965,5721,2642,1338,5501,7963,1506,926,4245
"ABLIM1",2774,5887,18076,8405,17875,2997,19676,2211,15600,4133,1294,15225,11193,3114,9506
"ABLIM2",490,6,768,64,345,548,820,1661,490,86,543,171,432,29,1117
"ABLIM3",160,47,490,1706,11599,1560,9042,1754,286,3259,309,682,2259,653,325
"ABO",474,123,36,39,472,70,419,139,48,30,192,116,67,104,405
"ABR",2888,2047,1952,3990,4243,11781,4110,4560,3354,2624,4098,7240,10120,1912,8959
"ABRA",0,20,8,4,22,0,0,0,0,5,0,0,1,0,16
"ABRACL",10131,11775,23551,5752,1724,6638,6426,3043,22167,12995,21153,10738,10484,7128,40288
"ABT1",10619,5851,9240,11175,4751,7446,5476,6476,8495,6704,10319,15383,7387,4058,12947
"ABTB1",1837,1442,5128,1832,8902,4700,6455,3303,1416,2410,4905,5608,4869,8681,4876
"ABTB2",966,1383,2179,993,328,356,732,2844,6058,1318,1481,11611,2204,412,488
"ACAA1",2498,2923,7610,3864,9662,5162,10269,5035,11228,36901,8694,6584,4592,2770,6657
"ACAA2",15374,2543,11777,1122,28373,9113,24241,2987,29354,60467,12337,9028,7126,2651,11428
"ACACA",1886,1656,1762,3815,8408,1142,3936,3082,6045,5594,4282,5439,4153,111,3281
"ACACB",311,576,327,1432,52001,444,17203,61,465,4247,4131,552,424,151,898
"ACAD10",1131,1260,991,5400,2610,858,2601,3616,3008,3997,5281,3176,2038,519,3471
"ACAD11",13,14,20,34,151,14,77,49,39,220,55,55,60,0,47
"ACAD8",1858,2026,5089,1426,4478,2095,4414,2344,11522,4265,2723,5083,8585,946,4959
"ACAD9",3308,4117,5779,5804,8177,3653,5233,7051,13255,6002,9527,17326,5501,1548,11636
"ACADL",7,87,73,0,4624,30,1436,19,124,2084,3,76,1220,15,0
"ACADM",5913,3922,9336,8757,14188,3271,7947,2867,16019,25082,10464,5233,9045,1740,22864
"ACADS",1686,2167,3577,3236,28754,4211,15836,2791,2413,33434,7112,4374,3784,394,3119
"ACADSB",939,1415,384,7556,4212,868,3351,1109,1212,40405,1365,1863,3010,149,6251
"ACADVL",12014,8498,26744,21861,59212,29819,56015,25288,52576,65893,60813,42066,47297,5912,36510
"ACAN",20,573,124,90,23,157,937,823,243,0,520,3715,134,0,693
"ACAP1",564,1632,808,493,2167,1991,1069,1183,70,1553,3843,364,7652,5235,1075
"ACAP2",5723,4735,5252,5138,6341,7532,5644,6399,7607,3438,17687,11690,8654,8605,17537
"ACAP3",1011,1614,2611,3344,2254,3172,4043,2366,2225,3450,3494,1933,2287,143,7695
"ACAT1",3359,4438,6288,5457,23766,3602,15156,3444,23389,86402,4993,11035,13973,1816,6443
"ACAT2",10296,4228,4356,2839,2891,2453,2744,2871,17058,27422,5334,8565,4177,1794,5909
"ACBD3",7699,4040,7030,23026,5372,9823,8297,10200,10117,12356,23682,24540,8593,2274,27870
"ACBD4",1069,361,696,2272,1871,867,2309,637,831,6025,983,819,1115,438,541
"ACBD5",3306,1982,3840,5925,4488,3390,3890,2671,4757,12096,2862,7316,4655,1544,6846
"ACBD6",9577,5275,4881,6267,2918,4384,4607,3243,8287,6595,10322,14044,4368,3106,12776
"ACBD7",275,126,16,1,7,16,6,88,173,150,201,40,4,198,151
"ACCS",257,394,1154,42,803,290,735,348,871,615,895,662,916,6,1025
"ACCSL",0,1,0,0,0,0,2,0,0,0,0,0,1,40,0
"ACD",2939,955,3297,1590,1815,2781,2459,3093,2157,1803,2456,3870,2541,903,3336
"ACE",272,1019,836,391,3265,7788,3382,4916,1406,970,838,1321,3994,25,1229
"ACE2",64,25,968,165,238,0,639,359,1823,111,57,623,1720,0,16
"ACER1",6,25,2,11,29,0,48,0,39,24,0,1,0,2,46
"ACER2",134,11,26,717,292,13,349,256,233,39,1,361,12,0,210
"ACER3",1281,2490,1872,803,6424,3389,4235,1469,2938,3985,3723,2831,3379,1410,3191
"ACHE",59,220,265,35,158,242,126,349,197,694,143,65,225,374,147
"ACIN1",2503,4928,2754,3229,2781,4127,2959,3770,5477,2206,16605,13936,2909,2554,4119
"ACKR1",896,1448,572,91,19910,0,60184,13,362,179,557,26,5274,1018,3081
"ACKR2",9,18,48,478,353,259,758,146,78,258,119,202,772,0,96
"ACKR3",456,1136,3560,3037,15608,9122,10151,9076,2990,1077,1010,12855,3269,314,4892
"ACKR4",1,77,382,81,513,61,387,577,128,10,98,313,174,1,107
"ACLY",5392,4569,8758,29932,20369,6662,18519,18555,26628,16121,8470,32494,13853,3864,24663
"ACMSD",15,4,4,1,1,14,13,0,35,11147,81,3,0,0,0
"ACO1",2940,3694,4355,2755,76124,6879,33162,3970,7931,16526,1526,5720,13016,1733,4766
"ACO2",5187,4378,7566,15358,27202,5342,15842,18302,22201,20760,7193,20158,19359,4471,53042
"ACOT1",225,429,901,946,2964,574,1342,351,2265,4888,1093,485,477,86,961
"ACOT11",507,171,734,30,118,1471,66,778,2198,250,216,254,333,44,1291
"ACOT12",0,0,0,0,3,1,4,0,1,5112,0,0,0,0,0
"ACOT13",4942,3101,6499,5511,4148,3716,3506,2945,4828,9600,5805,6772,5260,2019,4675
"ACOT2",2233,3628,3398,5433,23295,2942,9371,2919,3584,13914,4679,4936,3930,574,5651
"ACOT4",218,533,470,276,2324,1079,1538,672,470,3580,404,1136,2576,454,420
"ACOT6",2,0,0,0,4,0,19,0,0,25,13,0,1,0,0
"ACOT7",6729,6848,3906,4510,1237,6737,2438,8285,7319,6126,3034,5773,9432,2982,15516
"ACOT8",4392,2953,5649,3872,1749,2497,1614,2341,2033,3984,5366,4465,4328,776,3063
"ACOT9",4062,2914,4304,4105,3724,4263,6660,3692,9523,8319,4161,7357,6340,1664,10926
"ACOX1",3639,3789,4363,4084,11775,4374,10100,3639,17928,19167,9307,7200,6665,2912,9171
"ACOX2",38,70,207,17337,4146,895,2248,494,66,18950,12,489,281,120,1061
"ACOX3",2099,1200,4203,3276,2454,2590,4674,2177,5206,3831,1783,2608,5013,533,6553
"ACOXL",60,73,59,10,70,18,35,126,12,963,197,46,334,39,406
"ACP1",20228,7995,39339,12163,8081,10311,9865,16107,38155,19042,29368,25415,15101,8615,23707
"ACP2",2945,5647,12650,6163,6252,12514,6791,7596,16051,15065,4904,13912,16756,1510,7532
"ACP5",1923,5658,15214,3557,863,15130,1037,4424,744,7048,880,1526,33018,787,6544
"ACP6",3170,928,3143,1491,949,1210,2092,861,1804,2758,2988,1996,3975,504,1642
"ACR",3,0,6,0,0,0,4,8,4,0,22,11,0,0,21
"ACRBP",80,187,294,308,856,178,306,195,101,494,377,158,433,4519,322
"ACRV1",17,16,27,2,2,41,3,17,43,21,149,35,9,0,7
"ACSBG1",12,37,22,7,28,44,59,5,17,27,33,8,83,80,25
"ACSBG2",19,0,9,37,2,9,25,15,8,4,13,14,17,2,5
"ACSF2",786,441,4921,5699,3937,1691,3229,1091,3129,2387,3218,2881,2089,251,961
"ACSF3",77,2394,2382,3044,3208,2509,2268,3274,3164,3977,6640,3504,4023,1170,13357
"ACSL1",5839,8540,5895,1117,371891,9751,93605,16389,6873,127486,3886,8672,57315,7900,8566
"ACSL3",13069,17153,13950,34255,11437,8992,9732,22485,49906,12244,18982,36554,37297,2818,66277
"ACSL4",2288,1289,2984,714,4886,4889,5549,4282,6989,11119,3600,7554,4344,1803,2629
"ACSL5",3019,1963,6948,895,5576,2885,6747,1714,2833,9595,306,1065,9722,1231,1441
"ACSL6",109,173,172,40,64,92,178,136,147,163,267,7029,120,1191,210
"ACSM1",255,355,25,470,28,21,40,0,94,99,87,34,111,189,22
"ACSM2A",1,2,0,1,18,4,1,3,1,31455,5,39,2,10,18
"ACSM2B",10,1,1,1,45,24,19,0,0,39598,2,2,1,1,2
"ACSM3",1855,1023,506,710,46,261,100,123,310,6097,671,132,615,2,94
"ACSM4",1,0,11,90,8,1,6,2,48,51,35,13,34,1,1
"ACSM5",54,138,222,25,13196,15,4609,66,5,22635,12,0,778,47,290
"ACSM6",5,0,8,2,1,1,7,0,2,3,7,10,5,1,1
"ACSS1",7176,5026,1904,14668,2708,1296,5513,4096,2361,4715,10567,2697,14660,1805,27733
"ACSS2",4793,759,2288,2559,43574,4224,10508,3646,4990,12351,5354,2109,10954,1134,18815
"ACSS3",113,66,213,3515,10967,660,5104,232,33,5655,819,427,2856,546,2491
"ACTA1",66,601,16,32,38,213,0,64,3,2,35,210,2,96,15
"ACTA2",12076,35075,51695,31010,39702,44258,70726,34975,36175,19522,19770,171979,69995,1521,73737
"ACTB",316639,724055,1455257,713619,710687,1055900,866601,970898,929566,644273,632970,1648215,1242718,473028,2149132
"ACTBL2",1,66,53,21,0,5,33,0,21,12,0,123,3,1,29
"ACTC1",0,0,20,0,132,8,239,0,40,18,70,55,0,6,112
"ACTG1",245260,159338,262262,272701,137911,499257,171934,372520,698836,198181,548853,693633,217256,130500,265564
"ACTG2",8059,4469,858,3031,1571,2761,7715,6257,1035,578,19439,245408,2458,1793,2212
"ACTL10",1045,151,664,953,237,369,543,957,1122,103,719,1263,1862,0,977
"ACTL6A",18567,8030,12118,13778,4494,5059,5677,10011,31069,9361,45094,29069,8458,5389,36658
"ACTL6B",4,0,0,1,0,2,5,2,0,1,2,1,0,17,1
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL8",2,29,227,13,0,0,4497,7,1306,26,9648,14,32,143,28
"ACTL9",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"ACTN1",25867,22505,31120,43274,32302,53540,50500,80679,100656,20676,42000,171887,42828,12696,68623
"ACTN2",52,63,7,9,95,76,208,141,0,18,153,122,24,0,730
"ACTN3",10,0,4,5,159,53,0,1,0,3,43,53,0,42,19
"ACTN4",4332,3413,6736,12096,6702,4179,9182,12651,23885,13772,17224,34700,12699,1801,23668
"ACTR10",5164,4605,8532,14064,8755,6391,8810,6784,10161,6098,5556,9414,9239,2571,17363
"ACTR1A",8382,6880,14750,17271,16599,11477,16516,10855,19499,14087,10161,21759,17315,3823,16151
"ACTR1B",3378,1607,2584,1205,2802,3235,2596,1418,9038,2795,4833,3599,3143,534,4518
"ACTR2",15124,17294,21021,16236,21503,25258,20977,27233,37793,19051,29296,36142,34348,10681,22414
"ACTR3",19154,15600,29426,24012,19114,25803,18925,28548,35106,24509,19219,40275,49220,15128,58968
"ACTR3B",12718,4106,19607,1402,630,596,920,873,81182,1529,15875,6289,1073,1847,6788
"ACTR3C",657,664,1206,300,247,357,500,485,3121,1410,1727,790,1235,140,388
"ACTR5",2119,859,1416,2399,1017,980,1036,1372,2255,2986,1279,2469,2484,656,1336
"ACTR6",4041,2684,1521,7519,2776,2136,2579,2933,13097,6092,9305,4710,4217,2168,7937
"ACTR8",1454,1334,1854,3152,2393,1915,2350,4311,3436,2361,1552,2630,2791,1170,3450
"ACTRT1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"ACTRT3",637,367,385,193,313,169,355,342,312,303,458,1079,428,165,599
"ACVR1",2714,1740,3422,5114,6435,3962,3422,4385,3070,2737,2606,5000,4474,468,8291
"ACVR1B",388,482,674,2662,565,1036,995,660,1087,901,2407,1325,1248,548,1096
"ACVR1C",73,9,114,207,21961,182,5898,48,146,40,105,109,159,91,79
"ACVR2A",1633,712,1326,3520,4002,1529,2095,951,1378,1308,1117,2152,1439,26,3936
"ACVR2B",830,605,320,524,376,783,448,504,559,478,2413,1830,296,349,1318
"ACVRL1",246,1488,1438,542,3827,6455,5010,2426,921,530,872,2629,2746,4,2240
"ACY1",509,549,906,772,803,275,732,749,707,2723,484,641,334,215,525
"ACY3",472,198,159,664,26,15,121,299,413,3522,39,1,843,116,41
"ACYP1",2257,913,1252,783,384,632,476,1383,994,542,2103,2680,345,1142,996
"ACYP2",1847,1184,2867,670,2611,1190,2136,2109,2633,1979,4575,1715,1654,805,2428
"ADA",2410,1488,7787,575,2979,1551,3073,2340,3707,2094,1456,3324,6092,2490,2760
"ADAD1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ADAD2",8,29,6,0,1,2,42,56,16,0,182,67,0,0,0
"ADAL",633,767,997,732,1162,1147,1095,326,935,806,1307,585,823,294,580
"ADAM10",5660,2836,5995,11374,7602,13500,7855,10494,12718,6518,5567,11958,13708,5241,13475
"ADAM11",27,15,3,2,23,30,10,70,10,27,278,114,1,0,0
"ADAM12",230,1855,5203,1134,5358,7466,6665,3216,2199,545,819,3710,3865,66,4148
"ADAM15",15353,8518,20925,22445,15701,11217,62051,15993,61541,48291,11874,41474,21291,3645,73186
"ADAM17",5716,1742,2503,2830,2228,3489,1344,6244,5946,2262,2877,13995,2246,367,9878
"ADAM18",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ADAM19",57,717,745,179,523,2736,465,2289,323,287,572,935,1300,1499,1319
"ADAM2",1,1,0,0,0,0,0,1,0,0,0,0,3,0,1
"ADAM20",2,14,1,4,0,12,5,5,0,0,28,5,1,8,1
"ADAM21",564,1,24,1,23,0,2,0,206,11,0,268,135,5,32
"ADAM22",821,84,85,94,364,55,538,308,178,178,274,111,78,242,149
"ADAM23",23,34,137,24,263,31,547,206,101,79,16,6,87,118,316
"ADAM28",164,737,706,421,431,1165,441,877,266,927,871,159,7257,663,739
"ADAM29",0,1,0,0,0,0,0,0,0,0,8,0,30,0,0
"ADAM30",21,2,0,0,0,0,0,0,0,0,1,0,0,1,0
"ADAM32",342,54,265,13,243,7,194,128,850,143,228,613,24,361,113
"ADAM33",0,27,41,1,4066,73,1501,80,8,1,131,8,18,150,103
"ADAM7",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"ADAM8",5107,1312,3105,954,3844,24158,750,4513,673,2487,363,2360,12130,8395,3438
"ADAM9",3795,3982,7048,31068,11732,14052,12259,19234,20074,8218,2439,19492,17237,620,12533
"ADAMDEC1",237,2828,1708,325,150,523,187,1645,344,3419,97,494,17753,15,2738
"ADAMTS1",6113,1070,2237,446,7398,2641,15080,14114,7828,10005,1498,15152,3014,324,6575
"ADAMTS10",124,118,130,38,830,773,1656,627,767,197,339,1119,294,58,1580
"ADAMTS12",21,603,1314,467,1135,2711,1335,1988,914,139,226,973,364,230,1044
"ADAMTS13",73,63,106,95,76,173,124,320,243,2173,744,222,54,24,52
"ADAMTS14",41,491,782,355,38,1382,366,1076,493,70,341,728,787,0,720
"ADAMTS15",33,94,166,3214,1959,52,4028,171,25,160,24,630,209,1,1217
"ADAMTS16",85,124,70,816,1211,393,51,746,359,5,867,229,551,0,501
"ADAMTS17",30,200,338,540,239,170,412,2401,85,497,460,301,275,0,3229
"ADAMTS18",373,773,24,24,333,8,2327,104,45,390,217,175,130,1,20
"ADAMTS19",37,0,31,98,0,0,0,2,4,0,60,91,0,77,2
"ADAMTS2",257,2736,3991,2166,17190,11082,13115,8602,2341,2648,607,8686,5320,199,11350
"ADAMTS20",0,2,0,10,1,0,0,24,1,0,10,0,0,1,4
"ADAMTS3",164,191,36,15,634,55,217,216,123,119,49,306,70,40,334
"ADAMTS4",6101,2577,2415,1110,1116,6737,2704,8839,9398,667,2029,3833,2116,431,14928
"ADAMTS5",3306,1585,2714,142,5554,4066,3252,2037,1622,573,1743,2657,385,155,4455
"ADAMTS6",53,230,133,88,51,267,341,342,118,21,245,302,276,101,198
"ADAMTS7",125,416,485,217,451,1231,993,759,304,321,1225,1688,455,571,953
"ADAMTS8",79,53,2581,2,78,42,157,383,1,80,180,197,15,15,485
"ADAMTS9",873,1944,897,122,1274,926,1801,1486,1163,32,355,3219,606,204,1032
"ADAMTSL1",18,271,320,115,1462,93,1350,377,135,223,202,572,1031,1,670
"ADAMTSL2",60,354,467,179,1487,1422,558,429,536,2065,370,303,462,428,1061
"ADAMTSL3",9,201,232,382,2958,322,858,2551,282,2058,348,727,2085,86,139
"ADAMTSL4",268,164,343,63,2263,3493,874,513,88,698,8,265,393,226,118
"ADAMTSL5",2,38,123,227,111,665,85,468,362,287,127,170,355,513,82
"ADAP1",164,702,2286,162,357,1070,265,1167,64,486,277,83,2495,934,134
"ADAP2",875,3500,5977,2058,4225,9135,3097,3376,817,2118,526,977,7482,1715,2230
"ADAR",38975,15408,22757,56280,21645,15929,28145,26324,55336,41881,15686,61044,40070,8950,47747
"ADARB1",1415,1566,954,775,1975,2700,3387,2164,4593,1103,2201,2522,2752,576,5232
"ADARB2",0,209,647,9,14,1,0,11,2,61,3,23,655,353,0
"ADAT1",1914,2083,2086,3948,2576,3169,2711,2991,5300,2597,2798,3790,4777,791,7386
"ADAT2",634,532,687,176,342,331,383,118,1984,317,1042,1174,361,595,2569
"ADAT3",478,299,565,832,227,549,449,684,180,561,943,1268,672,194,990
"ADCK1",978,934,1251,2052,853,581,1174,995,1909,1019,861,1631,1322,434,1826
"ADCK2",5519,2782,5402,6049,3254,5440,4529,4129,12940,7521,6453,5407,6542,1481,9692
"ADCK5",1423,595,2600,1397,1034,576,2995,2435,2461,1586,2024,3098,1315,793,4881
"ADCY1",39,64,243,16,292,294,477,492,357,5062,880,209,138,511,281
"ADCY10",18,20,11,21,36,11,3,2,20,253,36,46,12,52,23
"ADCY2",47,830,109,1326,769,123,1333,2196,17,120,1888,5970,836,2,710
"ADCY3",4058,1559,4379,1067,14349,3084,8281,4000,7360,2450,1936,9828,8560,729,6025
"ADCY4",79,375,590,508,4692,958,7659,2604,838,350,450,1008,1196,73,2518
"ADCY5",107,102,9,1665,12014,238,3320,926,29,313,51,1155,218,20,54
"ADCY6",1634,1068,868,6609,10641,1394,8480,2425,2409,3145,2387,3751,3421,131,3731
"ADCY7",645,1981,1672,647,1722,4165,1331,2228,728,666,1000,1165,4376,1930,1381
"ADCY8",0,318,0,0,0,0,0,0,0,0,0,256,0,0,3882
"ADCY9",168,616,769,2071,1136,1151,1337,923,697,1467,1345,1648,826,75,2672
"ADCYAP1",1,10,56,2,0,6,341,1,55,66,0,2060,27,0,27
"ADCYAP1R1",15,18,85,0,309,249,740,210,141,125,64,327,0,82,72
"ADD1",7424,6210,9281,11739,31110,13859,32813,15139,17160,11651,10872,11689,23922,8793,17145
"ADD2",1084,404,185,114,262,131,458,246,2804,1543,2371,6434,272,665,447
"ADD3",8028,7478,8990,1272,28252,4144,13846,10122,10042,5223,8239,14390,15649,8080,5635
"ADGB",0,0,31,0,1,3,3,1,0,6,0,0,0,0,6
