"GENE_SYMBOL","GSM3461245","GSM3461253"
"A1BG",4.49860802792158,4.83225872209073
"A2M",11.0928653053776,10.2730353026912
"A4GALT",5.84471184252522,5.18271775374796
"AAAS",6.38905839668705,6.59689090929822
"AACS",6.89705704108595,6.44299410794391
"AADACL2",5.1132836969678,4.63383085075701
"AADACL4",5.03035957821837,4.90178298959262
"AADAT",6.76734546609863,8.4279029988382
"AAGAB",8.79223473873523,7.53410479538268
"AAK1",7.62582475885789,6.52633646506195
"AAMP",8.78648390541407,8.5398922238838
"AARS",12.843338743763,11.2860874802231
"AARS2",8.168925985614,8.82498138799645
"AARSD1",8.86503383218337,8.8905183730209
"AASDH",6.83710612646392,6.88363839999871
"AASDHPPT",7.40140399626636,8.63949630911939
"AASS",7.1604551480617,6.12764770208772
"AATF",8.73752557500735,9.21158565961816
"AATK",6.95456041839954,6.04684851527501
"ABCA1",10.133252111402,10.85129652717
"ABCA2",4.59527057228844,6.08322082301395
"ABCA3",6.7736938865399,7.16205198220229
"ABCA4",4.53816451391083,4.92604263459914
"ABCA5",4.71130143259974,4.51128277416648
"ABCA6",6.09901402176519,4.88685308282421
"ABCA7",7.69081416694324,6.06540495120677
"ABCA8",6.91682114398353,8.88150626258941
"ABCA9",5.33797104659258,6.04016944636895
"ABCB1",5.07748175621962,4.65763653958957
"ABCB10",7.58252573915618,7.55031952366804
"ABCB4",5.50179727936371,4.67333152292091
"ABCB6",7.73507566010351,8.57774002802149
"ABCB7",7.94591074400418,7.46736474754211
"ABCB9",9.73613978539423,8.56666668845567
"ABCC1",4.45877093684982,5.24445633836019
"ABCC10",6.68313055367059,6.90384629479878
"ABCC11",4.48238147958531,4.39021586416617
"ABCC2",7.74629199872268,4.37365251586827
"ABCC3",6.11301636962235,6.41292944642533
"ABCC4",4.54396761268242,7.07084749449519
"ABCC5",8.4818974876568,7.45629862937098
"ABCC6",5.07497229380657,5.02539440471563
"ABCC9",5.04540505789362,4.84328830150021
"ABCD1",8.96131878699871,6.29802599445929
"ABCD3",6.58021229822328,7.17995425175029
"ABCD4",4.54872154493021,4.53090606460596
"ABCE1",8.72468358699027,9.39992388742744
"ABCF1",11.1146503672701,11.9093106952346
"ABCF2",7.99864119316893,8.25920091135221
"ABCF3",7.54500753231658,6.6216209231018
"ABCG1",7.4399074028446,7.12263078224868
"ABCG4",4.90732308748148,4.93443995060286
"ABHD1",5.29343913860666,4.55614468336336
"ABHD10",8.61507712927398,8.41399329122937
"ABHD11",5.16141227553864,5.68630240056849
"ABHD12",10.0180708857185,7.41244137760697
"ABHD12B",5.25142331615548,4.63981095676952
"ABHD14A",8.33920188737715,8.99224782681851
"ABHD14B",7.17589829126032,7.35721274764596
"ABHD15",5.28900216129029,5.81441210673396
"ABHD2",8.53904121546869,7.16477882889012
"ABHD3",6.45058072680365,5.83666845022926
"ABHD4",6.90927627205444,5.75308676739712
"ABHD5",6.42716141608937,7.00664809660653
"ABHD6",8.91079422906238,7.67750421911754
"ABHD8",8.03773175595509,7.94056912822407
"ABI1",8.24635938744677,7.81050697942387
"ABI2",8.68765939703674,8.85565532267909
"ABI3",6.05101613472104,5.3456626751439
"ABI3BP",7.81204634401906,5.02453201642919
"ABL1",9.28769095620423,10.0940024855255
"ABL2",6.99499259716829,6.58226770601994
"ABLIM1",6.75717010041853,7.36764739070277
"ABLIM2",4.64025189583736,4.56261683846653
"ABLIM3",7.14477670323359,4.74364848565287
"ABR",11.803506100914,10.9306265067676
"ABT1",5.60767215816699,6.16650108681842
"ABTB1",7.44101379613814,6.7856304493117
"ABTB2",7.18111894513043,5.7904704599102
"ACAA1",9.59071362936603,8.21114621841917
"ACAA2",8.64127607330626,8.68908217767513
"ACACA",8.62387501382252,9.28366816079641
"ACACB",7.67002223821234,6.43618214145632
"ACAD10",6.43716691574164,7.01610135117735
"ACAD11",8.56666668845567,8.29805376306674
"ACAD8",7.70708374509791,7.447241121259
"ACAD9",9.17444471841416,8.64286265721109
"ACADM",9.80936458240044,9.13768658765554
"ACADS",7.76515711071151,6.34059127670924
"ACADVL",11.4675139264164,11.8884072463939
"ACAP1",5.83477304805217,4.69394988343947
"ACAP2",5.97327766192067,6.59175920504409
"ACAT1",10.1295697873431,10.3291257822149
"ACAT2",10.2475158228618,8.5325242037051
"ACBD3",9.42803815636598,10.106184478261
"ACBD4",5.03478791682999,4.85653087842121
"ACBD6",8.61877079028991,9.05118837892869
"ACBD7",6.89127784110245,4.45455578273876
"ACCS",8.72880026121866,7.53295149890971
"ACCSL",4.80435459818874,4.62205847378232
"ACD",8.11888844511224,7.57449883887253
"ACER2",5.48147663968515,5.78123255232213
"ACER3",6.54191043628649,6.64206860308346
"ACIN1",9.35417778350506,8.98641690601693
"ACLY",11.2469043612747,11.0872436682945
"ACO1",7.8829418831524,10.0885758582585
"ACO2",9.00475628267184,7.98978003245221
"ACOT1",7.66849174567404,7.11926568526293
"ACOT11",7.37817535212539,6.48979756288636
"ACOT2",7.02971093453499,6.88913119247225
"ACOT4",7.27105284372432,7.28076677243865
"ACOT7",13.1337767605504,11.555853269091
"ACOT8",6.3073082386641,6.48450017236565
"ACOT9",8.13881144440631,8.12004897490629
"ACOX1",6.64528807531689,7.23078450481502
"ACOX2",7.36817038234438,9.43254239961457
"ACOX3",7.79601233927828,8.29756020288871
"ACP1",10.1114369078294,10.6473714026167
"ACP2",10.0865242791835,9.00544843733969
"ACP5",10.9681329182188,8.84312271431601
"ACP6",6.66761479529495,8.06019970575766
"ACPP",5.51287013024339,7.85522162338323
"ACPT",5.51691503065684,4.9189339920097
"ACRC",5.87130683793967,5.53539750428659
"ACRV1",4.64716551518727,5.44225198309788
"ACSBG1",7.74334988392744,6.26187737381946
"ACSF2",8.42163979882371,6.36180967325402
"ACSF3",5.73176808122201,4.40063517404754
"ACSL1",8.92693499565312,7.87235290628838
"ACSL3",11.2261976085259,10.1924286299387
"ACSL4",7.83604416194845,8.11840613387594
"ACSL5",6.8420459220555,6.02843363054381
"ACSM3",4.82502917826097,5.18321251428582
"ACSM5",4.8028041025644,4.54966704290737
"ACSS1",8.33051703090949,7.49168380306034
"ACSS2",11.0452631285535,9.8473467005689
"ACSS3",5.46953303401753,5.14927231411858
"ACTA2",9.45906431810723,10.4080719106864
"ACTB",14.4834219449094,14.4467178717604
"ACTG1",14.2541853185459,14.5385215678947
"ACTG2",13.1675666493902,8.83457802070789
"ACTL6A",9.61151015691375,10.0851420542925
"ACTL8",4.51916512414139,5.01947483774743
"ACTN1",11.5222683653168,11.2453154555806
"ACTN4",10.6572748099528,10.0197898970225
"ACTR10",9.3138462883465,9.47412074195151
"ACTR1A",9.4521256330095,8.91206343865412
"ACTR1B",8.77755253437509,8.57948746330223
"ACTR2",10.6730786050517,10.7899317160987
"ACTR3",7.9190390869799,8.43023253063548
"ACTR3B",4.75980258355977,5.05440671011139
"ACTR5",6.82673557260153,6.65864604014077
"ACTR6",8.06019970575766,8.95562930317337
"ACTR8",6.14019562637057,6.11335915842513
"ACTRT1",5.49964053770878,5.38477117133061
"ACVR1",9.33157541465873,9.62952128031686
"ACVR1B",7.95684424411934,8.6286300588273
"ACVR2A",6.44522887535405,6.264380748979
"ACVR2B",4.92963635408734,5.21177456696469
"ACVRL1",8.1694721801804,8.51501667915407
"ACY1",8.0488046357599,8.72507212984191
"ACYP1",9.26969003651623,8.52722214305097
"ACYP2",6.56890383722377,7.3928815016733
"ADA",7.57815164948559,8.62303943125709
"ADAL",5.39441229172128,5.95019816038429
"ADAM10",5.93797554254203,6.68836507559145
"ADAM12",5.10509237646134,5.25281583600641
"ADAM15",12.1521408030332,11.9223005366591
"ADAM17",8.47570137162383,8.90394641652562
"ADAM19",8.64811932120298,11.1388017038845
"ADAM2",5.03728717516066,4.94066486949878
"ADAM23",4.95079696628119,7.97483683388378
"ADAM28",4.80964196180231,4.8803358782835
"ADAM8",5.26357196946217,8.102321241592
"ADAM9",5.60673757639994,5.18377704150322
"ADAMDEC1",6.40507413793041,6.48608754205398
"ADAMTS1",6.27399156362583,9.35705418699686
"ADAMTS13",4.7562383633429,5.05163103027895
"ADAMTS18",4.54458410485542,4.74665689468879
"ADAMTS2",5.07865246889025,4.58913275655142
"ADAMTS4",5.24826008102702,5.79868983988458
"ADAMTS6",4.60321008520545,5.05619880009457
"ADAMTS7",4.53317607676261,5.91399313160979
"ADAMTS8",4.9946370719707,4.76015315452032
"ADAMTS9",5.63908618672633,8.46439993831078
"ADAMTSL1",5.01767959096813,5.12293230512068
"ADAMTSL2",4.92395377693905,4.77701829495707
"ADAMTSL4",5.94404229475782,8.32272140008956
"ADAMTSL5",5.57368365951603,4.79473435254317
"ADAP1",5.27369075278089,5.42307481091967
"ADAP2",8.9096703909886,9.0657637374982
"ADAR",12.2017116688952,11.9825954774721
"ADARB1",9.72383287869176,9.19643294966752
"ADARB2",4.4734894539642,4.50623155206412
"ADAT1",8.20062994266627,8.35177658140137
"ADAT3",6.63307619595172,6.69571135717634
"ADCK1",7.46904401566949,6.83341839094753
"ADCK2",9.4525353083464,11.2767368093346
"ADCK4",7.87838258169303,7.03575100988496
"ADCK5",7.08389124491064,6.17767593540588
"ADCY1",8.15159253306851,4.46446594337565
"ADCY3",10.2492251761824,9.66316067525222
"ADCY4",6.35561113084686,5.52175763140142
"ADCY6",8.30620467148044,8.33131741282685
"ADCY7",5.605391409045,6.57827158026769
"ADCY9",6.46552423892296,5.96135790465697
"ADD1",11.618612648784,11.4089841921499
"ADD3",9.50003471854751,8.05467886741577
"ADH1A",5.60268026141908,4.430684786794
"ADH5",5.30284171110981,6.59960896207176
"ADH6",4.65157610766457,4.51652486209393
"ADH7",4.7290541713157,4.71682267993454
"ADHFE1",7.89755276859283,5.32363252410269
"ADI1",7.03209851854979,5.88038670326654
"ADIPOR1",10.4237179222611,9.70914734335919
"ADIPOR2",10.8180904503104,9.47082676006082
"ADK",8.82932306624244,9.52311157107131
"ADM",10.748499430902,10.2115518484086
"ADM2",6.36832141352333,5.10429871161522
"ADNP",7.63927239193728,8.59277226201251
"ADNP2",8.42244103384775,8.3742069000278
"ADO",8.90656982814079,9.34680246292366
"ADORA1",7.1856960981821,7.2118630810945
"ADORA2A",6.1641742906552,5.50907997488658
"ADORA2B",6.63893356910166,8.71634753496318
"ADORA3",7.00343143624472,8.75121956387082
"ADPGK",8.16080666217184,8.28869897993094
"ADPRH",7.45535023017659,6.55264140653754
"ADPRHL1",4.47835211883692,5.14293312766304
"ADPRHL2",10.350758390491,9.94300845455064
"ADRA1B",4.70534306425967,5.95528966921345
"ADRA2A",6.02425984343403,5.10444440616802
"ADRA2B",5.3880372299646,5.87963773440243
"ADRB2",5.78789059552947,5.36554276441932
"ADRBK1",11.999691897157,9.21900228412368
"ADRBK2",4.65865962652369,4.46325103216352
"ADRM1",10.9493635948639,10.9966121369361
"ADSL",11.3526617916927,11.7131446344904
"ADSS",9.919335775316,10.2780762480652
"ADSSL1",6.08534148546975,7.35862517379633
"AEBP1",11.5419334983599,11.6106928419947
"AEBP2",7.154743685449,6.37790691912905
"AEN",7.36366336285306,7.84059767212864
"AES",10.4038327082094,10.355116665989
"AFAP1",9.53187879090927,8.81148355101791
"AFAP1L1",6.78246937306748,7.39347231105837
"AFAP1L2",10.9306265067676,8.94976225954228
"AFF1",6.18762789942389,5.94513347740492
"AFF2",4.54779693283163,4.41699813289022
"AFF3",6.29029939561785,6.1688099967525
"AFF4",7.58206751379914,8.28225903566872
"AFG3L2",10.8831061573962,10.0021482255047
"AFMID",6.46749915733498,7.41287422323668
"AFTPH",8.72044093411274,8.23348105208675
"AGA",8.43364402031407,8.68076468408931
"AGAP3",8.65760406281904,7.60071048488982
"AGAP6",7.32820052452065,6.42197295675867
"AGBL5",8.79072587502515,9.11051982137999
"AGER",5.13847077546454,4.93063859404364
"AGFG1",7.07120210813509,6.98622932534394
"AGFG2",6.50610292576407,5.67444105051407
"AGGF1",7.62527055595482,8.68105272660012
"AGK",8.12470033742131,8.4648809276095
"AGL",8.24061795564175,8.38173816300185
"AGMAT",4.70333881764463,5.68780929163489
"AGPAT1",9.03890582151821,9.39346547373037
"AGPAT2",7.5982895600581,7.66423307145013
"AGPAT3",5.61182161712855,5.36533509217051
"AGPAT4",4.93656065368056,7.07520357095296
"AGPAT5",6.09708843166723,7.42557468882994
"AGPAT6",7.24133167274374,6.98766545601773
"AGPAT9",6.75804368671277,8.36395797036152
"AGPS",8.11751068999169,8.6387969194972
"AGR2",4.64605503265483,5.0905198262686
"AGR3",4.55365909055244,4.96745065833901
"AGRN",8.62881944083093,9.29908430567448
"AGT",7.8623652753338,6.76085857504185
"AGTPBP1",7.35562691433438,7.64451894948325
"AGTR1",4.75024287605201,4.77875974293084
"AGTRAP",8.04021918267626,7.76383638661695
"AHCTF1",8.54206751905787,8.30226932314233
"AHCY",11.0585355062201,11.0594639474728
"AHCYL1",11.2653693508375,10.752464319696
"AHCYL2",7.96826323777278,6.45843125557951
"AHDC1",5.78244236890586,5.63537851883427
"AHI1",7.98696520317648,7.43516892105513
"AHNAK",10.4153290193783,11.0708355048564
"AHNAK2",9.19529840132613,8.06550870714793
"AHR",10.9316047256152,11.3939860490728
"AHSA1",10.4527442415141,10.6662923175562
"AHSA2",8.5592721843764,7.17536540396098
"AHSP",5.40360012142007,5.29318671874439
"AIDA",11.5441674225929,10.9681329182188
"AIF1",9.72202945968675,9.94594010411416
"AIF1L",11.9400237989292,12.3228875481282
"AIFM1",10.1854133394654,9.41177452401211
"AIFM2",6.68206498433897,5.70006432850379
"AIFM3",4.91500707090538,5.0872438841871
"AIG1",5.14331351498526,6.94995844805194
"AIM1",6.42653832723634,6.96634646978057
"AIM2",6.63978350759506,8.36318329717741
"AIMP2",10.3788106535707,10.7989127634817
"AIP",11.7292481900277,9.03054782377637
"AIRE",11.8702326780878,11.4341368818764
"AJAP1",5.97898276604805,5.1966360062361
"AK1",6.64739668416817,7.05025145818803
"AK2",10.8752239651368,10.8861159666156
"AK3",9.85651141717775,9.61553819738613
"AK5",4.6831210327612,4.40547342184244
