"AARS2",5.29057,6.61956,13.3413,13.1867,15.0296,26.6298,10.2342,3.92459,32.5283,19.5242,6.72522,12.2329,5.48691,10.4108,6.77424,11.7729,12.9649,15.2924,3.93726,4.97639,5.26929,3.77082,9.91748,15.4349
"AARSD1",20.4941,19.8271,40.4124,35.9057,30.8964,55.5175,17.7994,24.8647,17.9068,47.3358,19.3004,28.765,18.8431,36.1814,18.8667,18.6147,19.4667,19.84,23.7533,26.3059,52.559,34.911,31.5329,26.9479
"AASDH",4.13086,3.09696,6.95562,4.13797,4.31847,5.566,3.90963,2.50427,2.92739,3.16721,4.23384,4.73573,2.36533,4.09306,2.12454,2.61631,4.09992,3.25384,2.8973,3.14796,3.59382,5.73486,4.47416,3.04248
"AASDHPPT",27.8855,21.0518,27.2553,12.6748,34.0639,47.5251,14.4281,18.5082,18.3659,15.7136,12.3698,22.6493,11.7182,14.2961,27.5457,22.7244,7.07389,13.1257,7.94856,11.0387,9.52263,14.2688,16.3198,16.8432
"AASS",5.02051,2.68391,3.47612,3.19743,4.27604,5.37945,3.13914,5.6194,1.68995,5.1235,4.74081,11.3993,2.69218,2.7752,4.76635,2.88582,19.9713,2.29178,1.53304,1.93396,6.7295,3.87055,2.75778,4.4182
"AATF",31.546,21.9827,40.4407,33.7044,25.747,66.361,32.3047,26.4363,19.2995,36.1602,31.7454,38.6255,24.3646,32.4031,40.6335,31.1204,34.5287,19.9839,25.3518,33.375,40.5817,17.2844,31.1334,41.0318
"AATK",1.39557,5.91451,19.1864,1.80876,2.33756,7.44118,1.30056,1.90991,12.6438,1.43374,2.36457,4.88824,4.14023,6.28802,0.183449,1.54311,30.8593,7.23336,0.573122,0.946754,4.64777,8.21767,1.81447,1.51431
"ABAT",0.781139,5.62021,0.351894,0.368775,0.569516,0.513732,1.83343,3.07975,0.71949,0.857998,1.87477,5.05355,1.20236,0.911377,0.15601,1.54088,2.20547,0.587449,2.25629,4.18787,22.7375,0.821902,0.515998,0.249703
"ABCA1",1.75488,5.41894,1.53661,1.98762,0.825963,8.2058,13.3756,9.70007,3.31745,9.77206,9.9025,0.880477,3.931,1.89387,5.66368,5.25046,0.466585,7.0659,8.51524,3.00716,1.7996,7.06634,2.58615,1.75362
"ABCA10",0.251552,1.05829,4.74,0.786344,0.208596,0.487385,0.124525,0.315417,0.0652719,0.761782,0.704812,0.80808,0.250935,0.436965,0.0606244,0.253252,0.514347,0.120478,1.03978,1.9251,0.0755086,2.52327,0.30283,0.026339
