"GENE_SYMBOL","GSM5133931--MGH27","GSM5133940--MGH98"
"ALPP",0,0
"ALS2",2982,2501
"ALS2CL",289,255
"ALX1",185,3526
"ALX3",0,0
"ALX4",3,31
"ALYREF",2463,2151
"AMACR",310,380
"AMBN",0,1
"AMBP",0,2
"AMBRA1",2737,2830
"AMD1",3314,4609
"AMDHD1",4,25
"AMDHD2",4854,3120
"AMELX",0,0
"AMELY",0,0
"AMER1",159,362
"AMER2",2,8
"AMER3",0,1
"AMFR",5335,9287
"AMH",94,7
"AMHR2",0,0
"AMIGO1",38,80
"AMIGO2",108,19
"AMIGO3",1,1
"AMMECR1",834,1237
"AMMECR1L",2972,8819
"AMN",6,6
"AMN1",583,12
"AMOT",1191,2194
"AMOTL1",1879,4713
"AMOTL2",5916,4023
"AMPD1",7,2
"AMPD2",3727,2121
"AMPD3",141,255
"AMPH",79,1211
"AMT",2544,938
"AMTN",0,0
"AMY1A",0,0
"AMY1B",1,2
"AMY1C",0,0
"AMY2A",0,1
"AMY2B",255,460
"AMZ1",2,2
"AMZ2",5776,6252
"ANAPC1",990,1313
"ANAPC10",795,970
"ANAPC11",4980,7299
"ANAPC13",4490,5449
"ANAPC15",456,633
"ANAPC16",4198,3858
"ANAPC2",4086,1324
"ANAPC4",2907,1983
"ANAPC5",24702,11791
"ANAPC7",4302,3982
"ANG",170,274
"ANGEL1",2993,2052
"ANGEL2",1748,3600
"ANGPT1",77,388
"ANGPT2",295,1276
"ANGPT4",7,2
"ANGPTL1",137,100
"ANGPTL2",1504,3547
"ANGPTL3",8,1
"ANGPTL4",1175,2855
"ANGPTL5",12,0
"ANGPTL6",134,61
"ANGPTL7",88,552
"ANHX",0,1
"ANK1",67,13
"ANK2",1264,22341
"ANK3",2,14
"ANKAR",29,76
"ANKDD1A",1125,381
"ANKDD1B",57,17
"ANKEF1",13,416
"ANKFN1",7,0
"ANKFY1",7112,12302
"ANKH",2277,1216
"ANKHD1",211,116
"ANKHD1-EIF4EBP3",221,147
"ANKIB1",5786,3886
"ANKK1",1,0
"ANKLE1",24,71
"ANKLE2",4255,3877
"ANKMY1",711,268
"ANKMY2",1675,2527
"ANKRA2",1227,1272
"ANKRD1",3,1
"ANKRD10",6698,8693
"ANKRD11",5960,4917
"ANKRD12",3403,2883
"ANKRD13A",3604,5178
"ANKRD13B",149,692
"ANKRD13C",1510,1865
"ANKRD13D",3890,1538
"ANKRD16",340,336
"ANKRD17",7319,8873
"ANKRD18A",0,0
"ANKRD18B",0,3
"ANKRD2",3,11
"ANKRD20A1",2,0
"ANKRD22",39,2
"ANKRD23",100,45
"ANKRD24",113,31
"ANKRD26",318,482
"ANKRD27",2194,3494
"ANKRD28",12863,20650
"ANKRD29",174,38
"ANKRD30A",1,0
"ANKRD30B",0,88
"ANKRD30BL",0,1
"ANKRD31",0,10
"ANKRD33",0,0
"ANKRD33B",72,29
"ANKRD34A",209,228
"ANKRD34B",1,3
"ANKRD34C",0,1
"ANKRD35",57,37
"ANKRD36",315,93
"ANKRD36B",89,44
"ANKRD36C",166,48
"ANKRD37",400,786
"ANKRD39",653,811
"ANKRD40",2678,4879
"ANKRD42",1149,634
"ANKRD44",2364,4286
"ANKRD45",28,44
"ANKRD46",1016,1325
"ANKRD49",1427,991
"ANKRD50",4399,4045
"ANKRD52",4772,5276
"ANKRD53",23,71
"ANKRD54",6033,6352
"ANKRD55",81,1
"ANKRD6",406,270
"ANKRD60",0,0
"ANKRD61",38,4
"ANKRD62",0,0
"ANKRD63",0,2
"ANKRD65",54,36
"ANKRD66",0,0
"ANKRD7",0,69
"ANKRD9",3678,2540
"ANKS1A",9136,5249
"ANKS1B",102,1422
"ANKS3",1793,863
"ANKS4B",1,1
"ANKS6",1596,793
"ANKUB1",22,4
"ANKZF1",3558,2618
"ANLN",2301,2890
"ANO1",544,996
"ANO10",2569,4059
"ANO2",41,29
"ANO3",91,24
"ANO4",0,1010
"ANO5",0,102
"ANO6",4145,7949
"ANO7",132,99
"ANO8",1869,561
"ANO9",186,26
"ANOS1",49,247
"ANP32A",7370,11755
"ANP32B",7610,7346
"ANP32D",0,8
"ANP32E",2769,8127
"ANPEP",256,256
"ANTXR1",967,8624
"ANTXR2",283,1350
"ANTXRL",14,8
"ANXA1",63229,21240
"ANXA10",0,1
"ANXA11",6631,4704
"ANXA13",54,10
"ANXA2",62348,60566
"ANXA2R",94,94
"ANXA3",569,49
"ANXA4",9123,7053
"ANXA5",167523,160673
"ANXA6",6254,17400
"ANXA7",3024,2981
"ANXA8",0,3
"ANXA8L1",0,2
"ANXA9",143,338
"AOAH",152,151
"AOC1",5,12
"AOC2",222,24
"AOC3",749,403
"AOX1",36,44
"AP1AR",2273,2484
"AP1B1",7985,5578
"AP1G1",5984,8478
"AP1G2",3197,1233
"AP1M1",4407,5733
"AP1M2",0,0
"AP1S1",5779,6263
"AP1S2",40822,29612
"AP1S3",102,155
"AP2A1",6532,6688
"AP2A2",4431,4711
"AP2B1",13309,23371
"AP2M1",27838,13771
"AP2S1",10696,10523
"AP3B1",3754,3130
"AP3B2",8,17
"AP3D1",15330,11331
"AP3M1",2273,3163
"AP3M2",7636,7313
"AP3S1",6214,4673
"AP3S2",1515,1410
"AP4B1",1750,921
"AP4E1",896,1065
"AP4M1",1609,1123
"AP4S1",714,528
"AP5B1",5102,1794
"AP5M1",2764,3932
"AP5S1",1093,2622
"AP5Z1",12516,3519
"APAF1",668,909
"APBA1",21,93
"APBA2",10,695
"APBA3",1267,1261
"APBB1",175,2228
"APBB1IP",195,160
"APBB2",2999,2245
"APBB3",3778,1622
"APC",1886,3011
"APC2",265,629
"APCDD1",1416,1849
"APCDD1L",4,7
"APCS",0,0
"APEH",11935,8711
"APELA",0,0
"APEX1",13021,15670
"APEX2",1992,2281
"APH1A",11962,23181
"APH1B",170,6413
"API5",5627,8523
"APIP",1495,1844
"APLF",219,389
"APLN",67,312
"APLNR",808,27
"APLP1",22,61
"APLP2",27036,24084
"APMAP",7790,11056
"APOA1",2,1
"APOA2",1,4
"APOA4",0,0
"APOA5",0,0
"APOB",0,3
"APOBEC1",0,0
"APOBEC2",112,1
"APOBEC3A",38,8
"APOBEC3B",545,322
"APOBEC3C",4753,5176
"APOBEC3D",454,150
"APOBEC3F",389,177
"APOBEC3G",305,94
"APOBEC3H",172,15
"APOBEC4",0,0
"APOBR",131,137
"APOC1",711,441
"APOC2",2,3
"APOC3",0,1
"APOC4",0,1
"APOD",38360,6065
"APOE",116417,78431
"APOF",4,1
"APOH",0,0
"APOL1",1807,299
