"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"A1BG",28,52,19,43,276,35,56,70
"A1CF",0,0,0,0,1,0,0,0
"A2M",54369,100515,153886,43755,27246,72453,53087,140754
"A2ML1",2,4,1,2,7,9,4,5
"A3GALT2",0,1,1,0,0,0,5,1
"A4GALT",1515,116,305,124,343,115,449,243
"A4GNT",0,4,1,0,0,0,0,2
"AAAS",1659,2597,4267,4138,2527,1668,2746,3228
"AACS",594,2547,5514,969,1274,489,1017,1641
"AADAC",0,0,1,32,0,0,0,0
"AADACL2",0,1,0,0,0,0,0,2
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,1,0,0,0,0,0,1
"AADAT",30,190,38,74,79,59,569,113
"AAED1",274,1015,268,389,660,665,1218,1700
"AAGAB",454,2418,1204,961,3330,1691,2294,3305
"AAK1",993,4716,1221,604,2187,894,1382,2186
"AAMDC",432,535,1847,416,1166,340,953,624
"AAMP",3458,13413,10779,7778,8488,5774,7613,7436
"AANAT",8,19,9,10,1,1,13,17
"AAR2",2038,5771,5879,4505,3638,2215,3908,3888
"AARD",0,122,0,44,24,0,1,149
"AARS",6938,13590,18846,24368,14838,3122,10585,9519
"AARS2",560,3246,3914,6276,4486,1774,3696,1696
"AARSD1",52,468,158,190,283,126,512,369
"AASDH",69,1958,123,172,294,63,641,896
"AASDHPPT",248,3130,1219,990,838,688,2847,1599
"AASS",28,1322,571,377,181,107,926,486
"AATF",2691,10750,4901,5777,8675,2853,5528,6394
"AATK",101,6474,256,621,2630,615,3345,276
"ABAT",228,161,119,60,112,36,86,207
"ABCA1",2121,5583,698,656,166,417,3002,2872
"ABCA10",3,138,0,9,57,9,162,188
"ABCA12",0,17,48,1,3,1,22,8
"ABCA13",3,61,18,68,8,13,8,46
"ABCA2",4126,5409,3585,2476,3295,898,5084,2756
"ABCA3",271,1826,76,7709,1228,1999,376,4661
"ABCA4",10,29,157,9,11,6,6,8
"ABCA5",53,5723,74,168,790,192,2354,3754
"ABCA6",88,157,3,11,10,47,233,120
"ABCA7",1514,1030,1063,904,1486,1423,1031,4164
"ABCA8",17,19,3,160,22,220,33,73
"ABCA9",109,155,0,18,27,10,1624,83
"ABCB1",114,516,409,19,31,45,49,160
"ABCB10",74,1580,122,257,315,427,1250,2267
"ABCB11",0,1,0,1,0,0,0,0
"ABCB4",71,1999,223,3,219,476,191,197
"ABCB5",104,494,950,4216,864,3691,6719,519
"ABCB6",118,610,784,891,1049,238,958,330
"ABCB7",214,1886,323,182,574,378,1408,1320
"ABCB8",1809,5339,8096,6900,5938,2519,6670,2897
"ABCB9",150,607,2465,636,580,450,424,662
"ABCC1",2079,3763,6026,1235,2664,314,1973,3143
"ABCC10",1030,1547,2471,5875,3118,2056,1737,2451
"ABCC11",0,208,58,45,21,22,219,588
"ABCC12",0,0,0,0,1,0,5,3
"ABCC2",19,202,1019,4296,2476,179,1209,3231
"ABCC3",925,291,218,475,7,74,100,327
"ABCC4",201,1026,151,362,146,18,112,996
"ABCC5",1007,4291,3782,5907,1971,709,2750,6235
"ABCC6",27,16,22,135,22,12,24,13
"ABCC8",8,0,1,1,0,1,0,0
"ABCC9",104,58,37,85,108,22,170,121
"ABCD1",3572,10693,47198,3203,13349,5576,8285,16319
"ABCD2",37,61,1,3,1,27,20,46
"ABCD3",134,7242,494,862,664,260,3292,3836
"ABCD4",882,2239,908,835,887,1388,3474,2443
"ABCE1",435,6397,774,1069,1426,1177,5611,4649
"ABCF1",2904,11140,9172,12017,11791,3079,13599,10314
"ABCF2",1700,10201,10184,7322,5847,2922,9221,5296
"ABCF3",2314,5738,6795,5081,4426,1822,3123,4851
"ABCG1",5177,513,417,324,119,1081,317,953
"ABCG2",53,174,76,70,39,204,76,152
"ABCG4",24,9,151,2,25,0,4,3
"ABCG5",3,52,35,19,24,84,26,64
"ABCG8",0,1,1,0,0,0,0,0
"ABHD1",19,121,138,13,30,10,9,24
"ABHD10",260,2254,741,647,1914,895,1949,1523
"ABHD11",419,869,2185,2768,1729,921,4103,400
"ABHD12",7789,6766,11979,8095,8914,3816,4856,6951
"ABHD12B",2,370,0,57,2,47,235,64
"ABHD13",168,1031,477,326,324,718,1213,1490
"ABHD14A",1066,1076,1671,2044,1096,435,864,890
"ABHD14A-ACY1",0,18,7,21,6,6,46,7
"ABHD14B",4503,6622,8091,16534,11013,1494,4491,5636
"ABHD15",1175,3239,1160,757,498,1200,878,1332
"ABHD16A",214,575,439,417,373,106,531,534
"ABHD16B",0,0,0,0,0,0,0,0
"ABHD17A",1830,1749,1752,1952,4088,1706,3642,3309
"ABHD17B",211,1402,160,541,536,347,1471,1063
"ABHD17C",212,713,825,451,1306,2128,711,2490
"ABHD2",3860,8591,7990,4846,10418,2012,4105,18533
"ABHD3",168,695,183,177,347,395,547,1168
"ABHD4",2475,3754,4666,2674,2903,1284,1303,3235
"ABHD5",123,1070,612,717,839,243,540,853
"ABHD6",267,2050,1854,390,2609,697,537,2081
"ABHD8",1095,759,1366,397,1475,826,517,1056
"ABI1",700,3708,509,2316,1143,1480,4815,4300
"ABI2",389,8600,1261,1586,2054,1895,2641,3669
"ABI3",4096,419,422,302,141,345,543,478
"ABI3BP",446,424,11,130,6,125,752,595
"ABL1",5331,7881,4786,6051,4795,2344,9324,9533
"ABL2",420,15758,1977,9163,5214,1597,7446,10531
"ABLIM1",522,1419,142,1113,392,1731,311,2597
"ABLIM2",108,80,79,88,384,464,99,34
"ABLIM3",590,2196,599,5064,213,188,3461,3201
"ABO",35,14,23,46,3,2,36,10
"ABR",7992,6478,9261,19204,25945,5562,15101,7384
"ABRA",0,1,0,0,0,3,0,1
"ABRACL",776,889,976,424,1680,1432,2863,1896
"ABT1",916,1911,2513,2728,3352,1623,3434,3156
"ABTB1",2345,2759,2573,962,1804,1151,1777,3059
"ABTB2",70,3368,367,1670,568,713,1913,2133
"AC002310.13",0,0,0,0,0,0,0,0
"AC002398.9",1,6,2,1,2,1,1,17
"AC002985.3",2,0,0,0,0,0,1,0
"AC003002.4",0,0,0,0,0,0,0,0
"AC003002.6",0,7,0,1,4,0,5,3
"AC003005.4",0,0,0,0,0,0,0,0
"AC003006.7",0,0,0,0,0,0,0,0
"AC004076.7",0,8,1,4,4,0,2,5
"AC004076.9",4,1,1,2,9,1,11,5
"AC004158.1",0,0,0,1,0,2,0,2
"AC004381.6",34,317,164,180,266,153,356,232
"AC004754.3",7,10,17,29,22,2,9,5
"AC004813.1",0,0,1,0,1,0,0,0
"AC004824.2",0,0,0,0,0,0,0,0
"AC004953.1",0,0,0,0,0,0,0,0
"AC005042.1",0,1,0,0,0,0,0,0
"AC005477.1",0,0,0,0,0,0,0,0
"AC005480.1",0,2,3,2,1,0,4,1
"AC005779.2",0,3,2,1,0,0,1,1
"AC006328.4",0,0,0,0,0,0,0,0
"AC006386.1",0,2,0,0,0,0,0,0
"AC006445.1",0,0,0,0,0,0,0,0
"AC006449.2",0,0,0,0,0,0,0,0
"AC006486.9",1,1,0,0,0,0,1,0
"AC006538.4",0,0,0,0,0,0,0,0
"AC006547.14",5,9,26,10,23,12,36,43
"AC006994.3",0,2,0,1,0,344,1,1
"AC007040.11",2,318,41,78,46,7,9,19
"AC007163.2",0,0,0,0,0,0,1,2
"AC007326.1",0,0,0,1,4,6,3,1
"AC007557.5",0,0,0,0,0,0,0,0
"AC007906.1",0,0,0,0,0,0,0,1
"AC008074.1",0,1,0,1,2,1,10,8
"AC008622.1",0,0,0,0,0,0,0,0
"AC008641.1",1,1,0,1,0,0,0,0
"AC008686.1",4,3,0,0,1,0,1,4
"AC008759.1",0,1,0,1,1,0,2,0
"AC008810.1",0,0,0,0,0,1,0,0
"AC008914.1",0,0,1,0,0,0,0,0
"AC009022.1",0,0,0,4,0,0,0,15
"AC009060.2",2,0,0,3,0,0,0,0
"AC009065.4",0,0,0,0,0,0,0,0
"AC009121.2",0,0,0,0,0,0,0,0
"AC009133.22",0,0,0,0,0,0,0,0
"AC009336.19",0,21,4,0,8,0,36,10
"AC009491.1",0,0,0,0,1,0,3,0
"AC009491.2",0,0,0,0,0,0,0,0
"AC009977.1",0,0,0,0,0,0,0,0
"AC010184.1",0,0,0,0,0,0,0,0
"AC010287.1",0,0,0,0,0,0,1,0
"AC010547.9",0,1,0,0,5,1,1,5
"AC010642.1",9,111,18,12,77,6,34,15
"AC010646.3",0,0,0,0,0,0,0,0
"AC010655.1",0,1,0,0,0,0,0,0
"AC011155.1",0,0,0,0,0,0,0,0
"AC011380.1",0,0,0,0,0,0,0,0
"AC011513.3",0,0,0,0,0,0,0,0
"AC011530.4",0,0,0,0,0,1,0,4
"AC012005.3",0,0,0,0,0,0,0,0
"AC012005.4",0,0,0,0,0,0,0,0
"AC012363.2",2,2,0,0,0,1,0,0
"AC013269.5",0,0,0,0,0,0,0,1
"AC013286.1",0,0,0,0,0,0,0,0
"AC015688.3",2,0,0,0,0,0,4,0
"AC016142.1",0,0,0,0,0,0,0,0
"AC016549.1",0,0,0,0,1,0,0,0
"AC016577.1",0,1,0,2,0,3,0,1
"AC016734.1",0,0,0,0,0,0,0,0
"AC016753.2",0,0,0,0,0,0,0,1
"AC017028.10",0,0,0,0,0,0,0,0
"AC017081.1",0,0,0,1,0,0,0,0
"AC018512.1",0,0,0,0,0,0,0,0
"AC018867.1",0,2,0,0,0,0,0,1
"AC018902.1",0,0,0,0,0,0,2,0
"AC019206.1",1,2,0,2,0,2,2,3
"AC022210.1",0,0,0,0,0,0,0,0
"AC022819.2",0,0,0,0,0,0,0,0
"AC024060.1",0,6,1,1,1,0,4,2
"AC024361.1",0,2,0,0,0,0,5,2
"AC024592.12",0,0,1,0,1,0,0,0
"AC025048.1",0,20,5,3,10,2,18,37
"AC025263.3",0,0,0,0,0,0,0,0
"AC026449.1",0,0,0,0,0,0,0,0
"AC037459.4",5,6,2,3,2,0,9,3
"AC055733.1",1,0,0,0,0,1,1,0
"AC055866.1",0,3,1,1,3,1,4,0
"AC063956.1",0,0,0,0,0,0,0,0
"AC064829.1",0,1,0,0,22,1,3,2
"AC068533.7",0,5,1,1,0,0,1,4
"AC069063.1",0,1,0,0,0,1,0,0
"AC069063.2",0,0,0,0,0,0,0,0
"AC069368.3",1,3,17,1,11,1,2,6
"AC069499.1",0,0,0,0,0,0,1,0
"AC073072.1",0,2,0,0,0,0,0,0
"AC073130.2",0,1,0,0,0,0,0,0
"AC073333.1",0,0,0,0,0,0,0,0
"AC073610.5",0,0,0,0,0,0,0,0
"AC073657.1",0,2,1,2,2,1,2,13
"AC074033.1",0,0,0,0,0,0,0,0
"AC079355.1",0,0,0,0,0,0,0,0
"AC079907.1",0,2,0,0,0,0,4,0
"AC084219.2",0,2,0,0,0,0,0,1
"AC087350.1",0,7,0,1,2,1,12,9
"AC087392.1",0,0,0,1,0,0,0,0
"AC087651.1",0,0,0,0,0,0,0,0
"AC087651.2",0,1,0,0,0,0,0,1
"AC087762.1",0,0,1,0,3,0,0,8
"AC090154.1",0,3,0,2,4,1,8,11
"AC091180.1",0,4,0,0,3,2,10,9
"AC092159.1",0,0,0,0,0,0,0,0
"AC092384.1",0,0,0,0,0,0,1,1
"AC092835.2",8,42,6,8,3,8,2,18
"AC092881.1",0,6,0,1,1,0,0,3
"AC100821.2",0,0,0,0,0,0,0,0
"AC104057.1",0,0,0,0,0,0,0,0
"AC104073.2",0,0,0,1,0,0,0,1
"AC104389.1",0,0,0,0,0,0,0,0
"AC104389.2",0,0,0,0,0,0,0,0
"AC104532.2",3,5,3,2,2,3,3,3
"AC104534.3",2,1,1,0,2,0,0,0
"AC104581.1",0,0,0,0,0,0,1,0
"AC104650.2",5,16,0,0,27,0,4,2
"AC104981.1",0,1,0,0,0,0,0,0
"AC105009.1",0,0,0,0,0,0,1,0
"AC107081.1",0,0,0,0,0,0,1,0
"AC108925.1",0,0,0,0,0,0,1,0
"AC108938.5",1,9,7,5,0,3,4,11
"AC109829.1",0,3,0,1,0,10,1,2
"AC109829.2",1,0,0,1,0,0,0,0
"AC110602.1",0,3,0,1,0,0,2,2
"AC110615.1",0,1,1,1,5,1,3,1
"AC112719.2",0,0,0,0,0,0,0,0
"AC118758.1",0,0,0,0,1,0,0,0
"AC124312.1",0,0,0,0,0,0,0,0
"AC126407.1",0,0,0,0,0,0,0,0
"AC129492.1",0,0,0,0,0,0,0,0
"AC131263.1",6,33,1,5,7,5,10,16
"AC138028.1",0,0,0,0,0,0,0,0
"AC138969.4",7,17,6,8,15,4,35,19
"AC231657.1",0,4,2,0,0,3,2,0
"AC234582.1",2,0,0,18,0,1,1,0
"AC234582.2",0,0,0,0,0,0,0,0
"AC241377.2",10,10,10,0,1,11,21,47
"AC241585.2",10,16,19,2,5,7,6,30
"AC242988.1",0,2,0,1,1,0,1,0
"AC243945.1",0,0,0,1,0,0,0,52
"AC245100.1",81,127,117,99,35,27,81,177
"AC253572.1",14,287,118,45,4,19,97,137
"ACAA1",1488,2675,5498,1712,3810,1644,3989,3114
"ACAA2",1254,3788,789,1341,1335,985,2841,1595
"ACACA",693,9020,2344,2865,2958,1057,2315,3799
"ACACB",627,2304,1931,983,45,99,1412,1750
"ACAD10",674,3029,3634,1384,1882,906,1534,2389
"ACAD11",4,46,14,14,6,1,34,63
"ACAD8",431,1354,2454,1021,1349,282,1367,930
"ACAD9",1073,2316,4545,2280,2393,1315,3746,2458
"ACADL",0,2,1,11,5,26,0,10
"ACADM",195,7695,548,607,1238,609,1760,4775
"ACADS",1583,1762,3003,3066,4459,1399,1564,1596
"ACADSB",79,1439,148,197,588,486,754,1185
"ACADVL",7088,5967,14737,6927,11186,7536,11306,8407
"ACAN",109,39,873,25,696,26,107,36
"ACAP1",3149,781,245,230,97,328,546,1235
"ACAP2",357,4272,373,1063,956,762,2627,3627
"ACAP3",1576,3060,1592,2716,4723,930,3062,2941
"ACAT1",661,1858,4086,1753,1839,1042,3752,1758
"ACAT2",150,1232,630,301,3292,589,219,1757
"ACBD3",507,8373,721,1262,2311,428,2843,6511
"ACBD4",363,2169,617,245,566,540,350,609
"ACBD5",142,2353,168,394,987,716,2027,2363
"ACBD7",0,10,3,14,5,0,14,18
"ACCS",236,407,387,653,353,130,2927,1618
"ACCSL",2,16,66,72,194,13,91,97
"ACD",1068,1073,1998,850,2212,969,1618,1986
"ACE",2528,227,923,1155,170,292,298,368
"ACE2",0,8,0,9,1,2,8,4
"ACER1",2,1,0,0,0,1,0,2
"ACER2",6,141,17,42,9,4,21,56
"ACER3",596,1588,886,608,1220,1072,1742,893
"ACHE",40,37,59,87,156,202,80,150
"ACIN1",3522,14782,7616,6619,8903,4247,13861,11131
"ACKR1",1217,148,103,119,39,19,300,724
"ACKR2",49,85,21,47,14,4,14,36
"ACKR3",506,79,729,179,169,65,264,252
"ACKR4",9,3,11,13,3,5,36,26
"ACLY",2754,30024,6440,11311,9264,3855,9040,11833
"ACMSD",0,12,0,4,3,1,4,5
"ACO1",1701,5392,4066,1556,2199,762,1126,1931
"ACO2",3902,8803,17612,27963,17078,2621,6614,8424
"ACOT1",222,233,55,189,253,136,451,361
"ACOT11",151,3017,131,68,487,59,28,36
"ACOT12",0,2,0,0,5,1,0,6
"ACOT13",268,1697,364,554,1348,862,1704,1967
"ACOT2",725,630,914,1039,951,498,1684,1356
"ACOT4",235,111,22,133,75,145,41,353
"ACOT6",1,3,4,1,0,0,0,1
"ACOT7",1065,17869,22149,8916,35742,6403,6504,17827
"ACOT8",677,1583,2155,1110,2707,1337,1199,1355
"ACOT9",788,2706,1708,1221,2054,921,2172,2248
"ACOX1",548,7727,1135,955,1450,1146,2595,6111
"ACOX2",118,34,21,49,22,32,36,27
"ACOX3",528,1665,768,979,1079,479,970,1267
"ACOXL",109,44,15,24,8,20,4,5
"ACP1",829,6690,3224,2232,3977,2307,4100,4463
"ACP2",5975,3218,5205,2947,2645,3117,2657,3997
"ACP5",62460,11738,23180,22276,9877,10853,11924,4174
"ACP6",267,2186,1025,498,1286,856,1411,1503
"ACPP",21,13,27,14,5,9,6,4
"ACPT",4,3,4,6,9,0,4,4
"ACR",12,2,4,33,3,3,18,0
"ACRBP",405,101,16,194,5,23,68,67
"ACRC",2,244,3,8,47,22,126,146
"ACRV1",1,17,9,12,11,19,49,21
"ACSBG1",3,55,403,25,18,98,30,121
"ACSBG2",0,9,0,5,2,0,9,5
"ACSF2",831,2828,1408,1202,1623,232,1582,3014
"ACSF3",1269,2302,2089,1350,1526,907,1708,2288
"ACSL1",1886,6888,2374,872,4647,1535,2892,10853
"ACSL3",716,40471,7179,3760,8634,7505,9771,11749
"ACSL4",358,5855,591,376,650,1260,2320,3576
"ACSL5",1139,384,135,294,48,211,471,401
"ACSL6",4,79,2,10,100,2,5,26
"ACSM1",0,0,0,6,0,1,1,3
"ACSM2A",1,2,0,1,0,0,0,1
"ACSM2B",0,0,0,0,0,0,0,0
"ACSM3",42,48,20,14,5,24,33,152
"ACSM4",1,0,0,0,0,0,0,1
"ACSM5",134,75,20,4,1,7,46,8
"ACSM6",0,4,0,0,0,0,0,0
"ACSS1",2901,7598,4846,3246,2280,761,3452,1417
"ACSS2",1532,3795,3580,1884,2267,2041,2462,1526
"ACSS3",81,194,7,32,4,736,69,2179
"ACTA1",28,37,18,16,26,11,30,5
"ACTA2",6318,2525,15413,4745,4632,758,5230,1515
"ACTB",300075,246317,403979,531661,393528,226886,453157,223775
"ACTBL2",1,5,0,4,2,1,12,0
"ACTC1",3,4,5,0,2,0,131,15
"ACTG1",147751,240187,304465,435853,393502,122467,478900,477453
"ACTG2",138,98,894,1303,770,29,356,149
"ACTL10",116,72,110,173,85,179,74,191
"ACTL6A",332,3346,2156,2216,2119,1156,2943,3084
"ACTL6B",0,0,1,0,4,1,1,2
"ACTL7A",0,0,0,0,0,0,0,0
"ACTL7B",0,15,1,0,1,0,0,3
"ACTL8",9,0,4,27,21,6,3,0
"ACTL9",0,0,0,0,0,0,0,0
"ACTN1",9201,33110,60504,9216,32205,9624,20798,65887
"ACTN2",10,33,11,17,131,0,40,120
"ACTN3",13,3,6,2,2,2,1,8
"ACTN4",11815,47901,54649,28277,24403,19953,19583,76469
"ACTR10",533,4742,1265,1876,2425,1872,3183,4479
"ACTR1A",6219,7484,9577,9175,10197,5810,5568,11838
"ACTR1B",1790,6731,3287,3751,1754,1909,4859,4521
"ACTR2",3333,22770,5728,4703,4656,4937,11613,18241
"ACTR3",2181,15338,3283,2746,8526,7912,10418,18508
"ACTR3B",42,706,358,453,210,277,1117,671
"ACTR3C",26,33,7,5,0,7,11,9
"ACTR5",208,1297,708,522,1004,453,796,865
"ACTR6",83,1711,371,268,1082,585,1063,1189
"ACTR8",321,2150,1027,910,1199,713,2063,1525
"ACTRT1",0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0
"ACTRT3",37,28,4,64,23,33,31,96
"ACVR1",1019,3195,1885,843,1099,1102,2099,2432
"ACVR1B",626,2486,2208,1293,841,635,1499,1269
"ACVR1C",0,118,39,68,46,135,37,191
"ACVR2A",137,930,74,168,256,184,836,506
"ACVR2B",75,1791,1146,721,881,523,922,1289
"ACVRL1",2939,392,1650,886,509,336,915,783
"ACY1",61,448,544,715,298,356,964,182
"ACY3",299,49,1,10,3,30,13,65
"ACYP1",26,679,201,259,436,777,772,2042
"ACYP2",152,690,423,176,714,186,464,536
"AD000671.6",9,3,1,0,1,1,4,11
"ADA",1880,417,1759,921,928,494,886,519
"ADAD1",0,0,0,0,1,0,0,0
"ADAD2",9,0,2,2,2,10,3,6
"ADAL",58,1554,187,187,243,256,1054,902
"ADAM10",923,7463,2035,2351,5812,2341,3427,9105
"ADAM11",26,161,193,173,371,36,53,80
"ADAM12",7388,650,766,4476,562,217,3821,446
"ADAM15",5045,9905,23715,11465,10543,2972,15926,5969
"ADAM17",330,3102,602,405,753,228,1204,2279
"ADAM18",0,1,0,0,0,1,0,0
"ADAM19",3302,598,2037,372,126,309,1247,1429
"ADAM2",0,0,0,0,0,1,0,1
"ADAM20",1,28,0,0,2,1,6,1
"ADAM21",2,7,10,4,16,0,1,11
"ADAM22",11,305,88,202,61,5,194,173
"ADAM23",68,3473,228,743,1397,726,1131,3279
"ADAM28",237,212,7,36,2,84,229,327
"ADAM29",0,0,2,1,5,0,0,1
"ADAM30",0,2,0,0,0,0,0,0
"ADAM32",9,36,4,0,22,3,55,10
"ADAM33",634,26,10,7,9,28,134,36
"ADAM7",0,0,0,0,0,0,0,0
"ADAM8",2983,338,621,830,62,495,337,746
"ADAM9",578,4972,1114,961,726,345,1713,2188
"ADAMDEC1",130,463,29,71,0,199,67,559
"ADAMTS1",279,4170,1304,351,984,159,2218,1532
"ADAMTS10",590,49,156,172,164,26,261,143
"ADAMTS12",1054,132,437,126,87,57,579,99
"ADAMTS13",60,277,71,437,177,40,850,441
"ADAMTS14",700,32,297,112,122,60,858,96
"ADAMTS15",160,25,66,124,56,8,150,46
"ADAMTS16",297,14,42,913,8,49,143,35
"ADAMTS17",165,78,23,140,1674,32,209,81
"ADAMTS18",3,0,0,0,3,1,1,0
"ADAMTS19",0,0,0,2,0,0,0,1
"ADAMTS2",11199,285,1623,271,3281,403,2061,425
"ADAMTS20",0,18,1,0,0,14,1,40
"ADAMTS3",6,66,8,21,17,19,818,263
"ADAMTS4",844,276,3082,190,611,155,7276,847
"ADAMTS5",140,14,108,31,52,62,90,182
"ADAMTS6",17,59,3,22,6,17,102,67
"ADAMTS7",1562,206,1669,264,475,229,547,2078
"ADAMTS8",7,2,9,43,7,0,4,21
"ADAMTS9",160,187,458,93,207,60,533,381
"ADAMTSL1",319,44,217,90,5,17,246,118
"ADAMTSL2",547,55,271,165,126,22,741,187
"ADAMTSL3",75,56,40,107,33,2,35,60
"ADAMTSL4",1106,137,370,648,147,177,187,195
"ADAMTSL5",50,141,741,303,656,348,181,20
"ADAP1",905,78,79,440,31,120,348,225
"ADAP2",2169,703,351,191,78,264,593,271
"ADAR",8881,68384,15333,18974,15905,4237,24667,24237
"ADARB1",793,2402,990,1602,3580,358,4566,700
"ADARB2",0,73,6,5,0,0,56,6
"ADAT1",241,2204,546,1253,454,346,1411,1043
"ADAT2",34,604,20,43,196,170,847,723
"ADAT3",132,114,107,260,539,167,234,269
"ADCK1",465,740,957,1862,641,595,1258,775
"ADCK2",1570,4524,6163,2895,2726,1919,4308,2902
"ADCK3",2100,7186,1458,1797,2694,931,1950,5243
"ADCK4",1003,3468,2432,2518,2894,1138,2098,2055
"ADCK5",253,362,443,825,695,595,1015,975
"ADCY1",375,3991,158,988,328,4764,1201,4470
"ADCY10",0,6,3,3,3,1,11,8
"ADCY2",11,353,148,42,291,365,16,202
"ADCY3",1471,4338,3897,506,985,617,1049,2341
"ADCY4",407,94,269,74,106,31,200,192
"ADCY5",33,26,9,58,121,4,40,94
"ADCY6",661,4255,2289,2140,2063,609,3219,7515
"ADCY7",720,391,507,161,137,70,470,212
"ADCY8",16,0,3,0,2,3,0,1
"ADCY9",905,3809,1976,1827,3323,348,1068,2981
"ADCYAP1",13,0,28,4,0,2,1,0
"ADCYAP1R1",59,6,136,17,9,5,22,27
"ADD1",10549,23649,10980,11000,17514,5949,14640,14108
"ADD2",30,27,17,46,582,7,56,47
"ADD3",615,4100,309,1152,1754,1154,3260,3343
"ADGB",1,2,2,13,0,0,1,1
"ADH1A",0,0,0,0,0,0,0,0
"ADH1B",1,12,0,62,3,1,5,71
"ADH1C",0,1,0,69,0,0,1,4
"ADH4",0,0,0,1,0,0,0,1
"ADH5",1007,9132,3100,3202,1889,1338,10259,7477
"ADH6",3,55,1,30,0,4,13,7
"ADH7",0,0,1,60,0,0,0,1
"ADHFE1",51,86,178,260,73,192,293,184
"ADI1",1954,4883,3838,5271,2440,1502,8016,5477
"ADIG",0,0,0,0,0,0,0,0
"ADIPOQ",0,0,0,0,1,0,7,0
"ADIPOR1",3935,26222,13044,8978,11105,3694,6997,10767
"ADIPOR2",1333,12855,6364,5331,7805,2964,9217,16679
"ADIRF",0,0,0,0,0,0,0,0
"ADK",193,788,217,510,551,611,885,1282
"ADM",409,490,533,409,4738,1287,273,1660
"ADM2",372,101,83,2455,99,93,151,133
"ADM5",71,16,44,58,42,25,80,63
"ADNP",1111,10182,1848,4315,3529,3210,7976,7074
"ADNP2",239,1902,418,409,440,326,1529,1951
"ADO",393,2591,911,1439,1466,1160,1577,2596
"ADORA1",109,24,91,106,133,5,359,40
"ADORA2A",51,10,5,9,8,3,6,18
"ADORA2B",41,297,158,89,48,126,58,198
"ADORA3",1697,802,273,109,40,106,307,175
"ADPGK",1425,2606,4211,2804,3228,1438,3492,3199
"ADPRH",942,2803,634,754,98,716,795,1437
"ADPRHL1",33,43,39,63,11,77,62,23
"ADPRHL2",1253,6430,4906,2144,4356,1302,2329,5410
"ADPRM",75,381,133,163,392,287,431,941
"ADRA1A",0,0,1,1,1,0,2,3
"ADRA1B",31,58,18,7,33,3,87,152
"ADRA1D",5,0,9,11,21,1,7,3
"ADRA2A",239,101,30,77,35,218,80,599
"ADRA2B",17,10,10,585,25,7,95,111
"ADRA2C",31,10,37,2201,1483,80,2279,20
"ADRB1",9,1,1,9,2,125,4,9
"ADRB2",225,116,5,237,167,9,222,78
"ADRB3",4,0,5,0,4,31,0,9
"ADRBK1",10899,5938,6016,3506,4658,3405,4770,6897
"ADRBK2",680,312,228,2335,2907,492,1657,311
"ADRM1",5544,7401,15335,8936,20642,7475,7950,10226
"ADSL",1091,5728,3531,13075,4033,2834,5158,4963
"ADSS",446,10360,766,1928,2223,1904,2410,11396
"ADSSL1",201,260,372,1754,107,242,1113,78
"ADTRP",51,135,83,14,9,12,34,104
"AEBP1",91861,676219,283834,99534,20622,29896,240642,161541
"AEBP2",121,2466,302,404,1927,595,1261,2235
"AEN",674,4877,9406,6139,6727,6015,4693,2981
"AES",14431,12059,19866,8947,32060,12469,26554,18648
"AF131216.1",6,8,11,3,27,6,16,3
"AF165138.7",0,4,0,0,0,3,9,1
"AF196779.12",0,0,1,0,1,0,0,2
"AFAP1",2699,5627,580,1822,817,1764,3174,2321
"AFAP1L1",309,1862,774,2819,1185,899,2343,203
"AFAP1L2",616,8107,204,219,94,440,436,1382
"AFF1",1015,7688,1491,888,2644,644,2155,3113
"AFF2",66,23,2,119,28,12,359,200
"AFF3",20,2953,230,2252,819,334,1575,876
"AFF4",480,14196,512,2638,3236,1665,5527,7557
"AFG3L2",727,9310,2375,5208,3427,2256,9923,7155
"AFM",0,0,0,0,0,0,0,0
"AFMID",238,2242,1173,565,561,215,1583,2462
"AFP",0,0,0,0,0,0,0,0
"AFTPH",320,3429,255,402,359,530,870,1778
"AGA",657,5236,1068,482,326,669,1270,2955
"AGAP1",493,3768,1340,1582,1891,1231,984,1579
"AGAP2",1278,271,147,133,77,155,254,296
"AGAP3",4391,17565,43773,8327,12406,9563,18776,14851
"AGAP4",5,55,4,14,54,24,35,102
"AGAP5",1,4,0,2,4,2,8,11
"AGAP6",28,164,11,72,205,155,343,436
"AGBL1",0,3,2,5,4,0,2,0
"AGBL2",8,93,18,40,31,31,8,51
"AGBL3",5,261,29,69,43,43,219,156
"AGBL4",0,255,1,15,29,1,0,55
"AGBL5",515,4156,3598,2156,2230,660,2483,2461
"AGER",54,133,48,1381,72,135,293,170
"AGFG1",635,8094,2092,1366,2747,1631,1810,3778
"AGFG2",1216,2294,1859,2105,1692,1407,1605,510
"AGGF1",245,3807,190,595,836,674,2201,3037
"AGK",349,3397,2675,1342,1639,1015,2481,1851
"AGL",97,4085,117,268,167,529,1378,2764
"AGMAT",77,62,112,28,53,42,41,103
