"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"STC2",66,40,761,196,257,50,128,135
"STEAP1",51,724,143,639,259,288,499,110
"STEAP1B",6,642,292,1439,406,668,1294,484
"STEAP2",43,146,26,16,21,17,39,64
"STEAP3",742,367,1604,542,428,567,777,114
"STEAP4",361,119,147,248,58,81,238,217
"STH",0,0,0,0,1,0,0,0
"STIL",51,931,219,308,600,145,775,985
"STIM1",4151,4081,5112,2327,3874,1360,2462,5872
"STIM2",269,2076,140,512,379,520,2745,2240
"STIP1",4227,11897,15098,15746,31583,7147,10111,17985
"STK10",6334,15390,7009,13143,7202,1771,6836,17781
"STK11",2555,3211,2669,3042,4326,1716,4824,5292
"STK11IP",1114,4000,1808,1570,1956,790,2269,2920
"STK16",710,2881,1993,1373,1193,990,1739,2003
"STK17A",405,3276,699,336,1386,566,873,1506
"STK17B",584,1368,569,103,237,310,907,2210
"STK19",298,467,327,1207,717,333,684,728
"STK24",2105,4870,5551,3295,1706,1790,5282,5494
"STK25",2898,3058,7221,4365,9964,3644,3461,7243
"STK26",82,486,6,36,89,218,90,424
"STK3",139,1478,196,419,554,485,1297,1137
"STK31",0,20,2,3,1,2,12,10
"STK32A",0,21927,403,4443,1763,1215,10161,3593
"STK32B",312,1014,966,63,605,27,485,138
"STK32C",780,557,935,978,1482,1602,653,937
"STK33",11,12,0,19,1,10,1,39
"STK35",1044,5632,3329,2323,3082,1328,1605,2690
"STK36",334,1991,1078,948,1169,610,1691,1530
"STK38",1292,3303,907,1307,2968,1870,2092,3473
"STK38L",163,1625,395,335,540,354,2529,2395
"STK39",262,1468,640,443,1030,142,1733,1765
"STK4",1165,5854,668,1228,2189,1923,2066,3696
"STK40",4183,6712,11442,4564,4435,1268,2950,8117
"STKLD1",16,229,213,67,109,43,81,133
"STMN1",2234,11070,7890,8425,22474,9520,37870,49523
"STMN2",29,27,2,0,0,4,15,14
"STMN3",1438,1098,3318,2530,2758,8757,5590,1020
"STMN4",0,1,0,1,0,1,3,0
"STMND1",0,0,0,38,1,0,0,0
"STOM",3247,37363,6236,4605,6919,8650,12558,16939
"STOML1",528,1279,2587,1743,1829,807,1082,880
"STOML2",1856,3566,4714,6292,4799,2958,3654,6435
"STOML3",0,5,3,157,23,17,3,22
"STON1",147,579,106,534,70,79,1497,441
"STON1-GTF2A1L",6,1,0,1,0,0,1,0
"STON2",289,24,8,10,17,357,174,602
"STOX1",0,3,7,55,13,3,53,63
"STOX2",17,363,173,112,79,85,98,243
"STPG1",167,1404,1789,945,1059,312,572,2410
"STPG2",0,51,0,3,0,1,5,8
"STRA13",521,2914,1790,1448,3069,1212,1920,4080
"STRA6",428,102,194,138,12,85,819,254
"STRA8",0,0,1,0,0,0,4,3
"STRADA",253,1938,426,462,635,177,1051,1525
"STRADB",307,2208,1413,1799,2300,3262,2188,1209
"STRAP",991,8460,3381,3429,5590,3549,6564,8898
"STRBP",208,1041,280,457,694,687,705,1359
"STRC",0,26,0,0,4,4,1,40
"STRIP1",1039,6051,2671,1491,1131,875,2502,3350
"STRIP2",55,614,337,256,107,800,2079,1537
"STRN",215,3256,199,335,936,529,1368,1954
"STRN3",118,1661,154,381,748,565,1489,2067
"STRN4",3568,6826,6645,6198,8593,3631,5698,7929
"STS",167,2033,377,570,1689,249,638,1821
"STT3A",6497,9180,28096,12166,5805,2490,5862,6186
"STT3B",1631,10586,3634,4727,5802,2711,8074,10076
"STUB1",1902,2659,3700,3048,5187,1573,3174,5046
"STX10",2015,2515,3100,2901,4054,2398,3855,4393
"STX11",316,442,276,45,438,168,86,954
"STX12",805,7047,899,888,1741,645,2116,3147
"STX16",435,8126,668,1079,3162,2538,4761,3733
"STX16-NPEPL1",3,16,6,6,96,7,109,80
"STX17",130,1584,165,305,234,219,618,526
"STX18",511,3277,496,950,2480,639,2569,2585
"STX19",1,1,0,6,0,4,1,6
"STX1A",91,380,368,2817,263,208,570,264
"STX1B",116,71,34,11,15,40,54,38
"STX2",157,1246,222,293,1348,695,1779,2210
"STX3",348,4224,3630,3271,4705,3475,3326,5675
"STX4",1734,2370,1941,1125,2664,2286,1942,3243
"STX5",2610,1641,2562,2846,2422,1258,1719,2932
"STX6",879,8456,2983,2307,2149,655,4843,2918
"STX7",852,22476,2437,2494,12683,3283,16405,16096
"STX8",863,1255,1020,831,2042,878,1510,911
"STXBP1",798,51295,34836,16719,52416,3375,15555,23644
"STXBP2",3575,2357,4822,2079,3270,2054,767,3672
"STXBP3",183,4836,296,368,574,1386,1459,4199
"STXBP4",31,1568,54,107,327,118,354,887
"STXBP5",247,3365,290,288,1362,325,2635,2575
"STXBP5L",0,4,1,52,11,1,0,0
"STXBP6",7,2046,330,960,668,883,1317,610
"STYK1",33,15,3,8,3,1,7,14
"STYX",133,1797,230,325,659,677,941,1302
"STYXL1",941,4066,3631,2951,2148,2077,1361,974
"SUB1",1775,4764,2042,2680,2487,3105,7097,5361
"SUCLA2",141,1542,395,370,1112,509,1819,1718
"SUCLG1",1003,4903,5140,4260,6413,2568,7941,5901
"SUCLG2",686,3011,1007,1218,1322,767,3052,3393
"SUCNR1",103,30,25,10,0,27,42,63
"SUCO",168,9327,482,991,873,583,3339,3456
"SUDS3",521,1594,1148,1021,3329,1232,2224,2678
"SUFU",1929,3490,2216,1947,787,581,1941,3134
"SUGCT",124,232,370,212,316,233,178,85
"SUGP1",1340,1909,2233,3963,2114,1529,2413,2713
"SUGP2",509,4182,2143,872,2390,687,3639,3763
"SUGT1",536,2124,892,1177,2008,1682,2510,3505
"SULF1",2401,2795,1142,422,210,313,3161,1573
"SULF2",13583,718,4775,868,3410,487,4475,1399
"SULT1A1",356,60,195,178,55,48,114,67
"SULT1A2",10,3,1,25,1,0,3,2
"SULT1A3",0,3,0,0,1,2,4,1
"SULT1A4",0,0,0,0,0,0,0,0
"SULT1B1",13,14,1,3,2,4,9,18
"SULT1C2",40,319,101,148,1858,656,6,176
"SULT1C3",0,1,0,0,0,0,0,0
"SULT1C4",18,5,17,10,8,0,13,7
"SULT1E1",0,0,0,3,0,0,0,0
"SULT2A1",0,0,3,1,1,0,0,2
"SULT2B1",16,11,29,107,73,7,8,23
"SULT4A1",0,0,3,228,259,0,4,0
"SULT6B1",0,0,0,0,0,0,0,1
"SUMF1",1342,3806,1537,1246,1384,888,1175,2809
"SUMF2",5320,51154,19986,32402,3947,6357,9533,12299
"SUMO1",788,5836,1855,1377,2657,3413,3787,6126
"SUMO2",2053,8146,5673,3525,4369,3369,8910,16036
"SUMO3",3015,12325,8120,4447,6751,2706,7579,3444
"SUMO4",0,10,0,1,3,1,1,4
"SUN1",874,12216,2877,2715,4238,2296,7069,6911
"SUN2",11395,9595,12264,8932,3083,4263,7546,7467
"SUN3",5,20,25,24,5,2,23,5
"SUN5",0,0,0,0,0,0,0,0
"SUOX",873,1085,1184,2566,667,355,1437,1391
"SUPT16H",1624,13707,3137,3759,5175,3540,8553,9494
"SUPT20H",286,1815,578,601,1262,1025,2782,2423
"SUPT3H",99,565,174,371,622,678,571,703
"SUPT4H1",1789,9427,2589,3028,4016,2461,3679,8001
"SUPT5H",6970,14303,18628,15057,16467,7457,8935,15742
"SUPT6H",5216,36783,11794,10789,4886,3392,8706,12764
"SUPT7L",645,4566,2153,994,2660,1111,2814,2965
"SUPV3L1",279,1458,713,745,1255,1104,1030,1818
"SURF1",1660,2667,3090,3091,2183,1007,1961,2797
"SURF2",418,766,1227,1385,1849,1155,1127,1433
"SURF4",11676,18988,40107,16288,10465,6998,18922,22474
"SURF6",687,3890,1684,1467,3196,1463,3834,2778
"SUSD1",475,297,161,96,548,117,147,675
"SUSD2",1067,529,747,4003,127,57,988,443
"SUSD3",353,85,19,35,8,75,98,218
"SUSD4",3,16,19,68,12,2,13,35
"SUSD5",17,174,1,344,235,58,1149,93
"SUSD6",2721,3688,3159,1343,1366,1330,2844,2655
"SUV39H1",534,848,1461,1010,1670,782,1615,1251
"SUV39H2",46,373,170,244,356,308,921,627
"SUV420H1",371,1748,292,941,1809,1122,2548,2483
"SUV420H2",358,434,562,444,504,448,854,580
"SUZ12",153,4772,347,405,495,646,2775,2693
"SV2A",336,524,1916,84,28,1359,51,1507
"SV2B",31,4,8,12,69,3,1022,56
"SV2C",6,5,0,4,9,0,2,8
"SVEP1",926,124,248,85,31,16,276,137
"SVIL",1281,5669,1326,4936,674,1408,9985,7162
"SVIP",152,1331,492,1041,1255,1245,2227,1443
"SVOP",0,0,3,0,0,0,0,0
"SVOPL",0,2,1,4,4,0,0,0
"SWAP70",1076,9505,1127,3062,3387,3557,1731,10409
"SWI5",420,2107,2415,1218,1557,853,1503,1480
"SWSAP1",110,252,231,218,280,272,336,412
"SWT1",66,902,38,227,227,264,601,537
"SYAP1",515,5504,2511,1322,4305,1625,3256,4746
"SYBU",37,22,9,68,56,11,23,904
"SYCE1",7,1,0,0,0,2,0,1
"SYCE1L",44,15,8,42,38,29,43,60
"SYCE2",5,23,36,127,46,84,163,35
"SYCE3",6,16,8,25,4,1,13,14
"SYCN",0,0,0,0,0,0,0,0
"SYCP1",0,2,0,1,0,0,0,195
"SYCP2",4,144,5,83,73,130,435,168
"SYCP2L",0,1,1,1,2,83,31,11
"SYCP3",2,18,1,6,9,9,19,18
"SYDE1",976,8189,5375,4561,3678,751,6184,2690
"SYDE2",2,369,6,63,5,5,110,268
"SYF2",623,5050,740,1002,2561,1675,2070,5555
"SYK",4562,817,588,470,469,451,626,985
"SYMPK",4786,10391,5931,9441,5530,3487,7293,9679
"SYN1",45,50,84,24,8,22,21,39
"SYN2",13,212,3,7,4,3,10,5
"SYN3",13,99,239,153,189,84,331,46
"SYNC",45,234,150,8,116,16,32,37
"SYNCRIP",1781,10259,3271,2168,5750,3112,10734,10859
"SYNDIG1",467,12,13,2,2,14,335,32
"SYNDIG1L",7,1,2,2,0,2,7,7
"SYNE1",1394,8536,539,705,1358,480,2345,6895
"SYNE2",904,10590,1448,1762,7739,3273,5522,10345
"SYNE3",1220,437,367,617,409,221,2180,1500
"SYNE4",2,51,0,39,5,10,17,31
"SYNGAP1",845,1075,388,1755,1182,540,824,1412
"SYNGR1",503,6088,12530,15231,8972,3693,10682,3295
"SYNGR2",11393,7230,17059,4012,3701,2444,2862,11303
"SYNGR3",146,37,143,30,65,73,25,51
"SYNGR4",5,2,3,5,5,7,5,2
"SYNJ1",224,2585,509,407,1529,706,1096,1035
"SYNJ2",549,837,370,289,550,393,395,1406
"SYNJ2BP",168,3983,235,314,1231,886,1463,2079
"SYNJ2BP-COX16",7,37,36,18,28,6,36,30
"SYNM",76,6706,353,1636,1410,998,3597,5362
"SYNPO",4298,2110,5327,9778,1683,423,6316,2179
"SYNPO2",398,207,56,107,117,31,268,349
"SYNPO2L",2,7,66,263,0,1,1,1
"SYNPR",0,8,0,3,5,0,1930,1
"SYNRG",1618,11977,1797,1385,2709,823,2740,2775
"SYP",33,120,223,133,156,641,106,195
"SYPL1",794,14782,4538,3161,2566,2058,7579,3724
"SYPL2",25,102,60,56,70,80,20,288
"SYS1",1712,3986,3308,2367,2081,1597,1864,2476
"SYS1-DBNDD2",7,5,11,25,17,15,18,10
"SYT1",7,31,4,5,0,21,9,245
"SYT10",0,1,0,0,0,0,0,0
"SYT11",551,15221,291,421,775,297,590,2335
"SYT12",25,9,9,6,4,124,22,58
"SYT13",1,3,4,1,5,744,1,1
"SYT14",1,574,18,8,233,444,6,1207
"SYT15",12,11,1,25,6,2,16,29
"SYT16",0,0,0,1,1,0,0,2
"SYT17",118,25,31,86,20,143,36,38
"SYT2",11,33,3,6,4,1,11,23
"SYT3",2,0,109,7,275,17,0,2
"SYT4",0,0,0,0,0,1,0,0
"SYT5",11,12,976,49,135,414,255,27
"SYT6",3,24,1,5,5,641,46,10
"SYT7",679,24,99,744,208,28,421,26
"SYT8",0,0,8,26,0,1,16,7
"SYT9",0,4,4,0,8,2,0,0
"SYTL1",1140,200,20,313,72,155,116,436
"SYTL2",206,1763,2285,2603,795,190,2185,374
"SYTL3",550,287,199,175,111,92,173,216
"SYTL4",102,454,216,60,104,29,189,278
"SYTL5",0,40,6,14,19,134,39,10
"SYVN1",6814,5348,6795,3190,5557,942,2609,6191
"SZRD1",4778,23534,10205,8206,12044,4809,8886,16156
"SZT2",1868,8607,2962,1680,2930,589,1690,3466
"TAAR1",0,0,0,0,0,0,1,0
"TAAR2",0,0,0,0,0,0,0,0
"TAAR5",0,0,0,0,0,0,0,0
"TAAR6",0,0,0,0,1,0,2,0
"TAAR8",0,0,0,0,1,0,1,0
"TAAR9",2,0,0,0,0,0,1,0
"TAB1",1543,3116,3348,7420,2827,1615,2813,2871
"TAB2",907,5924,532,612,2098,782,3382,4897
"TAB3",211,3484,289,392,1267,1001,1807,2399
"TAC1",0,0,0,0,1,0,24,0
"TAC3",0,0,2,1,0,0,10,1
"TAC4",0,11,1,7,8,0,13,11
"TACC1",1231,10054,1772,1680,5472,1757,4370,3011
"TACC2",116,495,619,470,1140,283,71,1308
"TACC3",1749,1452,2732,2570,7458,3930,8878,4543
"TACO1",553,2347,1823,1335,2997,1003,2023,2963
"TACR1",11,43,0,3,0,0,8,21
"TACR2",46,114,56,285,85,27,130,70
"TACR3",0,0,0,0,0,0,2,1
"TACSTD2",64,13,6,1651,11,30,58,20
"TADA1",66,1227,174,351,363,179,1100,851
"TADA2A",272,2118,429,571,877,312,1255,897
"TADA2B",1001,3656,809,1220,2423,1011,1889,1861
"TADA3",4911,7984,8354,7614,6409,2662,5363,6394
"TAF1",419,4869,705,737,1308,632,1831,2278
"TAF10",2489,1989,6512,4342,5501,3645,3296,2338
"TAF11",254,1920,449,1216,1680,956,2264,2055
"TAF12",617,3473,1292,865,1523,690,986,2225
"TAF13",180,3744,527,543,861,902,1283,2723
"TAF15",3949,18830,8254,10152,9795,3508,12130,9694
"TAF1A",11,796,52,52,112,62,273,345
"TAF1B",53,993,145,170,396,339,977,999
"TAF1C",678,3725,2789,1625,1792,1499,2479,2715
"TAF1D",247,1684,890,845,1021,1524,2857,2049
"TAF1L",0,2,0,3,1,0,0,1
"TAF2",105,2282,188,175,709,495,1924,1876
"TAF3",385,1837,296,517,887,354,582,1029
"TAF4",350,1580,612,804,1034,589,1489,1340
"TAF4B",43,1021,35,207,163,248,974,1007
"TAF5",51,198,81,54,170,197,247,356
"TAF5L",317,2121,852,921,1095,679,1429,2239
"TAF6",1341,6914,8368,6904,4938,1384,3152,1679
"TAF6L",634,713,864,1049,1332,500,1248,1389
"TAF7",631,5546,436,2264,2024,3439,7227,4362
"TAF7L",0,33,2,17,268,2,57,12
"TAF8",436,2948,849,1456,1826,1207,1557,1841
"TAF9",279,1535,615,1324,820,1001,3132,3333
"TAF9B",110,2234,154,263,509,607,1282,1386
"TAGAP",851,475,391,79,16,73,285,528
"TAGLN",6748,925,6420,1857,1938,471,2831,1676
"TAGLN2",20857,42838,28077,49012,29616,20076,27572,68166
"TAGLN3",1,0,0,16,4,3,1,3
"TAL1",73,17,35,16,24,8,45,34
"TAL2",0,4,1,0,3,1,3,4
"TALDO1",7934,7629,13916,15303,26883,5547,13004,18078
"TAMM41",118,431,677,688,596,283,730,493
"TANC1",182,9943,2167,1355,1629,827,3213,6882
"TANC2",1036,5848,806,1490,1415,506,1834,3202
