"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"A1BG",6,0,0,21,11,0,58,1,0,39,3,0,55,9,58,0,0,35,0,0
"A1CF",10,1,0,654,11,0,0,20,0,7,0,128,53,5,0,48,15,1,0,0
"A2M",12651,8691,18296,2187,5928,118,112674,11860,137,21254,179297,5480,1258,57003,11811,11440,9113,18844,3335,1598
"A2ML1",278,1,5,89,66,0,20,218,0,33,41,131,285,52,22,23,8,5,36,236
"A3GALT2",0,0,0,4,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0
"A4GALT",19,28,31,2,10,0,5,49,0,4,30,1,64,11,44,34,0,5,0,1
"A4GNT",0,0,0,1,15,0,35,3,0,14,24,0,80,1,79,0,0,0,0,0
"AAAS",2692,754,1402,5914,1036,30,3248,960,6,2114,2556,1540,304,2906,3269,1337,18,2141,481,190
"AACS",1192,1094,16,546,119,1,589,953,6,566,562,1086,468,438,1038,202,36,547,55,164
"AADAC",0,731,0,336,35,0,0,1,0,1,782,0,73,0,0,0,0,1,6,6
"AADACL2",21,0,4,11,0,0,0,188,4,38,0,565,18,22,0,19,0,0,0,77
"AADACL3",90,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,71,0,0,0
"AADACL4",0,0,0,0,9,0,0,0,0,0,0,0,50,9,0,0,0,0,0,0
"AADAT",157,0,1,31,4,8,32,16,0,156,155,5,27,241,342,50,0,118,59,0
"AAGAB",1130,150,79,715,399,6,1457,1102,0,2834,3152,960,139,2994,1532,549,3627,3017,190,59
"AAK1",3335,754,2940,1023,946,3,1691,1589,45,1826,2255,1551,703,3858,2522,1148,3057,1125,381,80
"AAMDC",1446,1146,914,1062,337,4,501,867,806,2044,1757,1334,119,1767,612,2760,2075,927,71,11
"AAMP",2927,1030,1277,2321,382,9,4037,1018,6,2389,4833,991,170,5474,3843,1551,0,4401,370,69
"AANAT",0,0,0,0,7,0,0,12,10,0,0,1,27,1,0,0,7,7,0,0
"AAR2",1102,525,69,1758,522,2,3033,244,1,2798,3789,196,146,4940,2327,444,0,3994,280,6
"AARD",60,0,32,0,22,1,35,46,0,9,48,185,20,9,36,0,2,17,22,0
"AARS2",229,58,3,549,582,1,302,362,730,1501,443,969,100,701,505,74,10,792,600,74
"AARSD1",258,76,25,673,47,0,496,136,0,668,341,492,179,419,243,183,2,538,140,93
"AASDH",747,624,1221,1776,364,0,850,911,0,1368,809,1870,115,1275,1345,372,6653,1456,186,116
"AASDHPPT",2163,292,2258,2430,313,46,2736,1050,114,4554,2645,972,70,1976,2795,1447,12,2661,244,136
"AASS",1062,486,584,1630,1880,10,2275,867,16,950,2751,244,443,2845,3394,520,40,2092,591,11
"AATF",758,501,558,1252,116,6,2014,352,17,1310,1802,617,91,1230,1101,515,6,1854,200,41
"AATK",5,0,0,11,10,0,16,1,0,7,17,1,2,1,0,0,0,25,9,0
"ABAT",430,119,42,529,99,64,147,162,0,295,300,437,360,600,283,16,40,145,9,0
"ABCA1",3278,2210,3196,6723,2261,3,7435,4219,83,8118,12557,1749,934,20741,2822,2290,15742,6338,692,765
"ABCA10",844,1090,491,330,712,2,365,1259,8,182,203,865,223,923,108,1192,118,337,878,20
"ABCA12",102,0,9,23,22,1,0,186,0,45,16,345,246,80,32,0,0,4,1,396
"ABCA13",0,4,0,8,42,0,0,325,0,0,155,0,214,0,6,0,3006,9,67,0
"ABCA2",27,6,1,22,47,8,30,21,12,36,16,25,13,33,144,6,22,60,7,0
"ABCA3",194,104,103,24,111,2,62,84,13,475,11536,15,41,112,175,242,1,151,205,1
"ABCA4",905,0,0,1,21,0,258,1,1,0,196,0,160,37,16,0,4,1,0,0
"ABCA5",2183,1179,1231,3995,4419,2,953,3895,0,1683,1313,2223,710,481,1646,3495,885,3613,3688,183
"ABCA6",1470,2510,1221,777,560,3,2796,1371,9,521,1580,582,356,839,1347,1769,65,568,864,2
"ABCA7",73,103,305,3,26,0,139,155,0,41,55,241,120,26,45,24,2,28,9,20
"ABCA8",991,2090,246,275,1882,8,3600,1129,24,80,2657,1160,105,3604,1262,1559,42,1424,1495,0
"ABCA9",818,3803,56,555,546,3,462,764,0,223,595,1022,164,491,11,556,1273,306,671,0
"ABCB1",165,14,268,46,16,0,82,251,1,44,287,0,285,117,85,16,22,26,21,1
"ABCB10",1083,178,398,396,184,1,1020,449,1,601,500,686,113,470,2043,632,0,773,62,12
"ABCB11",1,0,0,145,4,0,0,36,0,0,0,0,106,0,0,0,10,0,0,0
"ABCB4",216,10,75,377,40,0,252,395,4,33,27,48,138,1291,259,353,1,154,39,7
"ABCB5",7329,153,0,68,3987,0,94,147,2,2216,2617,58,297,177,200,0,0,7431,1767,26
"ABCB6",150,193,5,548,132,2,194,65,3,137,102,181,41,106,199,182,223,87,23,23
"ABCB7",1861,486,645,1446,413,1,1210,1529,11,1649,2498,256,184,2280,1079,476,0,2440,339,31
"ABCB8",587,23,23,662,892,16,554,211,3,657,609,159,132,334,601,133,16,449,461,115
"ABCB9",134,3,27,234,64,0,226,15,14,159,46,279,356,130,193,9,14,22,51,28
"ABCC1",1451,861,688,891,529,0,1356,1014,16,1005,2431,818,439,1461,910,851,1,785,540,430
"ABCC10",298,117,483,919,406,1,441,143,1,759,504,808,158,647,528,248,10,554,469,255
"ABCC11",1088,0,0,368,556,0,61,0,0,397,14,0,105,59,10,24,4,488,26,0
"ABCC12",3,0,0,0,19,0,0,0,0,10,0,0,95,0,0,1195,51,25,0,0
"ABCC2",2,9,140,372,33,0,1710,187,8,695,1975,34,42,18,22,142,0,84,11,7
"ABCC3",259,438,753,194,27,2,611,757,19,91,1277,681,244,807,848,1,132,30,19,245
"ABCC4",681,40,249,373,161,0,519,812,2,592,955,182,175,479,2271,209,78,580,178,237
"ABCC5",2779,1438,1501,5156,624,6,1979,1326,863,2592,2283,1638,553,4916,3025,1372,1237,2731,655,46
"ABCC6",33,106,39,282,44,0,29,73,6,18,723,1,174,58,76,74,10,23,14,37
"ABCC8",0,0,0,0,25,0,1,62,0,0,1,0,80,0,0,0,1,0,0,0
"ABCC9",530,1797,1968,105,293,1,9479,1770,0,266,969,731,161,735,166,2546,69,115,123,66
"ABCD1",15,6,1,11,61,0,5,3,0,8,46,6,29,13,89,3,0,25,35,2
"ABCD2",82,356,289,0,6,0,41,324,0,10,69,0,0,72,12,73,50,27,1,0
"ABCD3",1541,251,2032,1421,309,1,2603,2191,1,1657,2365,168,348,1871,1406,1000,0,1329,566,223
"ABCD4",2054,1137,652,2969,424,12,1448,1326,4745,1428,2488,375,385,2911,1420,1107,1,2233,332,293
"ABCE1",2088,927,2835,3159,382,4,4553,1523,17,5473,1763,2476,325,4681,3855,1286,24,5930,420,372
"ABCF1",3328,2151,1580,2518,1055,10,3643,1671,10,9338,2564,2279,470,7053,2963,2937,64,4045,2279,268
"ABCF2",1582,453,1110,1129,759,10,3871,1099,14051,7652,3170,82,173,3708,2705,1567,15,2528,207,140
"ABCF3",902,372,507,1718,822,3,1629,477,6,2365,2882,475,248,2601,828,330,6,1601,311,346
"ABCG1",976,255,482,112,194,1,1461,134,20,130,2364,101,81,655,467,533,0,127,110,46
"ABCG2",30,149,11,60,6,0,72,10,0,105,957,178,47,745,46,102,0,262,1,0
"ABCG4",0,0,0,0,96,0,0,1,34,0,0,0,56,0,4,0,0,0,0,42
"ABCG5",101,0,0,283,189,0,65,2,5,35,32,12,258,15,174,0,84,15,1,0
"ABCG8",0,0,0,122,2,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0
"ABHD1",116,1,0,26,5,0,0,12,53,11,0,104,228,21,153,217,7,101,21,1
"ABHD10",867,384,677,847,397,1,1585,626,0,736,1768,688,88,2321,1322,505,6,2150,484,0
"ABHD11",184,108,116,127,117,0,109,61,1,175,248,352,42,114,255,101,7,77,177,66
"ABHD12",622,156,134,420,375,0,396,286,639,525,922,292,84,534,898,143,5,433,645,5
"ABHD12B",296,0,14,3058,240,1,114,23,0,841,102,185,76,359,753,4,0,897,39,31
"ABHD13",976,434,527,230,325,2,839,207,1,711,353,958,93,743,1181,290,0,1073,67,154
"ABHD14A",257,105,37,249,388,3,384,42,0,266,267,132,113,212,476,213,0,303,296,27
"ABHD14A-ACY1",4,4,0,7,0,0,32,1,0,2,5,1,0,7,2,3,0,11,0,0
"ABHD14B",459,1544,454,1318,599,6,2837,800,3,1029,1467,546,157,1918,2884,193,4,2765,477,235
"ABHD15",301,616,665,355,13,0,461,332,1,926,372,23,117,323,496,194,0,609,3,0
"ABHD16A",95,19,68,61,95,2,198,85,0,205,250,0,20,555,72,17,6,147,4,11
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",2,5,2,3,33,0,10,44,0,11,8,12,9,10,6,1,0,4,8,11
"ABHD17B",341,167,24,1111,137,0,498,199,1,618,274,132,163,584,655,206,1,928,22,13
"ABHD17C",215,197,124,149,27,0,403,191,6,337,616,263,159,202,1835,49,0,264,53,121
"ABHD2",1271,683,504,627,703,16,1073,1050,1196,3042,3729,395,818,2655,1718,1015,6,2039,367,90
"ABHD3",851,277,664,481,78,0,618,589,14,155,494,126,126,401,445,1045,61,519,209,73
"ABHD4",1915,725,365,921,156,5,363,263,5,1990,2509,232,275,2192,700,464,0,1631,101,55
"ABHD5",617,783,1,311,89,1,398,282,1,352,1314,78,78,646,449,129,0,400,27,100
"ABHD6",354,543,118,479,425,5,209,409,3,491,380,42,114,312,1211,13,220,201,145,5
"ABHD8",0,0,0,3,4,0,6,32,6,1,2,0,28,4,12,9,6,7,0,4
"ABI1",6206,1349,2637,1624,1737,2,2975,3140,0,2715,4861,1072,240,5630,2680,1048,22458,2832,639,266
"ABI2",4901,669,1054,2921,667,10,1812,1478,2,2007,1831,1254,759,4967,4203,801,24,3913,288,101
"ABI3",83,92,297,8,69,1,34,17,0,92,222,141,4,144,72,37,0,27,56,42
"ABI3BP",5850,1802,7568,102,143,8,139,3986,8,345,4676,265,166,3512,540,2215,30,746,38,94
"ABL1",1456,885,329,1526,936,1,691,566,0,1477,484,111,149,1382,1067,512,0,865,495,35
"ABL2",6897,1366,836,5095,1344,5,2236,1830,7,9252,2637,600,1526,4394,8854,912,45,10215,1180,473
"ABLIM1",6924,3324,3483,448,2517,2,1727,2986,1,507,5536,2482,221,902,247,3957,19,5163,1053,946
"ABLIM2",5,41,0,12,58,0,125,93,0,23,2,145,178,19,55,2364,52,26,0,150
"ABLIM3",186,2514,44,32,524,0,277,659,5,15,1177,427,90,491,854,441,0,255,322,83
"ABO",263,712,19,17,58,0,6,309,0,15,1177,371,91,24,83,1,0,20,0,0
"ABR",3531,853,579,4860,1362,12,1111,816,5,1683,2604,1534,278,1255,2204,322,113,1355,633,519
"ABRA",0,0,0,13,21,0,4,84,0,0,0,0,4,47,11,6796,0,4,0,0
"ABRACL",2457,590,2924,542,748,6,1491,1963,9,1660,2162,303,153,2283,3727,191,2,1420,317,5
"ABT1",1620,236,584,1278,327,0,3047,791,1,6325,2946,510,117,5452,1258,370,189,3046,175,347
"ABTB1",215,67,48,232,59,5,601,102,0,43,1022,18,118,381,372,155,28,191,13,3
"ABTB2",392,3,28,377,35,1,372,156,1,758,31,53,19,43,462,329,6,487,17,19
"ACAA1",596,450,60,496,415,2,350,151,1,423,933,435,77,490,681,665,0,428,190,18
"ACAA2",2273,2305,1275,1734,255,7,2508,1519,1,1199,7883,413,221,6156,1700,3399,8,3815,13,49
"ACACA",2140,296,349,1579,506,1,1262,1131,7,2168,1857,1596,395,1130,806,852,0,1198,161,315
"ACACB",1304,6088,1276,949,1164,8,103,957,4,397,420,1511,376,494,669,1138,40,300,338,0
"ACAD10",714,232,685,2094,359,5,765,474,9,570,786,1714,261,1039,944,299,47,437,312,77
"ACAD11",25,37,1,122,16,0,44,2,1,46,45,4,18,91,41,16,0,29,1,15
"ACAD8",1488,199,1835,617,209,2,363,503,1,670,616,784,83,583,508,591,6,474,14,201
"ACAD9",1079,496,1355,905,396,3,1391,459,24,669,2056,1031,177,1862,1187,831,0,1306,384,57
"ACADL",1,240,0,69,27,0,0,0,6,7,466,1,115,5,0,290,0,10,0,0
"ACADM",2889,1275,1406,1672,526,8,3195,1944,13,4446,3744,273,306,3213,1932,3903,6413,1722,288,88
"ACADS",43,167,15,53,47,1,9,31,1,1,25,46,1,10,47,113,1,20,57,0
"ACADSB",3378,594,1303,542,663,6,976,1357,0,1250,2391,3029,118,1040,618,714,20,799,292,1
"ACADVL",4826,3906,2291,2745,2374,5,3267,1645,20,2002,3438,4861,126,1720,2394,10355,582,2310,4045,1662
"ACAN",20,2,0,3,35,4,0,64,0,112,4,0,249,378,25,2,7,21,0,3
"ACAP1",418,91,1012,126,230,1,1368,328,19,39,512,232,173,190,173,112,0,197,59,32
"ACAP2",3646,1292,2744,2436,984,7,2303,2338,7,2814,2371,829,764,2483,2340,655,511,2057,764,164
"ACAP3",46,13,32,13,51,0,34,71,1,14,19,236,20,12,31,30,44,7,77,28
"ACAT1",4795,1356,940,2071,495,5,5275,2296,0,3607,8761,1773,256,3580,1563,6697,76,3646,190,73
"ACAT2",1856,0,834,197,116,2,384,1058,4,1181,3931,252,139,1828,698,343,0,1547,46,0
"ACBD3",2338,760,899,1047,470,4,2442,2000,2,3008,1863,739,213,3645,2190,758,26,4229,488,107
"ACBD4",44,4,4,83,22,0,89,12,0,20,63,170,47,54,9,42,0,81,34,132
"ACBD5",1491,947,1117,393,346,2,754,897,2,897,1966,327,78,1003,742,639,12,808,463,30
"ACBD6",1592,676,1132,1633,583,0,1076,973,2,1904,808,933,199,1724,1697,324,501,934,424,60
"ACBD7",10,0,0,0,1,0,0,0,0,31,0,0,24,0,8,0,0,0,0,0
"ACCS",634,621,353,960,75,3,729,363,12,572,1703,42,144,983,931,138,0,686,113,16
"ACCSL",0,0,0,577,80,0,40,17,0,5,38,0,70,0,0,0,14,23,0,0
"ACD",75,16,68,133,107,0,280,99,0,277,193,206,41,467,128,49,7631,234,125,98
"ACE",152,126,290,13,31,1,29,246,18,9,842,4,59,21,46,121,0,15,11,31
"ACE2",0,1,0,27,6,0,4,0,0,18,9,0,67,8,0,13,0,6,0,0
"ACER1",147,0,0,1,3,53,0,0,0,1,3,9,69,1,0,0,0,1,0,28
"ACER2",45,67,0,23,3,0,8,6,0,24,15,0,2,45,13,17,0,5,0,19
"ACER3",1579,1243,941,1284,240,4,1327,497,2,1144,1971,481,239,1479,1233,186,0,1022,51,48
"ACHE",5,0,5,0,27,0,1,0,0,2,0,0,19,1,0,45,3,1,21,0
"ACIN1",2483,2964,2557,2938,1273,11,2706,4266,19,2469,2024,2608,402,1843,2534,1195,1334,1620,1985,491
"ACKR1",3349,2250,6627,32,425,18,702,2107,3,0,1863,1277,0,322,76,2315,2,93,0,740
"ACKR2",40,80,192,17,5,0,2,1,2,34,57,0,104,24,1,30,0,28,0,0
"ACKR3",579,953,1604,48,43,1,41,762,0,119,403,1,35,912,110,978,0,123,1,16
"ACKR4",28,114,20,22,30,0,96,87,6,35,665,79,6,50,23,10,0,94,7,13
"ACLY",3550,799,1561,2547,524,18,3992,1844,12,3810,4778,1689,364,4618,1918,518,0,4935,427,837
"ACMSD",1,1,35,168,5,0,2,0,0,2,6,0,78,20,8,2,0,36,0,0
"ACO1",897,1737,645,491,293,2,774,825,21,598,3101,589,378,2588,1118,671,10,631,84,298
"ACO2",2311,290,22,1019,132,3,1345,491,1,1165,3888,274,172,2571,1323,1236,5,1424,212,162
"ACOT1",178,51,36,67,42,0,1,18,8,115,122,0,10,45,29,73,0,84,0,0
"ACOT11",294,115,19,243,39,0,20,44,4,88,243,547,289,243,105,1016,1,3,4,22
"ACOT12",0,0,0,50,6,0,38,0,8,0,0,0,19,0,0,0,4,0,0,0
"ACOT13",1235,685,733,1100,171,2,1382,558,1,3834,2094,200,138,4011,1237,1270,18,2072,384,54
"ACOT2",382,133,68,268,104,0,249,324,0,672,453,20,91,364,351,206,0,302,53,4
"ACOT4",44,190,1,52,10,0,0,0,0,136,36,0,29,29,78,2,1,81,0,1
"ACOT6",0,0,0,0,51,0,0,0,0,0,0,0,33,0,0,15,0,2,0,0
"ACOT7",811,175,143,415,310,3,4256,172,24,5118,1982,218,336,1046,3996,54,542,1823,455,146
"ACOT8",393,316,30,383,104,2,960,147,8,1422,756,319,83,855,746,869,0,894,127,255
"ACOT9",1593,711,1031,2004,703,4,2517,1409,17,1990,4797,614,555,4283,2914,2070,0,3742,918,264
"ACOX1",2405,881,642,1602,577,6,1358,1520,0,1761,4400,970,272,3423,3022,1433,6,1573,538,412
"ACOX2",240,241,1246,561,15,1,68,125,0,69,1920,0,73,2840,1111,476,0,8,10,0
"ACOX3",269,309,120,439,215,0,196,462,1,270,378,82,58,366,187,105,1,247,61,66
"ACOXL",0,4,0,0,8,0,0,0,0,0,616,0,335,14,0,0,30,15,0,0
"ACP1",3327,1626,1077,3434,343,6,3750,1191,13,6625,6203,1440,278,5048,7379,1846,63,7041,362,339
"ACP2",587,589,1038,886,311,5,1424,312,13,1370,2755,106,90,2965,1672,384,6,965,140,43
"ACP5",2636,563,254,1935,1175,4,2245,1529,136,237,11346,472,79,2114,1465,84,21,3267,411,65
"ACP6",514,493,199,330,414,2,879,635,0,1316,851,272,304,873,1596,189,48,2296,219,1
"ACPP",191,0,0,97,30,0,1376,282,0,11,1230,596,111,67,2,6,0,0,4,75
"ACR",1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,38,0,0,0
"ACRBP",74,430,330,90,16,0,146,26,0,48,336,304,25,206,25,4,0,57,4,0
"ACRV1",2,49,118,1,31,0,17,0,0,34,8,0,34,96,89,0,0,12,49,0
"ACSBG1",586,0,0,67,173,0,252,259,0,83,3,69,160,52,11,0,0,18,138,127
"ACSBG2",56,0,0,39,41,0,3,20,0,11,22,0,177,22,10,0,0,13,0,0
"ACSF2",304,927,665,439,386,1,63,288,2,133,893,1252,17,429,232,63,24,423,433,30
"ACSF3",403,205,88,1210,375,0,1043,406,41,327,400,1098,310,799,616,271,23,707,251,111
"ACSL1",5573,5797,2362,947,408,10,995,3484,100,2066,7634,2176,261,1951,2294,8783,52,2038,380,242
"ACSL3",4830,884,2023,1637,1659,3,3693,936,0,6099,2435,1026,640,2946,5268,3124,42,10251,827,3
"ACSL4",1121,768,1106,231,539,5,1697,483,8,3654,4432,733,158,2834,2692,782,100,2816,716,37
"ACSL5",445,247,1423,259,91,5,3106,508,1,229,4613,66,151,533,284,53,38,198,104,28
"ACSL6",96,1,34,7,30,0,23,0,14,2,0,6,130,2,1,11,15,10,1,0
"ACSM1",40,0,13,6,3,0,16,194,0,9,137,1,110,57,43,0,0,4,0,0
"ACSM2A",0,0,0,1067,6,0,0,122,0,0,0,0,158,0,1,4,0,0,0,0
"ACSM2B",0,0,1,1270,16,0,0,61,0,0,0,0,173,0,0,0,0,0,0,0
"ACSM3",261,0,172,46,60,0,111,50,5,126,1286,0,62,216,266,0,6,25,3,0
"ACSM4",0,0,160,6,3,1,49,0,0,7,0,0,60,17,0,49,18,1,0,0
"ACSM5",97,465,4,312,140,1,31,1,0,123,648,16,102,384,167,231,0,58,8,0
"ACSM6",125,0,82,0,5,0,21,132,8,1,8,0,31,4,12,17,26,4,0,4
"ACSS1",532,174,430,350,648,3,1083,856,2,170,692,776,123,442,934,990,5,1324,472,95
"ACSS2",1833,1732,4,591,600,8,1029,1069,6,1124,2092,1298,176,641,776,2636,665,768,495,119
"ACSS3",579,481,585,81,21,0,203,176,17,84,621,12,56,617,175,101,126,34,5,5
"ACTA1",0,0,0,0,3,0,0,9,0,1,1,375,0,173,0,1246537,0,1,0,0
"ACTA2",8388,1496,62542,2484,260,103,12755,6963,68,11049,6056,22295,207,59267,4346,3901,20360,5066,72,117
"ACTB",52484,25520,34650,12942,15849,136,45223,23790,13562,41495,44311,12159,4489,71246,47941,12588,60303,33222,11439,8415
"ACTBL2",23,0,0,12,3,0,3,3,5,0,0,0,37,0,0,0,0,0,0,0
"ACTC1",5,547,7,0,8,0,0,0,28,18,0,1038,13,0,8,48123,1,1,0,0
"ACTG1",76638,16548,28148,30051,14966,248,97221,16831,279,71793,91801,15698,4401,130037,91511,13833,34778,120641,7757,6466
"ACTG2",2499,255,28404,84,2,35,322,4542,21,1178,1425,17062,97,15455,372,511,0,1058,8,16
"ACTL10",17,0,0,12,14,0,1,16,0,10,2,0,13,0,0,0,0,1,5,0
"ACTL6A",1975,144,1547,1643,649,0,3224,2585,1,4055,3503,1161,367,4348,3881,750,6,2996,313,23
"ACTL6B",0,0,0,4,3,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,9,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0
"ACTL9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACTN1",1539,384,657,887,166,10,1152,1328,3318,1241,3513,327,891,6133,9599,435,267,2081,15,875
"ACTN2",42,0,0,85,26,0,0,0,0,77,41,1,121,17,113,142787,0,69,85,0
"ACTN3",0,0,0,5,6,0,0,0,0,0,4,0,19,0,0,299,0,1,0,0
"ACTN4",772,404,237,408,372,4,923,647,20,904,940,1144,232,1087,2936,246,5,2404,458,240
"ACTR10",4387,100,1608,2546,710,6,3373,1524,2,7547,5322,1162,294,7031,3533,1947,1,5649,494,457
"ACTR1A",3649,1449,1074,932,682,12,1512,1112,19,4282,4298,998,272,4426,1824,3600,14220,2096,849,472
"ACTR1B",804,454,682,336,163,1,900,1056,4,474,286,571,97,868,1432,752,246,596,221,343
"ACTR2",9007,3326,7260,3867,1304,16,8668,4777,21,7105,11027,2340,687,15896,8317,2219,2430,6987,1289,462
"ACTR3",8751,1297,6056,2370,1498,10,6698,4567,55,5888,13396,1392,984,15434,8935,1870,423,6206,489,385
"ACTR3B",540,116,95,432,345,0,205,198,6,471,39,237,249,147,154,166,74,206,259,81
"ACTR3C",762,6,38,98,46,0,166,43,0,28,322,91,137,60,58,0,52,10,8,51
"ACTR5",126,7,166,230,80,0,102,382,14,305,175,59,45,180,460,186,0,185,162,71
"ACTR6",1111,93,1431,752,432,0,1592,866,0,2023,1051,212,107,1366,1666,701,0,827,460,82
"ACTR8",865,45,513,849,129,1,1063,340,4,1054,1815,324,99,2431,717,310,2,1339,97,30
"ACTRT1",0,0,0,0,2,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,188,45,32,0,10,71,0,58,64,1,18,84,1,15,0,89,20,130
"ACVR1",1284,395,792,365,145,1,827,1005,1,1106,990,38,223,3081,3174,371,0,790,130,44
"ACVR1B",892,371,190,752,257,0,252,1015,2,400,581,959,104,253,364,49,50,177,56,18
"ACVR1C",152,849,1,12,39,4,21,257,0,34,33,3,209,71,80,172,58,35,116,0
"ACVR2A",1816,706,150,368,120,2,477,1232,5,1018,1423,746,84,3860,2050,350,1,1225,228,33
"ACVR2B",497,299,783,1634,218,11,863,942,24,953,798,559,283,870,1772,353,20,1297,97,1
"ACVRL1",604,767,931,256,53,1,693,122,2,277,3664,32,83,481,249,418,163,160,26,13
"ACY1",270,53,0,453,53,1,392,130,0,208,322,65,45,325,146,57,29,351,77,29
"ACY3",0,0,100,6,7,0,15,1,0,0,18,0,2,40,0,0,0,1,13,0
"ACYP1",990,499,283,784,564,3,389,764,0,2981,554,258,62,507,1853,463,0,1624,230,51
"ACYP2",439,435,336,351,117,3,314,155,12,278,570,149,116,348,326,3827,0,208,10,39
"ADA",108,550,365,65,156,0,476,107,4,539,131,12,75,146,300,134,85,171,145,52
"ADAD1",0,0,0,0,14,0,0,0,0,0,0,0,54,0,2,0,0,0,0,0
"ADAD2",0,0,0,0,1,0,0,0,0,0,0,1,14,2,0,0,1,0,0,0
"ADAL",474,297,1334,3108,430,24,814,417,0,1547,1141,659,229,724,1296,679,92,1826,357,2
"ADAM10",11513,580,4497,7814,1335,12,6284,2033,2,4832,9825,1219,839,4594,4230,609,139,5091,893,27
"ADAM11",165,0,25,112,0,0,14,0,5,15,0,68,31,10,5,0,12,14,62,16
"ADAM12",1971,902,1738,4092,215,6,1780,2966,23,2059,283,350,192,2491,2402,609,80,1216,561,61
"ADAM15",96,90,21,45,168,1,160,209,0,83,197,67,39,254,680,23,5,143,59,232
"ADAM17",1007,312,256,1308,125,4,1304,745,17,1077,2172,63,294,1453,2102,339,118,875,158,147
"ADAM18",0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"ADAM19",723,136,1744,148,109,3,1346,570,4450,277,946,38,88,1787,2926,315,5,222,24,146
"ADAM2",0,0,0,0,9,0,0,0,0,0,0,0,110,0,0,1,12,0,0,0
"ADAM20",78,44,12,98,24,0,0,18,0,30,19,40,8,32,17,9,0,86,24,0
"ADAM21",49,0,0,112,3,0,38,67,0,38,1,0,0,40,14,1,11,113,0,0
"ADAM22",151,91,813,32,156,5,191,203,7,485,98,10,264,914,318,113,1,359,0,1
"ADAM23",411,28,104,381,123,0,99,136,0,249,80,0,76,632,2912,364,1,456,156,7
"ADAM28",221,72,7479,73,130,3,3223,975,3,621,789,171,108,1304,657,72,42,515,181,8
"ADAM29",0,0,0,0,30,0,114,0,0,0,4,0,78,0,0,0,0,2,0,0
"ADAM30",0,0,0,0,10,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
"ADAM32",119,13,3,109,197,0,23,116,4,19,0,0,201,34,32,49,169,27,11,6
"ADAM33",362,1521,254,215,18,1,42,295,0,4,31,536,24,241,43,144,0,21,0,1
"ADAM7",1,0,0,1,3,0,0,0,0,0,0,0,89,4,0,0,8,0,0,0
"ADAM8",181,0,136,16,33,0,255,145,50,48,194,63,6,35,84,41,12,58,14,175
"ADAM9",1083,1009,992,439,226,1,1762,1801,2,2113,6219,358,186,9634,1662,780,2424,1498,166,208
"ADAMDEC1",1412,7,9986,6,22,9,233,25,11,67,1463,0,35,116,167,0,0,130,14,1
"ADAMTS1",652,5573,4,436,199,25,296,612,2,1832,135,216,96,2180,1194,866,0,951,136,475
"ADAMTS10",58,38,18,47,29,0,24,34,183,9,23,5,45,33,2,22,0,7,1,4
"ADAMTS12",306,744,1203,60,25,1,59,414,14,469,509,466,70,1920,663,331,0,149,6,6
"ADAMTS13",124,130,0,250,63,0,3,15,21,54,79,21,122,88,73,7,13,120,64,0
"ADAMTS14",117,0,4,5,11,0,149,196,0,1,6,3,34,24,190,21,13,9,11,69
"ADAMTS15",69,1812,9,7,13,1,7,632,1,40,6,0,25,83,59,60,7,10,0,24
"ADAMTS16",0,161,0,8,278,0,357,254,10,10,19,0,12,173,117,25,1,159,108,0
"ADAMTS17",144,112,0,111,90,0,1,187,1,37,28,838,75,45,11,113,4,15,2,28
"ADAMTS18",117,736,130,5,161,1,33,350,0,8,0,0,159,13,56,106,0,0,0,91
"ADAMTS19",72,0,0,2303,20,0,10,43,0,0,0,7,35,12,0,135,11,12,0,0
"ADAMTS2",469,1540,225,605,156,0,430,1221,26,514,168,30,69,1001,882,543,28,202,12,58
