"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"RNF168",3142,1453,1376,582,220,0,1421,866,0,1331,1648,1319,359,3375,2263,1113,62,2777,536,122
"RNF169",636,129,404,341,86,1,337,381,24,231,185,588,13,410,263,229,21,150,59,4
"RNF17",646,0,0,29,12,0,9,0,0,2,3,3,126,1,154,0,29,1,0,0
"RNF170",2433,49,1292,3031,286,7,2190,1396,30,2089,2097,2180,286,3534,1425,794,1,1496,192,75
"RNF175",21,20,0,3,39,0,206,15,0,36,133,0,87,2208,80,0,53,36,0,1
"RNF180",692,111,775,50,452,32,41,781,1,255,455,93,48,124,155,151,0,128,130,7
"RNF181",2240,1009,2574,1531,352,16,2419,1595,3,4862,3281,652,144,2259,2515,1598,31,1691,166,262
"RNF182",12,28,0,1,22,0,0,56,0,952,362,0,204,70,604,0,0,89,4,0
"RNF183",10,1,0,0,18,0,0,0,0,7,0,0,85,0,0,0,0,8,1,0
"RNF185",1977,520,531,1251,423,9,1697,806,4,1580,2451,464,219,2658,1453,258,0,2005,195,193
"RNF186",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0
"RNF187",1069,569,405,551,280,3,1127,480,125,1286,423,573,127,638,1402,607,871,1501,249,59
"RNF19A",4380,1345,1982,425,1035,1,7247,4319,17,1496,3594,1506,314,3102,1992,1265,411,1601,2123,298
"RNF19B",895,266,32,143,163,1,437,268,5,665,703,321,60,376,717,118,41,281,41,73
"RNF2",507,132,447,671,232,1,552,625,6,1053,644,279,165,1711,1105,266,596,737,159,0
"RNF20",3171,1192,1912,1859,968,4,2557,1302,4,4414,3777,649,172,5559,3427,2400,11,5166,1812,23
"RNF207",313,32,481,1434,147,0,737,117,0,539,225,1,244,388,226,134,11,358,117,26
"RNF208",1,1,0,0,5,0,0,1,0,0,1,1,2,0,2,0,0,1,0,5
"RNF212",175,16,2,1,3,0,57,62,4,2,94,627,19,313,1,27,4,9,0,321
"RNF212B",73,56,16,53,30,0,9,29,0,15,10,0,75,63,0,0,1,19,21,0
"RNF213",9179,4046,9406,6651,7872,46,8247,10915,65,5276,14151,6533,733,8187,14248,1443,2442,5904,7758,2378
"RNF214",623,269,1266,1042,151,0,917,1023,0,904,406,301,159,1053,660,532,36,510,194,23
"RNF215",73,145,38,137,53,6,60,79,0,77,56,0,163,71,167,10,6,111,33,3
"RNF216",1870,559,1137,2905,1055,2,2802,1514,6,3330,2108,1205,370,3895,2803,1185,2,2767,864,230
"RNF217",1698,567,505,420,343,0,898,1263,0,814,832,1074,199,1770,1102,807,97,385,304,401
"RNF220",467,848,619,851,525,2,574,642,14,748,420,344,363,509,986,585,163,545,435,396
"RNF222",9,1,0,5,1,0,0,0,0,0,0,17,28,0,0,0,11,0,0,10
"RNF223",0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
"RNF224",0,0,0,2,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"RNF225",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF24",1516,424,233,1468,1947,1,1123,1904,1,1357,1518,1239,342,3344,3102,446,120,2868,647,80
"RNF25",320,307,150,848,81,0,256,166,0,384,630,176,103,1128,1181,278,0,796,210,72
"RNF26",269,158,39,338,13,1,423,134,2,461,1042,19,35,1079,512,101,0,619,2,1
"RNF31",157,80,93,185,23,0,93,116,1,120,272,62,30,131,166,28,9,89,40,40
"RNF32",31,10,35,153,15,0,41,135,0,19,70,1,13,31,54,1,0,98,8,0
"RNF34",3240,699,1229,1545,846,2,1463,1148,11,2523,3588,103,207,3171,4313,2322,40,1495,481,126
