"GENE_SYMBOL","GSM5133918--MGH200","GSM5133935--MGH253","GSM5133942--MGHPDL002"
"ACTR5",647,5835,1395
"ACTR6",850,718,1864
"ACTR8",1738,1588,2410
"ACTRT1",0,0,0
"ACTRT2",0,0,0
"ACTRT3",100,58,186
"ACVR1",5387,962,2573
"ACVR1B",1107,1305,2152
"ACVR1C",1,481,139
"ACVR2A",2052,3364,1166
"ACVR2B",816,1772,1839
"ACVRL1",1638,1229,2055
"ACY1",128,1044,506
"ACY3",1,7,126
"ACYP1",331,399,1084
"ACYP2",269,654,547
"ADA",1382,3300,1348
"ADAD1",1,14,0
"ADAD2",3,10,2
"ADAL",661,984,1036
"ADAM10",9303,7425,7911
"ADAM11",259,3390,97
"ADAM12",62289,1529,5102
"ADAM15",3967,5216,12985
"ADAM17",5139,1238,2272
"ADAM18",0,2,0
"ADAM19",2219,917,3063
"ADAM2",0,0,0
"ADAM20",187,0,6
"ADAM21",57,6,1
"ADAM22",1874,127,488
"ADAM23",891,1665,206
"ADAM28",3321,135,3139
"ADAM29",0,14,5
"ADAM30",0,0,0
"ADAM32",726,240,42
"ADAM33",3733,10585,369
"ADAM7",0,0,0
"ADAM8",390,336,2197
"ADAM9",30655,2143,6865
"ADAMDEC1",848,13,2344
"ADAMTS1",1209,2353,2306
"ADAMTS10",2013,1043,1131
"ADAMTS12",8778,559,1274
"ADAMTS13",928,2054,995
"ADAMTS14",9495,1669,489
"ADAMTS15",436,5914,58
"ADAMTS16",1673,3225,631
"ADAMTS17",853,2997,103
"ADAMTS18",249,0,19
"ADAMTS19",672,8,0
"ADAMTS2",27350,1931,5923
"ADAMTS20",323,14,26
"ADAMTS3",1360,23,346
"ADAMTS4",973,633,1953
"ADAMTS5",4444,31,890
"ADAMTS6",3404,298,581
"ADAMTS7",1139,4500,653
"ADAMTS8",10,7,8
"ADAMTS9",6872,230,473
"ADAMTSL1",5685,220,425
"ADAMTSL2",94,1006,583
"ADAMTSL3",192,58,324
"ADAMTSL4",6129,308,693
"ADAMTSL5",42,71,96
"ADAP1",34,548,304
"ADAP2",5847,195,2273
"ADAR",22936,26600,39945
"ADARB1",1571,9575,4856
"ADARB2",1,8,124
"ADAT1",1175,1210,3054
"ADAT2",447,4501,1712
"ADAT3",45,346,389
"ADCK1",719,4713,1014
"ADCK2",1710,1393,3056
"ADCK5",236,10467,817
"ADCY1",617,4230,4923
"ADCY10",212,58,3
