"GENE_SYMBOL","D06","D01","N10","N09","D08","N04","D07","N03","N06","D03","N05","N08","D05","D09","N07","D04","D02","N11","N12","N01","N02"
"ABCF1",5698.36555482264,7904.66073106063,5957.13590280126,7119.51622162941,17693.8092302863,11099.2891494259,9359.06843039013,9138.5341486636,11339.8134491077,12693.9909563568,10386.1783730771,3540.9647193608,8785.12054257307,10229.7571262135,8379.4100734968,5759.10970434668,5910.88815483152,3053.61669582494,3147.21858663753,4173.93547706754,10555.1885288591
"ADGRE5",3475.88567459898,7686.94531905997,1243.22836232374,151.713748189648,1853.5845137632,3391.59261098623,3220.30705299157,2468.95279408102,1887.6138519893,13485.477303469,4252.14380332985,659.677164651968,1369.6721373079,2145.05191276224,4484.36066246774,12803.8315624815,2471.57759155775,1967.60590951365,950.348684749619,5719.82004145633,4883.44705536845
"ADORA2A",9.62074047447352,21.55871983,2.05014909427685,15.6608924426789,37.3746886753852,33.0112406597813,8.82349543639247,26.7052244245989,10.8896464382726,57.3643719428443,18.3199702066677,2.50501025368194,20.0615038172134,23.4821813496733,35.7601868701802,32.971313818553,43.787860331077,7.49710781015567,10.402090972453,37.1178703335148,43.2715199489012
"AIF1",3434.19622865775,2302.69220379272,162.382400826468,129.051156120743,2808.66786115442,274.131253257479,3227.49042628754,3870.8411708301,2607.96724179001,514.697899577296,1523.3264425786,134.631106567485,430.000723323987,3602.03333294308,1856.5144991378,1301.42974311705,3320.42381645335,100.228119118981,794.528250311935,560.355338393338,410.116956818029
"AKT1",178.656145912729,214.253508400076,152.904523016181,165.265520903755,595.154770489958,827.522430058277,156.534904115694,485.247491120184,216.543333318411,696.37249869322,334.454329133888,67.5723109861666,208.751379526627,165.428445607691,331.696284901495,317.622517018769,191.553108764413,91.285677495837,108.966215717967,392.389526396367,835.28610562886
"ALOX15B",466.090984743389,5115.95052850728,156.829265889463,102.157045463091,281.317379285651,10984.0258470569,34436.0250684674,1378.58560281506,292.722072911875,22346.9564862085,2463.65057865314,476.871406248872,342.25398863822,0,496.378083840648,6334.29943374136,275.151941179018,3845.93769455225,5.35544853086363,278.978644969986,230.636022761209
"ARG1",1.36227262954019,1.41853000484819,0,0.408143851,0,0,0,0,0,0,0,0.297275016917304,0.500456340495226,0,34.3847557749447,17.1987698473051,0.695835572998831,2.33717601160784,0,0.264216015465857,0
"AXL",221.997256800684,154.36600518653,57.3866302877378,40.0229169711178,286.762302469114,63.1981996816686,165.400119122073,162.207918957597,170.719843376769,206.367606901561,143.755544656887,63.8546353745039,191.423584107492,144.269946878382,65.2317926745066,33.2860397921629,108.708524366043,12.7278688181542,94.7929898018454,21.4032824960821,616.032006889949
"B3GAT1",4163.17171292999,780.825313945264,446.675230217087,28.3109995472539,447.617020814436,21991.2892904757,580.753421462703,2395.86244860059,28.409010435643,2118.21937972439,116.907582416003,5.32143363616507,43.5128280809912,0,1503.46255235648,4853.99056304017,152.585390649297,19.6880509079622,19.9404998489603,551.004698465768,777.190011233556
"BATF",460.385704442095,1172.10200656593,75.6715396330339,88.5386603997351,218.129691512862,235.910375826735,369.499596794458,746.458267565128,940.120241785837,227.833635267492,358.685594334889,28.5607141839692,113.044431599328,537.527895129121,427.146092599883,408.634379941935,348.150571057813,65.1587800631579,30.5241185866474,143.458566274292,497.873464741882
"BCL2",1.29854970078475,2.95420957943704,0.136575528829314,5.71843206912796,1.60714295463496,0.885596774415816,2.64114902610469,1.23953329745071,1.25710975832947,1.40783378766424,1.20182606514263,1.04547469861882,4.48675595318968,2.72470455811658,1.88227850383017,1.30187226236332,1.58972476311012,0.285705292007886,0.739851190935486,0.543799507882738,1.00324926053261
