"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"ERG",2243,5019,1414,1151,438,899,1221,954,1304,460,527
"ERGIC1",13054,5451,8095,7165,6459,8000,8586,8279,13990,13148,6850
"ERGIC2",3438,2407,2722,2930,2071,4134,3439,4165,3626,2335,2452
"ERGIC3",31395,6476,20203,14176,10536,26590,14095,21606,12307,13024,17866
"ERH",8171,3602,6956,7958,5800,6897,5258,6375,7590,4651,3251
"ERI1",753,935,855,780,568,1305,762,411,1292,638,354
"ERI2",599,529,807,865,519,1229,645,576,1128,652,417
"ERI3",5873,1623,3334,3472,2540,2598,1713,3266,3530,3323,3011
"ERICH1",1214,883,1086,692,793,1092,882,701,1923,881,520
"ERICH2",85,13,23,46,13,7,60,3,25,34,25
"ERICH3",3,3,1,18,0,11,21,1,0,413,0
"ERICH4",0,0,0,0,0,0,0,4,0,0,0
"ERICH5",1,0,0,26,53,2,0,7,1,34,4
"ERICH6",17,1,11,9,2,11,6,1,6,3,24
"ERICH6B",18,4,15,37,9,0,4,0,5,8,0
"ERLEC1",3859,4426,2910,2111,1083,3040,1907,2100,1900,3138,1433
"ERLIN1",4052,2597,2456,5420,2281,5419,2929,3007,8540,3673,2216
"ERLIN2",3950,2146,2237,6786,2494,1892,2053,1840,4144,4024,2542
"ERMAP",1851,520,637,556,844,539,562,698,1567,1015,626
"ERMARD",1557,1046,1553,1506,1213,892,618,716,912,1409,1017
"ERMN",65,125,27,7,15,18,49,1,0,57,31
"ERMP1",2225,1705,1896,1209,2800,3690,972,114946,4866,4475,1641
"ERN1",1485,1330,1633,1561,1023,1753,4812,2032,1779,2025,1012
"ERN2",116,0,0,6,5,1,12,3,7,144,5
"ERO1A",8202,7098,20338,10518,71767,53680,39067,13912,21971,36009,27683
"ERO1B",403,383,275,32,37,303,105,176,72,321,83
"ERP27",108,342,624,249,379,17,8,272,22,107,402
"ERP29",13144,3884,7498,6946,10431,9842,7000,10145,12176,8627,10838
"ERP44",6692,6618,9928,13657,7075,10367,10371,10144,13089,5253,10191
"ERRFI1",4089,2737,5510,12235,1466,6947,11257,3729,4964,2897,5184
"ERV3-1",1285,332,684,268,1809,1043,539,3817,521,1663,9717
"ERVFRD-1",6,0,2,1,0,14,0,0,0,4,0
"ERVMER34-1",289,223,118,900,559,627,715,360,2846,623,247
"ERVV-1",36,0,0,4,0,0,0,0,1,0,76
"ERVV-2",52,0,0,0,0,1,0,0,0,0,60
"ERVW-1",0,0,0,10,1,1,0,0,2,1,8
"ESAM",4149,4050,1321,1610,2877,1738,1501,1124,921,2828,523
"ESCO1",1280,658,1390,1199,834,1259,1148,1112,3073,1097,595
"ESCO2",210,255,225,251,170,351,212,114,633,232,38
"ESD",4388,2246,6242,5498,4103,2879,1965,3159,3664,4475,2570
"ESF1",1747,934,2683,1650,827,1646,1175,1411,1734,1212,818
"ESM1",87,904,221,484,39,1011,993,7,156,30,189
"ESPL1",975,830,1286,1197,5731,1907,834,679,1925,8850,552
"ESPN",1309,472,517,1667,3749,1482,5707,8318,4814,2650,1704
"ESPNL",166,16,127,46,0,42,57,8,814,67,22
"ESR1",330,23,193,113,13,37,91,769,77,191,249
"ESR2",4,13,11,2,1,5,33,0,15,19,0
"ESRP1",4641,5233,21582,10293,11032,17730,15151,17941,16831,10208,11133
"ESRP2",1637,5130,14661,7098,11293,17338,9668,11988,15818,11591,13143
"ESRRA",6150,3125,5475,8984,5860,5959,2421,5770,11158,6466,4121
"ESRRB",46,1,0,0,13,6,4,1,4,117,0
"ESRRG",59,3,2,10,16,8,50,6,8,305,1
"ESX1",1,0,0,0,0,1,0,0,0,0,0
"ESYT1",20969,8697,11951,8767,5978,16497,12922,6985,11140,8149,4511
"ESYT2",9362,5737,6860,7288,6509,7028,4161,5333,5545,7720,3550
"ESYT3",152,90,231,402,195,1642,322,357,2876,321,1402
"ETAA1",681,652,1421,734,626,635,732,484,986,853,626
"ETF1",9907,7137,16415,11067,10027,15947,7585,18157,16945,13405,9170
"ETFA",4406,3356,4603,6360,4765,4791,2297,4724,11374,8986,3028
"ETFB",7483,1501,4926,4566,8529,2671,4684,8262,5153,6304,6556
"ETFDH",2818,918,950,2028,2299,1952,756,2500,1132,4166,1614
"ETHE1",6027,3827,2429,7311,4334,4041,4516,4917,2871,3701,3825
"ETNK1",1343,1138,1088,1273,797,1893,1204,1192,1856,1349,515
"ETNK2",662,336,653,1238,3087,559,553,237,1390,6208,1242
"ETNPPL",2,0,0,0,0,6,2,1,12,21,0
"ETS1",10072,7803,7314,5686,942,4272,10586,2410,2012,1299,2287
"ETS2",10743,18236,22215,25179,13169,19855,28047,24626,15456,7169,11280
"ETV1",388,106,332,63,205,94,262,58,82,2155,73
"ETV2",124,78,317,175,333,192,52,200,173,256,164
"ETV3",3132,2723,3571,4063,1883,3587,4529,4393,4969,3645,2319
"ETV3L",22,7,29,0,0,0,6,16,2,2,2
"ETV4",322,1020,452,5148,1834,1638,1567,1095,2438,649,1366
"ETV5",2312,1040,339,978,798,412,772,413,540,936,254
"ETV6",7004,3238,3244,3199,2310,3336,3446,4353,3240,3493,2089
"ETV7",313,51,379,393,341,1424,214,1192,1664,400,491
"EVA1A",1536,1377,969,710,109,347,720,133,21,145,553
"EVA1B",4597,2424,1617,1618,633,1171,1142,1207,1254,415,1732
"EVA1C",455,441,116,764,1781,1709,323,1187,2107,1871,417
