"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"A1BG",15,24,35,10,2,6,1,4,16,7,15
"A1CF",0,0,0,0,0,0,0,0,1,0,0
"A2M",75987,13599,6600,7892,5740,8641,9542,5875,5005,14983,2479
"A2ML1",1354,9188,2701,19143,173952,69530,38568,24908,57239,104751,23259
"A3GALT2",1,19,7,0,3,0,0,0,10,4,1
"A4GALT",6271,1829,1271,2339,9074,3096,3174,1158,12673,3058,2448
"A4GNT",1,0,0,0,0,0,0,0,0,0,0
"AAAS",4523,1657,3221,2170,3797,3204,2812,2913,4928,4306,2790
"AACS",2486,2545,3008,2524,5046,6774,4754,4832,12107,5832,3426
"AADAC",14,5,2,6,408,0,6,47,56,689,1
"AADACL2",1,0,0,0,685,6,1,79,85,740,22
"AADACL3",0,1,0,1,0,0,1,0,1,0,7
"AADACL4",0,0,1,0,0,1,0,0,0,0,0
"AADAT",321,67,89,33,283,31,98,16,299,589,46
"AAGAB",3337,3250,4123,7219,3100,3563,4833,6196,7795,3293,3907
"AAK1",6888,2205,4235,4169,2637,3236,3916,5646,7425,2824,3692
"AAMDC",848,436,627,161,624,237,269,377,978,1009,1081
"AAMP",9537,3636,10794,11152,7776,9031,8582,11541,11425,9611,8497
"AANAT",1,0,0,1,0,0,0,5,0,4,0
"AAR2",5369,1522,4799,3254,1777,11050,2675,2705,3264,2540,3156
"AARD",0,31,0,6,9,0,1,0,0,45,0
"AARS2",1977,1034,2300,1264,1678,1096,1322,2161,1880,2400,808
"AARSD1",389,244,397,417,376,190,230,223,300,451,333
"AASDH",664,287,489,1436,439,837,574,671,1055,745,515
"AASDHPPT",1290,1038,3142,960,1543,1893,2334,1321,17107,1856,893
"AASS",270,463,159,192,219,324,276,66,479,762,64
"AATF",5719,2402,5548,7720,4353,5209,5534,5733,8948,3192,5347
"AATK",229,544,195,162,34,136,276,105,188,164,497
"ABAT",516,347,478,379,667,889,483,541,787,1965,341
"ABCA1",6038,3361,3500,4283,1350,1854,3511,8065,2117,1180,909
"ABCA10",80,31,31,372,98,78,128,84,96,141,48
"ABCA12",69,1207,2438,7602,270,16784,7565,23579,11147,2573,12809
"ABCA13",261,88,8,98,725,146,1833,434,1819,69,215
"ABCA2",4166,820,2091,1150,1818,1023,518,1232,1369,4015,525
"ABCA3",692,163,104,88,485,255,241,144,3695,1997,56
"ABCA4",123,25,275,111,21,57,14,12,28,41,68
"ABCA5",730,1001,1061,942,2659,581,815,893,1517,2714,694
"ABCA6",365,112,82,74,83,73,70,68,22,87,25
"ABCA7",3783,1691,1839,4764,5505,924,2654,1833,2776,3712,1363
"ABCA8",242,24,217,26,43,21,10,17,24,284,5
"ABCA9",400,36,45,81,33,39,9,28,22,95,5
"ABCB1",261,64,5,57,11,40,59,114,27,236,7
"ABCB10",610,1083,1061,558,530,733,188,527,903,1076,309
"ABCB11",11,0,9,20,2,56,3,11,5,26,41
"ABCB4",183,155,42,23,52,31,67,32,2,135,12
"ABCB5",16,0,35,5,2,20,1,1,4,19,9
"ABCB6",593,363,543,1036,1146,556,764,214,1497,981,76
"ABCB7",1514,746,1765,1544,968,1079,1071,1180,1833,1869,1741
"ABCB8",5079,2156,5049,3139,2820,2965,2131,4825,1894,2364,1879
"ABCB9",824,486,428,601,710,899,516,770,804,877,565
"ABCC1",10407,5056,6074,10903,16896,18831,9078,16103,17901,6645,11075
"ABCC10",3720,889,2370,2186,1576,1667,1214,1254,2750,1767,1313
"ABCC11",17,15,65,80,29,49,50,27,45,28,31
"ABCC12",1,0,4,7,15,3,1,1,0,17,0
"ABCC2",58,63,301,143,40,229,52,317,205,37,121
"ABCC3",5953,1563,321,3132,5424,1392,1601,6692,1500,2816,1745
"ABCC4",831,854,1089,481,210,761,490,514,1142,497,200
"ABCC5",8684,1951,5808,4818,8868,3234,4235,8039,15878,10931,3214
"ABCC6",73,9,9,10,14,4,18,19,2,83,12
"ABCC8",3,1,1,6,2,31,3,0,0,24,0
"ABCC9",1214,268,559,130,97,156,516,121,102,891,115
"ABCD1",5030,515,1177,1252,819,3214,1566,1473,2180,1378,1268
"ABCD2",22,1,0,1,8,5,6,5,31,7,0
"ABCD3",1993,1547,2696,1695,2112,1706,1136,3201,2017,3988,772
"ABCD4",4740,1650,2250,1757,1991,1450,1764,1940,1382,2316,1372
"ABCE1",2770,2590,3452,6356,2875,4381,2825,3093,7834,4200,2337
"ABCF1",11505,3623,8539,12171,4651,9814,10083,8698,10852,8319,7479
"ABCF2",5951,3466,7971,8615,3540,5382,4250,6103,4724,4913,3540
"ABCF3",7085,2019,4430,5818,3776,4544,3693,5698,7111,4658,4591
"ABCG1",2723,1001,1701,3846,2924,3521,2929,6274,1831,1140,2917
"ABCG2",361,34,99,87,31,45,120,52,45,160,122
"ABCG4",45,51,26,122,99,1540,47,171,69,119,201
"ABCG5",0,6,1,0,0,0,1,0,2,0,0
"ABCG8",0,1,0,0,0,2,0,1,0,0,0
"ABHD1",29,11,10,10,7,4,2,12,10,96,7
"ABHD10",1480,776,969,1181,722,572,885,1142,1288,1229,610
"ABHD11",1573,486,1097,730,2179,509,455,605,1541,1882,1041
"ABHD12",8911,1535,3726,3540,5394,4146,3200,5017,5308,5306,5133
"ABHD12B",0,1,1,13,1,40,23,1,7,3,4
"ABHD13",591,718,1275,1224,539,946,1047,832,540,716,457
"ABHD14A",1219,305,385,687,518,259,371,384,311,779,326
"ABHD14A-ACY1",7,0,6,9,20,2,5,3,2,12,11
"ABHD14B",2968,1134,1937,1954,4327,852,876,1644,2205,4356,1234
"ABHD15",1976,601,1680,725,938,831,1745,1476,1110,701,701
"ABHD16A",435,343,401,264,452,446,253,495,415,473,246
"ABHD16B",124,11,53,15,29,89,53,29,38,8,37
"ABHD17A",7108,4727,6683,8720,6595,7926,5044,3861,7706,6450,4514
"ABHD17B",809,482,908,349,935,2534,1060,984,2239,904,816
"ABHD17C",876,1657,1533,3680,4389,5363,4148,5264,7614,2812,2867
"ABHD2",12654,4401,4320,4791,4815,3850,7710,10017,4443,7659,1874
"ABHD3",1724,737,1430,661,882,802,760,2111,2856,700,187
"ABHD4",10222,1467,3136,1833,5704,4363,4592,6327,6720,4228,3023
"ABHD5",705,896,777,775,2197,1608,970,1642,1970,2249,631
"ABHD6",1243,484,738,699,464,1066,809,1121,642,1300,391
"ABHD8",2995,585,370,1271,769,681,961,973,788,1230,843
"ABI1",5965,6422,7032,4144,5823,8825,11339,8098,13467,6788,4790
"ABI2",2600,1322,1588,1386,588,1082,2308,1293,2068,2077,621
"ABI3",3772,908,390,451,673,468,360,661,308,453,247
"ABI3BP",2289,266,193,40,178,22,111,51,7,637,74
"ABL1",13437,4057,8259,9467,4404,6246,8667,3378,5653,6081,3582
"ABL2",5329,4140,5922,5241,1026,3587,12845,3111,3491,1619,2061
"ABLIM1",7334,10163,8474,23035,44148,62914,24501,27264,53792,31193,22824
"ABLIM2",2909,511,599,1467,4101,751,677,3072,2447,3602,467
"ABLIM3",6738,2553,717,658,4835,1316,728,499,2307,2722,429
"ABO",219,239,65,3846,7954,2769,36,45,693,5406,136
"ABR",20084,5184,6322,5591,11993,15835,12187,3833,9374,15974,3706
"ABRA",150,0,0,0,58,1,0,0,0,2550,0
"ABRACL",2698,1465,1417,1760,1548,1557,1021,2964,706,1084,819
"ABT1",2284,2048,3247,3556,2260,3427,1525,2861,3043,2299,2626
"ABTB1",3437,4278,3846,2611,845,2349,2847,2801,2909,1263,2593
"ABTB2",1460,194,1430,1129,1064,8506,2328,1698,999,1530,1031
"ACAA1",5547,3519,4993,5309,8310,3438,3796,4219,4209,7322,5446
"ACAA2",5017,1005,939,886,732,807,344,319,179,4695,781
"ACACA",4792,2806,7769,7116,5100,6237,5512,8136,11776,5423,6977
"ACACB",1641,393,249,158,278,238,125,177,745,4043,36
"ACAD10",2400,892,2306,1164,1934,1720,1313,722,1626,2133,1775
"ACAD11",172,86,238,174,103,121,89,85,178,264,62
"ACAD8",2642,989,1660,616,1525,1530,532,1707,713,2037,697
"ACAD9",6665,2217,4729,4587,3660,5188,4458,5982,6748,3995,3629
"ACADL",84,0,2,8,51,0,4,0,10,251,0
"ACADM",2801,824,1102,1007,2053,596,874,1512,2860,4916,759
"ACADS",2305,688,664,749,1274,958,834,1995,1172,3269,954
"ACADSB",723,457,409,438,1203,843,111,837,1177,3937,376
"ACADVL",30247,17408,17536,19192,36891,24979,20167,17674,24437,55635,19886
"ACAN",1347,12,635,149,36,170,2542,40,256,31,123
"ACAP1",1632,629,596,247,695,559,480,437,950,394,585
"ACAP2",2367,1744,1830,2128,2440,2981,2649,3046,6011,2225,1107
"ACAP3",9597,4241,6430,12156,15308,5530,6533,8539,8575,12681,8592
"ACAT1",2209,1237,2940,1060,1822,1879,1242,945,689,5875,939
"ACAT2",2644,1336,560,2078,3197,2807,1483,927,5410,3171,2493
"ACBD3",4118,3147,4636,3347,2967,7133,4908,5304,5535,3324,2231
"ACBD4",524,214,208,165,280,297,303,343,87,695,348
"ACBD5",1599,906,952,759,742,1186,893,2274,2034,1687,666
"ACBD6",3049,1502,2991,3802,2408,1747,2235,2127,3044,2430,1852
"ACBD7",9,6,1,22,2,1,5,1,16,40,6
"ACCS",1017,309,3060,300,757,187,150,364,249,1181,317
"ACCSL",0,0,2,0,0,6,0,0,1,0,0
"ACD",1903,857,1695,1659,1229,1181,1187,809,2049,1181,1730
"ACE",3828,1032,360,1012,385,697,727,305,357,1347,370
"ACE2",288,0,73,197,150,275,55,720,1475,269,154
"ACER1",2,11,29,75,412,247,53,244,104,463,245
"ACER2",164,196,187,73,49,591,138,881,329,107,70
"ACER3",2758,4421,2381,3841,3110,7698,2465,4419,6331,1643,3788
"ACHE",1203,48,157,200,873,37,146,21,754,2764,55
"ACIN1",23169,8148,20560,14880,15003,12536,17781,16420,15738,15733,9584
"ACKR1",3045,617,3,50,480,97,13,908,167,1073,30
"ACKR2",258,106,239,225,228,1008,200,540,213,191,517
"ACKR3",4290,6949,5459,5774,1167,2634,4967,4601,999,199,6228
"ACKR4",440,495,94,136,35,800,151,37,1210,22,25
"ACLY",10974,5434,15828,10618,6249,7177,10818,15631,10367,6111,8150
"ACMSD",0,0,10,7,0,1,1,0,2,0,4
"ACO1",4582,1462,1529,1251,1201,1379,1572,1119,4272,3001,1064
"ACO2",16883,3333,6251,10545,9366,7436,4874,5663,18079,21663,11597
"ACOT1",349,58,125,63,66,78,86,77,196,289,53
"ACOT11",3645,1190,1190,2332,4488,2852,4888,6107,4673,1775,1514
"ACOT12",0,4,6,2,0,2,1,1,1,6,1
"ACOT13",2955,1102,3166,1917,1714,1062,1255,2153,1552,1517,2290
"ACOT2",2341,224,402,170,326,258,402,331,485,1324,206
"ACOT4",383,31,31,68,109,79,85,156,203,189,137
"ACOT6",0,0,0,0,4,0,0,1,0,0,0
"ACOT7",5363,3622,4505,10162,4028,10003,8916,7624,15959,2504,9249
"ACOT8",2532,855,2009,1208,1634,1869,1588,1413,1585,1462,2173
"ACOT9",5040,2790,5076,3665,971,1925,1589,1938,3239,904,999
"ACOX1",4466,1977,2678,3117,7343,5236,2870,8664,4974,7320,2223
"ACOX2",197,61,108,41,70,58,22,33,34,711,18
"ACOX3",3220,1108,1070,2100,2805,2002,776,3075,1250,2778,2344
"ACOXL",7,1,1,11,1,50,1,5,3,5,1
"ACP1",3604,2995,5616,4336,3460,3698,4177,4895,6405,3586,3602
"ACP2",14248,1619,2172,3454,1591,4272,2695,4547,3088,3154,1817
"ACP5",43621,3881,6614,4312,5393,9291,11065,6402,8015,1550,12680
"ACP6",784,221,465,139,848,124,88,331,217,1405,295
"ACPP",330,286,1026,581,3558,781,342,2023,688,1815,714
"ACR",25,25,1,14,48,12,8,11,14,45,5
"ACRBP",231,163,40,12,44,28,100,63,41,57,24
"ACRV1",2,1,25,23,1,6,35,205,1,6,30
"ACSBG1",74,51,59,169,109,117,43,110,182,77,51
"ACSBG2",2,0,3,1,5,2,1,1,8,1,1
"ACSF2",5598,434,1636,934,791,757,1039,1064,852,2328,1835
"ACSF3",3163,1244,2235,1706,1557,1760,1507,1665,1987,1960,2075
"ACSL1",5896,5473,2985,3098,4586,2818,8948,14995,13653,13973,7574
"ACSL3",6838,2775,8350,3837,2925,4062,4831,8328,6673,5220,3696
"ACSL4",4965,3796,2194,1992,712,2226,2533,1319,3681,2578,665
"ACSL5",1783,529,302,305,278,4573,263,3084,1641,1116,366
"ACSL6",32,34,17,18,20,12,7,17,29,74,1
"ACSM1",9,0,22,0,40,16,2,8,16,101,0
"ACSM2A",0,6,0,2,3,13,0,0,0,1,0
"ACSM2B",7,1,1,1,0,1,3,1,0,0,0
"ACSM3",192,24,34,28,55,34,27,39,16,497,50
"ACSM4",2,0,1,9,2,12,0,1,1,0,1
"ACSM5",142,0,4,0,12,1,8,2,1,15,0
"ACSM6",0,0,0,11,0,1,2,0,0,0,0
"ACSS1",1648,535,923,1148,1049,989,1079,508,2372,2919,784
"ACSS2",3689,1480,4278,2485,3470,5753,2677,2226,5022,5387,3422
"ACSS3",309,43,172,44,23,28,103,24,9,358,17
"ACTA1",85592,12,20,11,47132,53,34,16,12,402648,7
"ACTA2",27260,3141,10469,5799,5707,3814,12577,1662,3129,7254,1155
"ACTB",785189,402124,563819,950302,420378,495569,657534,412530,336131,252935,576140
"ACTBL2",1,16,2,0,0,1,1,8,10,0,15
"ACTC1",152047,1,4,6,11988,342,17,4,2,29354,3
"ACTG1",302816,163246,240474,269785,357282,215216,234657,246121,203131,180947,192002
"ACTG2",9814,621,464,186,195,100,383,18,80,1777,11
"ACTL10",241,57,234,102,295,822,94,60,392,357,211
"ACTL6A",4178,2974,3510,4796,2216,3122,2801,3153,5729,2474,1684
"ACTL6B",0,0,6,0,10,15,2,15,3,0,16
"ACTL7A",0,0,0,1,0,0,1,0,0,0,1
"ACTL7B",1,0,0,18,1,1,0,0,1,0,0
"ACTL8",0,4,13,5,10,17,11,6,27,0,5
"ACTL9",0,0,0,2,0,0,0,0,1,0,0
"ACTN1",132127,33914,49758,48764,22046,37103,83110,22481,44772,11037,18882
"ACTN2",33914,35,8,4,6947,51,12,15,27,88601,4
"ACTN3",2620,0,19,6,1,15,0,3,4,5,6
"ACTN4",114465,28222,53454,73293,80746,65227,74323,122732,84643,66027,55878
"ACTR10",5400,2174,4553,2777,2523,3744,4194,3568,3982,3409,2568
"ACTR1A",21098,9183,12163,16075,11106,20130,11098,13948,14578,12324,13696
"ACTR1B",4893,2223,2408,1936,3906,1642,2113,2517,2994,5630,1495
"ACTR2",18188,13698,26768,16245,11977,14263,19020,18215,17181,11496,8830
"ACTR3",18168,16750,23536,17424,19992,17731,19242,21708,28396,13611,8513
"ACTR3B",289,230,313,549,331,197,187,92,259,645,164
"ACTR3C",135,55,161,68,248,106,310,90,107,206,44
"ACTR5",1061,503,1596,1031,804,2757,811,718,1185,735,1133
"ACTR6",674,635,732,403,474,1071,436,855,977,688,386
"ACTR8",1423,1205,742,895,883,820,858,692,1122,1375,668
"ACTRT1",0,0,0,0,0,0,1,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",354,93,306,213,96,114,131,161,212,61,81
"ACVR1",4629,2094,2929,1551,944,1946,4293,3501,3020,1049,1112
"ACVR1B",3242,1595,3416,2491,3211,6559,5385,6420,5194,4155,2947
"ACVR1C",67,166,105,222,53,78,612,264,566,64,159
"ACVR2A",580,354,705,455,610,337,500,723,624,950,419
"ACVR2B",433,214,319,158,213,276,317,257,537,437,145
"ACVRL1",3348,3174,1078,897,403,1170,1073,645,659,558,393
"ACY1",372,334,604,317,449,197,424,310,457,544,501
"ACY3",59,0,64,23,1,36,28,43,24,10,49
"ACYP1",435,438,731,925,802,517,401,311,827,568,351
"ACYP2",721,187,524,395,807,481,553,675,519,1679,346
"ADA",4010,1622,3311,1672,1415,1703,1893,2011,1187,374,1545
"ADAD1",0,0,2,0,0,0,0,0,1,0,3
"ADAD2",67,11,11,4,84,19,22,35,27,235,6
"ADAL",513,249,445,343,360,210,368,329,363,889,325
"ADAM10",7261,7753,9485,8658,2674,6794,11454,11296,7211,3233,3560
"ADAM11",35,12,34,23,58,20,21,75,30,171,33
"ADAM12",16475,3545,5498,2308,1418,1495,5271,527,931,66,291
"ADAM15",10708,8533,16558,26190,14481,15172,9504,15903,20101,18733,19657
"ADAM17",6317,3117,7939,7503,3100,4688,3878,6521,6233,2635,5036
"ADAM18",0,0,0,5,0,0,0,0,1,0,1
"ADAM19",12265,6852,2076,1309,1293,1940,3031,993,311,2000,601
"ADAM2",0,0,1,1,0,2,1,0,0,0,0
"ADAM20",2,0,4,20,8,0,9,7,1,13,1
"ADAM21",1,0,4,10,0,12,18,28,6,5,0
"ADAM22",357,44,23,31,83,25,58,27,71,226,1
"ADAM23",3248,135,710,401,1804,357,1369,4399,320,462,781
"ADAM28",1307,126,82,28,132,114,65,706,25,789,32
"ADAM29",7,0,0,10,0,17,21,0,0,0,0
"ADAM30",0,0,3,0,1,0,0,0,0,0,0
"ADAM32",44,52,30,98,38,32,58,19,41,114,42
"ADAM33",969,927,1314,728,257,125,227,184,126,151,83
"ADAM7",1,0,1,1,0,7,1,0,1,0,0
"ADAM8",3476,9099,805,5215,729,3824,7958,1657,2368,404,5254
"ADAM9",9294,8923,6241,15146,2448,8115,9210,4032,8354,4974,4315
"ADAMDEC1",1814,61,41,52,65,70,93,215,44,6,32
"ADAMTS1",2369,5080,950,2242,993,620,992,193,921,2177,280
"ADAMTS10",1860,1072,856,317,274,253,393,670,140,188,140
"ADAMTS12",6933,1510,1420,968,484,587,3701,443,479,60,319
"ADAMTS13",288,103,255,285,247,55,158,70,10,416,68
"ADAMTS14",9991,1299,2442,1338,1711,276,1240,690,204,186,439
"ADAMTS15",5699,1436,1477,1925,187,1209,907,3763,141,68,512
"ADAMTS16",163,1,14,5,1,13,31,0,0,27,11
"ADAMTS17",174,19,63,197,783,260,368,234,2597,531,324
"ADAMTS18",43,197,28,3,1,10,9,6,6,3,5
"ADAMTS19",2,1,1,2,0,1,0,0,0,20,0
"ADAMTS2",23233,2513,11801,4406,2309,1807,8069,2287,1010,276,905
"ADAMTS20",8,6,1,5,9,13,360,187,11,2,70
"ADAMTS3",30,127,38,97,11,43,30,18,15,37,171
"ADAMTS4",3544,6203,695,1563,401,830,2970,232,829,63,177
"ADAMTS5",449,1461,57,90,33,80,115,32,82,61,4
"ADAMTS6",588,626,252,90,37,94,77,67,32,32,42
"ADAMTS7",4366,2916,1923,1070,452,830,1393,1093,555,144,367
"ADAMTS8",98,0,0,0,45,4,2,1,4,80,6
"ADAMTS9",1780,3103,202,538,162,521,563,210,219,547,50
"ADAMTSL1",1072,351,49,61,44,37,73,79,22,577,16
"ADAMTSL2",2021,117,420,745,181,539,478,241,333,253,256
"ADAMTSL3",87,6,13,29,29,27,25,12,135,97,133
"ADAMTSL4",4343,5487,5854,3764,3825,4308,5511,2899,3695,3025,2615
"ADAMTSL5",936,833,1112,1067,1382,1652,1516,1128,1964,1125,719
"ADAP1",480,212,948,782,680,955,450,866,549,165,279
"ADAP2",2448,1769,2244,2554,1572,2698,2661,1659,5099,407,4059
"ADAR",35319,9040,30644,20985,10323,35170,19137,27692,48431,13722,14264
"ADARB1",3502,1348,2276,2480,937,1715,2400,1330,863,1372,1514
"ADARB2",0,39,10,19,125,72,8,4,2,103,4
"ADAT1",1620,942,1376,1345,751,961,1103,1271,1616,1106,1389
"ADAT2",654,588,1284,749,645,456,320,461,720,942,572
"ADAT3",607,305,621,1114,716,942,247,200,974,294,515
"ADCK1",1759,220,776,979,956,475,256,615,545,643,540
"ADCK2",2781,1047,3793,1784,1838,2264,1339,1738,1222,2319,1218
"ADCK5",1608,813,3779,1495,1588,1172,1709,1597,1115,1237,1156
"ADCY1",371,102,73,138,57,135,360,38,143,498,110
"ADCY10",21,12,7,4,3,17,30,23,10,5,1
"ADCY2",1141,27,14,20,282,3,38,52,26,1604,16
"ADCY3",6044,2934,10002,6513,2716,2758,3703,3825,5696,2760,3417
"ADCY4",2310,2078,586,537,392,279,297,841,265,637,200
"ADCY5",269,1,40,16,126,8,51,33,166,334,2
"ADCY6",2834,1453,831,807,1206,1029,524,1320,104,3225,148
"ADCY7",3466,3311,4884,2963,1730,7247,4229,2600,6546,1626,2732
"ADCY8",7,0,0,20,314,7,41,0,10,7,1
"ADCY9",3548,1346,2877,2333,5110,9135,1897,1843,4221,4344,1530
"ADCYAP1",9,16,0,56,0,2,51,0,10,43,0
"ADCYAP1R1",111,92,48,165,18,37,123,5,19,115,25
"ADD1",26252,8584,10092,16929,10489,14027,14747,15729,8995,15885,17663
"ADD2",295,130,15,1,436,15,12,33,122,84,161
"ADD3",4837,1857,949,877,1661,2861,3752,4808,2366,4407,690
"ADGB",12,4,0,3,0,14,0,3,0,1,0
"ADGRA1",81,0,2,4,0,18,0,0,114,142,0
"ADGRA2",9749,3506,4550,2169,685,1348,3480,1507,1212,594,546
"ADGRA3",5065,2090,2022,2345,782,1303,1606,1279,1411,3212,1438
"ADGRB1",251,95,214,41,303,48,128,134,27,250,186
"ADGRB2",2521,331,475,796,100,261,786,145,717,291,433
"ADGRB3",20,6,29,7,3,0,0,2,5,84,2
"ADGRD1",273,10,37,47,26,16,51,33,19,156,7
"ADGRD2",8,36,39,250,24,39,12,44,391,34,37
"ADGRE1",69,26,31,49,8,29,229,425,97,13,254
"ADGRE2",2897,1775,1452,478,179,505,2536,525,972,161,628
"ADGRE3",86,244,5,8,3,13,148,16,8,15,0
"ADGRE5",9521,2531,1775,2486,2022,1915,3690,1035,2685,1413,1492
"ADGRF1",13,1159,5,3818,3099,2031,53,436,611,909,539
"ADGRF2",33,51,88,36,218,102,306,49,68,77,83
"ADGRF3",17,11,36,51,9,21,23,4,12,32,4
"ADGRF4",1529,3408,7093,3389,1165,2287,4528,3677,1255,971,2449
"ADGRF5",2534,4964,989,974,254,1052,1448,452,653,859,171
"ADGRG1",22213,5668,15467,15566,8569,22165,30032,33091,19923,11439,16798
"ADGRG2",88,96,12,4,6,2,10,1,28,1658,2
"ADGRG3",714,2386,27,130,44,128,971,56,83,0,0
"ADGRG4",9,0,4,8,1,5,0,0,1,7,0
"ADGRG5",370,25,29,119,152,117,24,57,21,146,12
"ADGRG6",311,1946,1270,1062,864,766,1083,969,1518,5200,554
"ADGRG7",6,0,1,2,0,3,1,28,0,5,1
"ADGRL1",2104,587,1220,6654,3190,1900,3032,942,7527,5169,2362
"ADGRL2",2298,3003,671,1275,1489,5851,1792,3816,1828,4517,3461
"ADGRL3",42,86,0,186,89,9,2317,341,514,56,224
"ADGRL4",1489,2881,396,367,189,507,482,350,232,287,130
"ADGRV1",101,169,16,182,229,321,693,1293,461,670,887
"ADH1A",3,0,0,0,0,13,0,0,0,0,0
"ADH1B",330,4,1,0,1,1,0,0,1,446,2
"ADH1C",33,0,0,0,11,1,0,5,481,134,0
"ADH4",1,0,1,0,0,0,2,0,0,19,0
"ADH5",7604,5471,4310,8336,4216,4961,4929,10946,8639,4994,5233
"ADH6",0,0,0,4,9,8,1,1,2,0,1
"ADH7",4,5,1,250,8280,1139,246,4393,451,21713,109
"ADHFE1",361,123,310,153,200,71,100,796,35,1152,107
"ADI1",5841,3408,5773,5551,6517,5725,2213,6465,7466,7591,4665
"ADIG",7,0,0,4,0,0,0,1,0,1,0
"ADIPOQ",725,0,0,1,1,1,0,0,1,29,0
"ADIPOR1",14985,10868,12810,13233,15964,17651,13388,23243,18421,13810,14121
"ADIPOR2",6682,3405,6542,7899,10468,15370,7751,10050,11498,10765,9118
"ADIRF",2806,4373,3123,9155,15327,10946,7045,23995,10866,14851,4440
"ADK",3711,2522,4723,4052,3129,6306,4331,3441,4859,3675,3757
"ADM",6637,6896,7281,6430,5036,6333,26179,12422,11527,2792,9392
"ADM2",102,91,92,436,670,285,250,218,531,367,596
"ADM5",109,89,78,269,121,73,213,328,31,160,12
"ADNP",9261,3544,8910,4881,4602,7603,6611,6036,8536,7226,3178
"ADNP2",1435,1467,2095,2123,1179,2418,1573,1335,1749,1964,937
"ADO",2468,791,1887,1775,1008,2450,1281,1168,2267,1536,618
"ADORA1",459,12,44,6,93,34,43,20,19,629,4
"ADORA2A",21,13,13,28,24,27,14,17,6,13,14
"ADORA2B",972,897,817,641,675,1176,1330,493,1917,699,409
"ADPGK",4782,4290,3625,3544,2527,2459,2521,4427,3683,2144,1389
"ADPRH",1719,424,716,257,319,319,253,373,389,648,95
"ADPRHL1",1105,61,231,355,356,111,57,55,71,6305,34
"ADPRHL2",4064,1966,3001,3904,3374,3964,2601,3846,3505,2613,3678
"ADPRM",304,213,355,178,192,128,141,187,173,297,254
"ADRA1A",18,4,0,0,1,1,4,5,1,41,0
"ADRA1B",74,10,28,146,7,9,4,3,1,2,34
"ADRA1D",279,19,95,47,6,35,30,9,27,2,42
"ADRA2A",958,26,175,49,370,9,161,13,17,214,6
"ADRA2B",657,18,10,10,28,25,39,2,23,69,1
"ADRA2C",469,293,68,187,343,72,128,7,281,213,33
"ADRB1",21,3,2,69,17,45,13,188,2,124,25
"ADRB2",327,1494,2159,2351,794,804,1654,318,4509,850,921
"ADRB3",14,0,1,1,0,1,0,0,0,1,0
"ADRM1",24433,5533,12929,16331,13606,9445,15358,15849,14765,10878,16399
"ADSL",5578,2469,3378,3846,2523,2186,2205,1177,3647,4415,3015
"ADTRP",460,420,2070,487,99,1250,471,2940,133,96,720
"AEBP1",96533,35286,34720,13169,10121,6028,30801,6025,6230,1319,3812
"AEBP2",1260,1190,1675,1182,1311,2807,2724,2259,3427,1632,1026
"AEN",1864,2225,2100,3802,1523,2316,1841,1665,2573,1639,1249
"AFAP1",7550,1482,1969,3637,1009,2163,2781,1601,1630,2015,1468
"AFAP1L1",3316,3586,1200,1028,330,2411,2204,786,3798,1906,1195
"AFAP1L2",7827,4016,5387,6024,2571,10923,13612,10860,15510,3999,2437
"AFF1",4049,2619,2682,2462,2327,2921,5318,4114,5896,7205,1972
"AFF2",63,4,16,0,4,21,17,40,0,13,0
"AFF3",114,53,40,18,11,17,18,9,27,56,2
"AFF4",4742,3941,7095,2802,5716,11609,4644,6313,9509,7684,2686
"AFG3L2",6751,3103,9359,5222,6615,3510,2977,6502,9338,9202,6381
"AFM",0,0,0,0,0,0,0,0,1,1,0
"AFMID",2153,712,1615,1572,1632,901,2267,1366,2271,2526,730
"AFP",20,9,23,0,5,0,5,2,8,1,10
"AFTPH",2158,1074,2839,2647,3091,3607,3424,4143,4566,3572,2298
"AGA",1928,722,911,1740,1047,1873,1235,2878,2478,1438,2392
"AGAP1",2426,1102,2154,2081,1164,1281,1965,1792,3734,3084,1607
"AGAP2",1230,310,385,155,235,595,584,1326,278,165,573
"AGAP3",10862,4998,10562,15143,7575,10570,3801,10104,4413,7768,4894
"AGAP4",271,303,547,376,404,102,222,279,370,417,78
"AGAP5",46,30,13,37,27,6,6,31,23,26,1
"AGAP6",969,855,1022,1203,984,515,472,906,459,1038,378
"AGAP9",689,276,643,901,609,241,353,166,339,741,220
"AGBL1",55,0,0,0,5,0,0,0,0,286,0
"AGBL2",91,19,88,66,67,93,159,86,58,56,47
"AGBL3",56,58,82,49,47,36,53,80,11,116,19
"AGBL4",0,0,1,1,1,3,2,0,2,1,1
"AGBL5",1937,1013,3140,1059,1490,1086,2390,1209,1771,2484,1661
"AGER",533,507,541,325,520,207,428,391,127,494,186
"AGFG1",4105,3403,6037,4589,3136,5112,7438,9911,6650,2710,2610
