"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"ITPR1",86.09807832,155.961039,715.5903829,17.72883925,49.02005049,544.9491728,39.38661314,140.7816705,146.4030294,223.7083122
"COL11A1",17.72883925,400.063028445,86.562107145,17.72883925,100.5822865,133.742349805,360.50679157,17.72883925,273.198662055,24.747696095
"GTF3C3",396.0293662,211.3460481,461.4506303,258.4015652,349.9816683,380.7601165,273.0604639,230.3232744,330.8594658,154.4796244
"STIP1",1413.194246,1303.666079,1714.97506,2443.44031,1277.549965,1246.211772,826.8883639,1790.962125,2018.143134,1229.610015
"DHDDS",187.4754602,163.91848365,205.08438255,139.44040335,191.44835855,409.30555135,170.6903926,135.8947381,291.04340725,373.1044003
"CRMP1",17.72883925,17.72883925,170.3049618,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925
"PRPF40B",31.08205487,17.72883925,34.0735268,17.72883925,17.72883925,17.72883925,17.72883925,25.87681947,26.73962304,29.19695951
"ETV6",309.495823,492.0257021,232.8406259,379.904973,506.0857012,217.6847499,506.3872607,164.1617386,226.1802106,401.0370748
"NBL1",3952.4194795,2298.653932,5458.21808,1734.3494505,5469.2647675,478.7710907,2611.4071935,501.9933015,1389.353401,8057.381601
"TPT1",8402.5346535,14187.835342,9520.655198,7864.3510175,14199.1860605,11252.4213525,12273.586837,13776.662349,13543.7982725,12043.197712
"NUPL2",333.8548827,286.1226113,889.92891215,146.1740257,345.0664747,226.06913325,222.30651155,163.087561,466.02960185,354.44109265
"FER",46.36523529,31.06714254,44.81061107,96.52026613,81.45615103,44.17980451,57.38796678,75.40455966,92.84272161,41.6994983
"FMOD",53.23496367,305.635603,54.66335456,400.4811749,42.86371056,695.6377758,238.1173404,306.611684,47.37900137,429.7437186
"DNAJC5",82.03014445,77.56058323,80.34867706,60.19483256,57.01024115,87.03797784,55.72597831,62.91810979,108.1068078,79.53015503
"GBE1",183.4825711,157.1081078,1385.137153,46.5855642,160.5167906,226.9881547,186.9214085,573.9636666,600.438728,83.91679982
"TMEM189",94.65366667,46.6903668,85.93401469,36.24931006,68.1856608,152.8834341,185.065201,80.30375523,61.09523396,68.79147559
"CLIP3",486.4929802,527.1397478,173.6462131,458.434573,402.2532029,977.0944307,411.7184784,759.0083227,117.4534769,411.2010259
"MFSD1",675.889628,1954.028839,625.7421506,315.8849203,481.9125992,1175.616993,820.642256,677.6548401,781.4425401,1009.027597
"WDR74",249.4598721,267.8905971,346.66322055,1116.1018084,418.0264579,285.1072102,646.85764735,553.24000225,362.9303166,258.9051462
"NUAK2",20.997086315,49.449239415,17.72883925,24.368978125,17.72883925,21.303880695,95.376661615,17.72883925,38.52607,27.54470938
"GTF3C1",497.5574815,234.3129506,357.6208526,360.0554876,201.9759858,271.8473964,295.4561456,189.2828166,212.1042421,368.4534174
"WDR35",32.151487005,33.13681683,85.254490775,22.651296785,48.41767213,36.998948405,34.44077728,30.65283776,38.120147625,39.064612785
"TBC1D9B",107.5886621,192.4565816,125.6445601,126.4562124,294.2025871,174.8135704,245.3591009,204.4653944,235.3705093,165.5082262
"ARFGEF2",77.11118455,38.15611591,86.84487765,58.95555466,51.61249718,51.33063188,50.93981313,52.33917748,62.91915947,72.63522403
"SLC30A7",801.8099305,1122.836465,674.6211921,1311.873491,868.0019801,845.668177,760.0505875,741.6497978,671.2079995,744.5062699
"CYP2U1",23.79197925,38.73237248,49.217756475,42.505620975,75.775459645,88.25889647,45.474893385,23.609219705,46.120982485,27.09778859
"PLP1",424.6975425,290.8079077,571.3726886,1474.97561915,409.66924255,840.52005585,265.61916653,584.72844915,46.40379429,239.762216185
"THAP8",35.77012859,24.99337384,27.35786503,29.86179829,17.72883925,64.32196388,17.72883925,39.75828819,25.9973663,38.14285324
"PHF21B",17.72883925,24.36489221,75.41351347,17.72883925,33.92831252,17.72883925,25.10393791,17.72883925,25.05401845,17.72883925
"KIT",281.2203002,48.081882675,521.7917339,186.33821865,806.737108,21.59648646,482.5375174,17.72883925,29.00531122,118.8313678
"C1orf35",221.3870476,113.9673251,150.8663731,208.4220329,270.7356157,197.9112531,193.3652427,227.1798661,229.1933048,184.6285818
"FURIN",174.571132,70.57331349,122.5577479,49.48581287,49.27453031,198.4726787,114.9575521,171.8915952,170.4815457,78.78812737
"F8A1",134.3919604,165.3813626,249.1398117,86.21278516,170.5697905,275.0264171,146.3232619,192.1926049,164.5080542,130.6025045
"TRIM73",27.71504518,39.53451613,40.73446449,27.03596034,44.54519298,27.10126225,17.72883925,26.22879608,36.51362163,55.13947004
"PINX1",71.144009795,49.99365462,264.86684055,124.06024505,148.0892215,69.50102388,54.06337236,47.49726334,35.38846115,115.18786575
