"GENE_SYMBOL","GSM4799045--1050685","GSM4799049--1081893","GSM4799054--1005994","GSM4799056--1040211","GSM4799059--1005335","GSM4799060--1006796","GSM4799071--1055419","GSM4799075--1087088","GSM4799076--1096936","GSM4799079--1064719","GSM4799085--1096489","GSM4799086--1045404","GSM4799091--1028337","GSM4799095--1062786","GSM4799096--1045396","GSM4799102--1020143","GSM4799108--1046677","GSM4799111--1028265","GSM4799113--1097176","GSM4799116--1014302","GSM4799120--1091717","GSM4799122--1030566","GSM4799128--1028046","GSM4799129--1011434","GSM4799130--1064847","GSM4799131--1042693","GSM4799132--1081897","GSM4799133--1042013"
"A1BG",0,1,12,24,33,10,23,4,0,1,2,0,0,2,76,0,24,11,22,228,66,41,4,18,20,0,14,32
"A1CF",0,0,0,2,0,62,0,4,0,1,0,0,0,7,0,0,0,0,459,0,68,0,0,0,0,0,0,0
"A2M",257,2154,14246,27941,43579,768,105362,6318,3,18258,91,2751,13320,97,49172,1,6938,33084,33721,14249,58790,22941,45929,17442,15836,679,158,54583
"A2ML1",0,13,3,2,28,298,12,28,0,1,0,0,0,2,6,0,0,5,10,0,18,24,745,73,124,0,968,22
"A3GALT2",0,0,0,0,0,4,16,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0
"A4GALT",0,1,17,3,0,3,10,15,0,48,0,12,61,0,6,0,0,7,1,0,88,0,50,79,8,0,0,0
"A4GNT",0,0,1,1,1,40,0,0,0,0,0,0,0,0,1,0,0,23,0,1,70,14,18,0,0,0,0,20
"AAAS",41,355,2435,2655,3015,298,2247,982,0,669,9,2283,347,28,3436,0,1273,3608,1244,3009,3071,3576,4008,2471,3919,4,919,4940
"AACS",1,158,1016,274,1109,352,651,339,0,83,260,854,26,53,416,0,18,383,78,666,533,365,2189,180,590,0,964,1030
"AADAC",0,0,9,0,259,26,0,0,0,0,0,40,0,0,0,0,0,0,149,0,0,11,15,0,9,0,6,1
"AADACL2",0,9,1,6,27,2,78,4,0,0,0,0,0,1,0,0,0,0,2,0,4,0,1064,1,83,0,0,0
"AADACL3",0,1,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,767,0,0,0,0,0
"AADACL4",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AADAT",0,492,268,494,185,15,103,151,0,6,17,443,0,16,206,0,42,375,111,82,322,53,410,311,226,0,61,167
"AAGAB",1,37,2901,2806,3143,174,1782,695,0,457,10,1639,52,6,2329,1,166,3768,968,1909,1322,3512,1417,2105,1824,89,950,5230
"AAK1",9,1177,3905,2610,1933,361,3598,1961,1,387,78,976,929,84,1754,0,1139,5903,1404,1143,2985,1515,2523,1641,1938,10,695,2398
"AAMDC",0,11,856,9646,1870,77,189,307,0,495,64,1124,679,29,1123,12,84,930,461,472,1447,1431,1518,856,585,309,0,1229
"AAMP",2,19,3682,3815,4453,205,3051,262,0,553,40,1620,471,10,3785,1,42,8143,1350,3719,2697,8840,3964,2810,7731,95,705,5525
"AANAT",10,0,3,3,0,5,20,49,0,0,0,0,16,3,7,0,0,10,2,0,1,0,2,4,5,0,0,0
"AAR2",17,33,5266,3334,4027,161,2281,270,0,83,10,669,199,2,3791,4,749,2212,1057,5744,2141,6250,3745,2499,3499,137,18,8487
"AARD",0,0,0,25,7,45,43,33,0,1,4,83,0,0,0,0,28,266,7,74,98,0,26,0,2,0,0,54
"AARS2",0,816,311,1182,452,57,215,231,0,56,339,606,153,22,1104,0,1350,375,144,482,687,655,993,1631,683,0,480,753
"AARSD1",1,61,498,636,319,161,261,199,0,245,29,260,185,6,899,0,458,546,325,763,508,721,433,608,710,0,298,547
"AASDH",1,613,1019,1190,1501,146,404,989,0,211,309,813,287,0,1402,0,272,684,487,1207,872,1010,1213,1151,919,102,474,1065
"AASDHPPT",0,16,3447,2658,4820,191,2880,446,0,514,166,531,508,2,1519,1,414,6414,1610,3354,1901,2560,1562,3881,1821,0,396,4275
"AASS",7,123,4495,1434,3392,212,427,596,0,247,195,2,64,3,4146,1,1155,2572,1954,2289,7263,3430,1747,1918,449,0,674,1481
"AATF",1,61,3439,1809,1626,74,2216,369,0,162,72,2428,612,19,2739,0,256,3490,714,1814,2069,3289,931,777,2459,1,1351,3138
"AATK",14,1,0,44,26,5,8,4,0,9,1,8,0,6,36,0,0,9,0,1,5,14,1,7,133,0,0,9
"ABAT",1,362,211,67,358,114,245,404,0,26,0,1,113,0,139,0,0,12,599,397,463,233,151,164,81,0,249,189
"ABCA1",18,3648,17464,5299,12202,581,2076,2984,0,1935,363,11314,2594,48,4458,0,1801,3948,3261,3720,5660,18669,8043,2387,2435,0,329,7047
"ABCA10",0,451,47,452,193,201,332,689,0,1458,145,415,398,33,231,0,136,134,120,564,738,814,2240,420,447,0,1,596
"ABCA12",0,8,90,10,43,218,7,45,0,3,1,3,0,1,4,0,0,25,8,28,1,9,734,0,140,0,239,25
"ABCA13",0,2,886,1,38,249,225,38,0,5,32,46,0,8,2,0,0,10,7,0,95,1,38,0,113,0,218,84
"ABCA2",39,20,131,72,9,23,58,19,0,6,9,19,9,7,49,0,8,414,12,35,188,45,35,153,336,0,37,80
"ABCA3",0,6,137,77,746,29,125,44,0,103,0,96,162,2,888,0,1,272,100,0,145,267,234,688,128,19,832,1083
"ABCA4",0,6,34,1,23,79,0,26,0,17,0,0,0,1,86,0,0,0,3,0,3,98,439,0,44,0,0,5
"ABCA5",9,616,1737,4419,2126,310,1772,1169,0,1401,619,312,194,150,4823,0,1791,2408,1430,6396,1632,6526,3527,2544,3996,4,436,4040
"ABCA6",1,813,92,367,1227,310,5722,1900,0,1688,244,16,731,35,492,4,747,8683,208,534,2921,536,3431,582,884,0,0,1458
"ABCA7",2,571,101,153,26,36,111,109,0,17,2,117,70,23,17,0,47,107,28,3,112,60,229,87,81,0,135,76
"ABCA8",0,61,0,2,442,187,1140,322,0,1996,90,46,32,15,93,0,1,5348,93,0,12349,84,6712,2215,53,0,0,645
"ABCA9",3,86,0,282,669,141,1351,1583,0,1390,382,1,158,52,132,0,410,1920,87,1392,588,200,1197,89,351,0,0,425
"ABCB1",1,57,233,78,333,200,46,426,0,103,0,112,161,22,105,0,0,93,243,13,276,341,580,55,46,0,0,141
"ABCB10",0,539,1339,1309,547,44,436,224,0,10,1,1161,47,3,454,0,594,570,410,119,634,560,195,544,427,0,169,810
"ABCB11",0,4,0,0,6,88,0,0,0,0,5,0,0,5,0,0,0,0,85,0,5,0,0,0,0,0,0,0
"ABCB4",14,181,82,356,57,117,382,154,0,0,2,0,6,4,12,0,163,118,445,471,367,94,138,21,42,1,2,796
"ABCB5",2,284,903,12908,2208,102,0,592,0,4,72,0,0,8,25707,0,2877,119,5362,11168,0,18032,1,7076,4054,1,362,22
"ABCB6",3,13,298,395,101,48,169,50,6,114,11,37,8,35,317,0,587,560,60,382,144,340,692,393,380,0,399,204
"ABCB7",0,640,3082,1660,3050,35,1176,517,0,1811,41,2256,261,26,2456,0,24,1234,535,1750,1607,2648,2564,1538,1564,4,726,2498
"ABCB8",1,446,305,1386,550,48,441,82,0,445,22,322,200,1,870,0,1058,1640,128,394,461,689,244,507,1118,10,120,1065
"ABCB9",1,6,171,109,51,113,250,67,0,24,4,79,162,9,110,0,224,1054,24,979,30,158,461,40,302,1,4,245
"ABCC1",1,1760,1254,2219,836,260,823,1022,0,487,66,363,414,86,1068,0,478,665,317,1246,995,1171,2660,1015,1022,0,465,1417
"ABCC10",1,1176,867,1071,651,142,400,488,0,188,77,160,227,14,837,0,72,481,442,570,1741,377,956,1117,697,1,528,833
"ABCC11",0,8,26,18,94,43,1,12,0,3,5,2,0,3,81,0,0,4,66,87,19,766,40,192,35,0,9,50
"ABCC12",0,7,0,0,0,34,0,14,0,1,0,0,0,5,0,0,0,0,2,0,0,37,0,0,0,0,0,0
"ABCC2",0,208,45,207,801,183,318,116,0,33,27,2,4,55,2978,0,0,3662,950,192,33,4138,17,2223,275,0,724,1652
"ABCC3",0,1489,310,85,217,96,246,407,0,200,10,383,508,6,251,0,41,1046,343,2,215,365,886,209,226,0,449,283
"ABCC4",90,703,5070,750,775,240,1687,240,0,5,3,864,15,34,672,0,1347,1701,58,302,215,331,1123,97,218,1,159,2235
"ABCC5",7,1366,3576,1651,1721,441,2407,1419,4,366,504,2187,865,213,6766,0,1379,2184,1384,1709,2989,3161,2020,2823,3281,16,667,5939
"ABCC6",0,10,52,16,176,67,3,122,0,12,1,1,0,12,3,0,22,8,98,0,36,66,4,15,35,0,76,171
"ABCC8",0,0,1,1,2,72,235,36,0,20,1,155,0,1,0,0,0,1,4,1,37,0,0,0,0,0,0,0
"ABCC9",1,286,300,255,675,318,105,536,0,925,57,9387,596,27,698,0,60,264,109,1288,809,121,2276,403,322,0,10,449
"ABCD1",10,11,51,21,45,10,6,1,0,0,1,30,13,0,28,4,0,56,6,8,72,57,10,66,191,0,13,64
"ABCD2",0,432,80,247,129,20,196,465,0,219,0,0,22,6,119,0,0,0,63,0,152,193,14,54,0,0,0,80
"ABCD3",1,850,3848,2100,2354,388,714,558,0,281,106,324,99,22,1957,2,189,794,989,1695,1947,1577,1252,1400,2126,2,150,1911
"ABCD4",4,1026,3816,2188,2744,170,572,505,0,734,13,1600,1116,95,3336,0,3162,1196,1045,1514,3002,3235,3469,3437,3276,0,539,2181
"ABCE1",1,511,7262,5438,4426,313,2505,1111,0,539,1344,3121,576,29,5423,118,1973,3560,2227,5578,2802,2705,3337,2864,2621,0,1177,5923
"ABCF1",1,1728,6987,10402,4939,346,3210,2425,0,1000,1729,6651,844,87,3950,0,2125,4469,2038,4286,6344,3925,3789,4619,3393,136,1454,6002
"ABCF2",3,13,2966,4684,3505,262,3726,295,0,356,389,3021,92,17,3541,0,875,4157,1179,4093,1900,5837,941,1522,2492,7,299,4767
"ABCF3",28,475,2020,1385,1207,139,1581,617,0,319,4,941,155,46,2810,0,1266,1798,1058,2894,1659,3416,959,1746,2275,0,465,1676
"ABCG1",2,964,479,226,515,67,408,437,0,361,298,415,599,2,311,0,8,180,287,90,396,1177,256,247,306,0,1,331
"ABCG2",0,3,66,80,797,40,192,43,2,2,10,229,15,7,422,0,0,123,65,0,210,23,73,129,46,0,4,596
"ABCG4",0,1,30,9,0,7,0,0,0,229,0,438,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0
"ABCG5",1,0,21,10,12,184,12,36,0,35,0,1,0,0,119,0,0,293,140,0,11,109,0,8,43,0,0,260
"ABCG8",0,1,0,0,7,10,10,0,0,1,0,0,0,0,4,0,0,0,57,0,0,0,0,0,10,0,0,5
"ABHD1",0,6,41,2,73,122,68,37,0,349,1,0,0,2,7,0,0,88,3,1,36,8,3,0,36,0,0,0
"ABHD10",3,57,2620,1484,1636,70,1093,586,0,1310,1,1388,109,18,2180,0,156,1671,988,1391,1204,2831,889,456,1191,10,12,3108
"ABHD11",4,69,48,428,275,39,88,89,0,51,255,112,12,17,283,151,190,507,117,9,172,346,421,265,398,0,186,255
"ABHD12",1,363,903,514,691,67,1378,312,1,75,54,190,253,15,1086,0,314,1227,414,232,640,908,613,1242,755,24,110,880
"ABHD12B",1,14,558,161,106,65,305,158,0,227,57,107,42,6,257,0,1,358,22,51,242,740,440,9,321,0,28,49
"ABHD13",0,72,858,390,694,100,481,300,0,29,45,385,255,9,457,0,54,279,477,834,620,625,340,729,581,0,397,559
"ABHD14A",0,59,498,471,293,38,403,184,0,56,17,409,144,20,317,0,223,600,151,198,464,427,306,715,834,0,453,340
"ABHD14A-ACY1",0,0,2,16,5,0,14,0,0,0,0,43,0,0,7,0,0,13,2,17,1,5,1,0,5,0,0,18
"ABHD14B",0,120,2127,1610,602,77,1828,465,0,968,45,754,474,35,1621,202,194,1275,662,728,1374,1314,1705,875,5746,82,772,2313
"ABHD15",1,1163,793,388,506,113,307,274,0,26,7,790,312,8,673,0,0,768,378,310,378,485,751,536,525,0,16,752
"ABHD16A",0,1,207,377,216,36,71,23,0,3,0,22,28,0,331,0,93,153,85,216,428,171,85,180,151,0,24,166
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",4,11,14,8,7,2,19,11,0,2,3,1,2,7,6,0,0,5,4,4,18,3,21,7,15,1,21,24
"ABHD17B",0,2,478,565,557,44,271,398,0,1,16,533,163,0,803,1,553,403,343,236,298,784,174,861,250,0,88,526
"ABHD17C",0,59,1091,181,289,26,200,84,0,0,13,358,158,3,148,0,376,805,179,296,193,190,87,384,322,8,386,181
"ABHD2",2,308,6212,1359,2223,389,11776,686,0,349,20,1380,690,5,1288,0,807,18646,2189,1098,6192,2066,1057,1479,1562,1,705,16542
"ABHD3",0,656,977,658,652,91,367,1323,0,601,29,99,175,11,844,0,72,408,660,695,1096,380,202,789,318,0,0,593
"ABHD4",4,67,3748,1022,1449,123,1073,173,0,1218,436,550,140,43,1037,0,4,1082,697,1005,883,5686,1712,2625,1436,0,17,867
"ABHD5",0,19,1327,520,572,43,582,113,0,23,0,1072,18,3,793,0,155,1051,203,696,331,942,137,343,597,0,2,580
"ABHD6",2,317,328,243,352,183,127,209,0,355,23,208,393,50,1007,1,4,285,351,516,283,1266,501,565,336,0,394,576
"ABHD8",0,0,11,15,6,10,6,2,0,1,0,24,1,0,16,0,3,5,1,36,27,6,36,11,6,0,0,21
"ABI1",4,859,4464,4357,6492,221,3773,2352,0,1456,5,1143,405,44,4763,1,1126,1488,3505,2500,3009,5333,4502,6693,4408,8,1328,5725
"ABI2",0,806,4221,3155,3177,475,2435,744,0,1365,30,3267,437,20,1755,0,1755,4241,1367,2654,4288,2301,2380,2224,3141,30,450,2556
"ABI3",6,388,259,91,103,12,156,243,0,46,0,93,246,14,54,192,0,526,230,44,545,178,333,96,183,0,1,184
"ABI3BP",3,1967,1068,231,1505,153,1377,1582,0,1507,16,726,872,36,2035,0,26,118,182,35,5102,456,3746,476,741,4,109,750
"ABL1",1,180,1806,1494,517,140,519,859,1,717,203,2239,109,5,815,0,59,1366,944,1273,1139,987,1252,3262,1133,2,348,958
"ABL2",1,1000,9081,4125,2731,1332,6067,2190,2,712,261,7610,695,161,15618,1,1032,5769,9473,1510,5525,11598,2170,6606,17111,4,2538,5443
"ABLIM1",0,1588,564,408,1755,253,489,712,0,7397,37,629,770,25,718,0,1,78,322,640,716,2941,11613,1234,1708,437,757,1343
"ABLIM2",12,1,7,14,19,68,27,26,0,145,0,234,7,9,7,0,308,56,14,0,88,14,197,53,0,0,36,42
"ABLIM3",0,18,497,280,613,54,1141,87,0,1206,1,254,569,6,429,2,133,1340,336,999,1044,957,483,587,623,55,508,583
"ABO",1,35,3,32,182,5,10,135,0,162,0,4,72,16,11,0,1,48,1,0,44,1,481,73,51,0,0,96
"ABR",3,1951,1356,2626,2517,493,1605,949,0,437,181,677,795,56,3330,0,1905,3185,1488,2125,2728,3435,1812,3798,2837,6,976,5267
"ABRA",0,1,17,32,28,0,28,0,0,0,0,238,0,0,17,0,0,0,0,146,24,37,166,0,56,0,2,35
"ABRACL",1,312,3663,2080,3630,179,2408,1161,0,628,2,1644,494,3,1993,0,2579,1716,3407,1671,1486,2731,2052,3330,2590,2,421,4362
"ABT1",0,73,4173,4440,2825,177,1413,427,0,319,158,2655,161,5,3090,0,2481,1263,1568,3661,1988,4651,3022,2086,2627,10,98,4028
"ABTB1",31,42,362,115,142,3,166,3,0,157,15,304,94,5,258,0,11,508,96,437,468,382,658,311,634,0,52,507
"ABTB2",16,150,144,250,419,21,448,37,0,3,2,128,14,2,56,0,527,432,62,597,150,303,122,275,551,6,103,136
"ACAA1",0,59,651,463,432,90,653,226,0,44,0,167,85,2,459,0,0,1146,549,576,929,875,799,795,817,1,193,548
"ACAA2",12,244,4846,6521,6230,199,2846,310,0,1424,4,892,465,8,1157,0,1273,1508,2048,2676,1905,3358,5457,3881,4251,0,427,4682
"ACACA",0,394,3062,865,1506,273,1756,476,1,106,85,349,227,58,2523,0,1058,1910,482,3261,1249,1313,2115,533,1780,0,494,3162
"ACACB",6,57,806,363,751,340,96,427,0,2653,50,167,605,40,362,0,4,205,378,317,577,460,356,567,1163,0,44,952
"ACAD10",20,435,1990,505,1484,274,1061,209,0,215,223,331,417,9,1305,0,163,1031,386,485,1105,571,1335,602,2135,0,175,1381
"ACAD11",1,2,225,21,36,5,9,24,0,49,0,3,0,0,84,0,6,33,31,5,51,59,103,28,30,0,4,50
"ACAD8",4,176,1085,289,1200,66,762,308,0,169,2,655,58,22,313,0,56,892,367,1298,1341,1014,372,659,616,0,55,516
"ACAD9",86,188,2822,1252,1035,93,1202,462,0,106,63,917,312,47,2868,0,62,1378,833,1685,2099,1220,3235,574,1959,0,186,2728
"ACADL",0,1,7,0,281,125,6,0,0,250,0,0,0,2,1,0,0,20,33,186,0,1,0,0,0,0,0,293
"ACADM",5,993,3537,3281,6188,202,2914,777,0,574,0,1671,922,5,3230,1,1,3440,2032,696,1648,4247,2819,1397,4229,22,256,2784
"ACADS",0,47,19,13,53,1,27,15,0,1,11,4,22,1,43,0,0,20,5,37,35,15,16,57,1,0,92,38
"ACADSB",0,257,1415,638,1424,158,546,409,0,231,71,560,186,33,1009,10,371,770,483,299,558,1705,2371,808,763,0,120,365
"ACADVL",123,4978,4465,3220,2379,152,4280,2601,0,1569,796,1677,1626,75,2188,1,1909,4715,1469,2270,5388,1739,4044,2578,2897,75,3553,2902
"ACAN",0,1,200,36,80,88,51,42,0,1,0,0,107,0,0,0,0,93,10,220,92,1,140,99,5,0,0,103
"ACAP1",1551,1743,236,277,314,108,353,388,0,61,7,80,473,20,213,0,361,176,183,47,926,498,555,87,253,13,11,229
"ACAP2",182,886,4362,1229,1657,446,1736,1474,0,1137,180,480,455,86,3621,0,1292,3241,1530,1886,2371,2968,1682,2589,2199,701,1473,3381
"ACAP3",11,28,33,55,1,6,52,8,0,31,36,2,10,21,15,0,53,81,6,64,61,7,87,23,44,0,67,33
"ACAT1",7,367,5395,6078,12631,227,3923,452,0,2452,11,1604,681,95,2838,0,1050,7095,2523,4954,3177,4508,5281,2828,2453,517,78,10338
"ACAT2",1,184,3293,1485,1270,124,1090,373,0,585,155,2131,21,1,1601,0,676,2028,380,1486,794,1653,5674,907,1405,0,0,2028
"ACBD3",1,559,3095,3762,2501,85,2510,965,0,891,441,2707,812,44,2465,0,649,4358,2047,1581,2736,3886,2642,1901,2842,2,1933,3940
"ACBD4",201,21,102,39,47,11,69,33,0,13,0,51,3,4,104,0,0,51,21,17,93,53,22,88,42,0,9,48
"ACBD5",9,60,1267,1429,1199,53,1105,704,0,1078,107,756,395,11,1003,0,3,1460,1108,212,971,1060,1207,1623,983,327,286,2070
"ACBD6",0,375,2278,1924,1014,219,1275,496,0,185,214,1641,171,17,1228,0,39,1429,716,1456,1983,1579,1308,1268,1473,1,1052,1458
"ACBD7",0,0,1,0,1,20,2,0,0,0,0,0,0,0,3,0,34,0,0,0,0,15,0,174,42,0,0,26
"ACCS",5,1197,901,520,1683,75,340,442,0,250,11,160,803,68,1113,3,39,481,950,760,930,1161,1056,511,1253,4,1021,1539
"ACCSL",0,1,0,9,302,22,0,0,0,5,0,0,0,2,532,0,0,0,16,78,0,179,0,58,23,0,19,687
"ACD",1,76,527,242,174,14,192,54,0,2,24,1728,100,0,248,0,4,590,115,141,528,336,423,329,487,0,369,258
"ACE",0,206,26,66,109,18,94,46,0,82,0,66,61,3,18,0,4,190,20,31,157,100,410,236,95,1,0,202
"ACE2",0,0,0,0,66,39,0,2,0,0,0,0,0,0,8,0,0,4,19,0,1,0,0,0,0,0,2,0
"ACER1",0,1,9,0,1,26,1,0,0,1,0,0,0,1,13,0,0,0,0,0,0,12,119,0,54,0,0,0
"ACER2",0,1,14,4,13,29,4,0,0,8,0,0,12,0,8,0,0,43,35,48,10,9,0,20,0,0,11,89
"ACER3",0,246,1594,7100,3882,312,907,1180,0,116,120,875,286,21,1281,0,414,2324,966,1435,2448,1728,2129,1692,509,1,120,1396
"ACHE",0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,4
"ACIN1",2,3591,3820,2184,1767,173,1696,3695,0,1931,1540,2147,1383,213,2159,0,3093,2228,904,2351,2869,2089,2495,3744,1927,108,2854,1987
"ACKR1",0,262,0,0,734,11,315,136,0,10565,0,0,8556,27,900,0,0,82,42,18,370,1179,26174,214,1709,0,128,145
"ACKR2",0,8,22,0,14,110,0,4,0,1,0,42,3,0,11,0,0,1,42,0,23,0,1,3,159,0,0,10
"ACKR3",0,30,687,507,184,36,360,105,0,99,0,337,239,1,336,0,14,214,49,316,740,78,1004,121,671,0,1,359
"ACKR4",1,0,304,30,138,7,75,21,0,2,0,6,11,0,135,0,0,40,9,45,261,76,158,0,52,0,0,53
"ACLY",1,1449,8031,8305,4064,431,4710,1676,0,822,187,2521,550,156,8319,1,2893,6357,2333,8638,4556,4561,3678,3229,6219,76,1199,8454
"ACMSD",0,1,110,28,16,46,1,10,0,0,0,0,0,9,10,0,0,8,57,0,43,34,32,99,11,0,0,0
"ACO1",3,668,3976,1750,1647,237,944,766,0,999,33,836,163,30,1310,0,1257,1839,411,2098,1844,977,4443,1030,943,0,296,1624
"ACO2",22,26,3289,5278,3808,194,1737,136,0,115,2,578,57,1,2833,0,116,2262,548,956,1204,4454,1393,1619,2796,0,105,3120
"ACOT1",0,1,189,5,37,30,52,32,0,0,0,1,4,1,61,0,110,64,28,177,59,194,235,103,102,0,0,14
"ACOT11",3,193,1787,326,1568,162,61,115,0,5,1,45,98,8,109,0,0,577,44,205,290,188,532,6,430,1,192,564
"ACOT12",4,0,0,6,5,24,2,0,0,0,0,0,0,2,0,0,0,3,38,0,0,7,0,17,0,0,0,0
"ACOT13",50,65,3661,2418,2738,49,1030,507,0,39,148,754,255,3,2423,0,21,1043,1216,1483,1999,1789,1867,1621,548,0,32,2577
"ACOT2",0,53,524,429,439,49,166,108,0,10,4,321,27,0,239,0,593,190,162,673,391,637,130,910,504,0,32,309
"ACOT4",0,32,362,19,14,44,105,0,0,1,0,1,1,0,2,0,175,150,87,47,74,0,103,57,185,0,0,6
"ACOT6",0,0,2,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"ACOT7",1,81,3796,1321,1630,236,5544,60,0,234,50,3678,272,7,4897,8,18,7633,1734,272,1994,4847,588,1326,7961,0,810,4909
"ACOT8",2,4,2000,1017,1138,84,1656,413,0,62,16,427,136,0,918,0,54,1396,260,1074,1020,1126,336,795,1023,94,6,2169
"ACOT9",4,2029,15817,3576,2989,196,2826,1174,0,487,469,4132,825,42,4058,0,724,3697,1977,3024,3227,5209,1397,2497,2500,121,1276,5273
"ACOX1",0,1016,1929,2533,2354,233,1223,461,2,1164,48,605,351,69,2307,0,2126,2963,1141,1830,2019,3762,3051,2141,4103,2,305,3456
"ACOX2",0,0,157,29,497,23,1014,463,0,20,0,512,5,0,148,0,11,341,131,0,322,80,640,57,2,0,0,248
"ACOX3",8,904,629,416,209,47,368,170,0,85,28,418,16,40,182,0,588,144,86,481,606,229,468,514,628,1,193,207
"ACOXL",1,13,4,9,461,166,23,174,0,1,0,0,0,7,11,0,0,1,3,0,0,24,0,0,0,0,0,24
"ACP1",0,316,9343,6472,6987,188,3864,497,0,1863,17,4267,298,92,6853,0,1560,7956,2911,7844,3522,11021,4336,1464,5278,29,1436,5786
"ACP2",0,262,1309,1650,3733,145,2144,442,0,947,10,2119,463,7,1210,0,101,2744,1151,981,2349,3597,793,1295,2458,389,417,2391
"ACP5",9,729,156,1555,4282,147,1485,175,0,1269,190,91,3443,17,1230,272,1600,7359,344,6775,652,1846,28,12765,5915,182,141,1274
"ACP6",7,5,867,262,618,168,721,189,0,14,24,787,109,10,1047,0,1149,3775,321,1487,2688,899,1042,1000,2796,0,42,964
"ACPP",0,0,13,36,159,92,437,66,0,0,0,0,152,1,0,0,1,14206,19,0,41,93,766,7,219,0,28,54
"ACR",0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",0,214,188,121,186,24,68,59,0,0,0,0,28,0,104,0,0,50,22,177,139,178,0,21,56,0,0,95
"ACRV1",0,3,19,45,74,27,32,37,0,0,0,155,0,2,15,0,0,113,8,123,19,76,0,37,9,0,0,55
"ACSBG1",0,165,73,102,242,137,111,22,0,0,2,1,0,7,9,0,1,128,2,86,524,26,1512,62,95,0,61,37
"ACSBG2",0,3,28,22,46,57,0,55,0,8,0,0,0,8,16,0,0,16,17,0,12,36,27,14,31,0,0,18
"ACSF2",0,326,308,327,214,28,1049,95,0,438,4,453,274,24,585,0,0,360,93,118,267,227,1113,115,2965,0,3,556
"ACSF3",4,505,1110,313,790,152,363,727,0,168,141,206,87,48,767,0,147,258,243,1028,920,331,827,895,1290,0,576,801
"ACSL1",10,1851,4211,1490,2396,285,2228,1229,0,276,97,2995,752,39,1627,0,9,3295,2125,2061,1672,1543,8295,2180,3811,1,341,3812
"ACSL3",6,98,5142,3314,3497,513,5492,697,0,209,235,5895,380,78,7950,16,1372,3252,4439,3494,2151,4901,2251,5715,5180,40,1114,4117
"ACSL4",3,470,10944,1961,2940,183,3134,1987,0,504,285,2922,757,6,1731,31,1003,2196,1607,1995,3472,2600,3891,2043,1086,2,642,2792
"ACSL5",1,333,817,326,3088,84,417,874,0,132,0,145,898,21,868,0,0,202,580,0,746,2306,1738,354,207,52,7,779
"ACSL6",0,89,2,63,109,144,11,88,0,0,0,0,0,0,58,0,0,4,24,341,45,12,1,86,2,0,0,31
"ACSM1",0,11,12,0,12,64,4,5,0,0,0,6,0,2,3,0,0,0,15,0,6,29,0,0,0,0,0,0
"ACSM2A",0,5,0,0,0,99,0,2,0,0,9,7,8,8,0,0,0,0,268,0,0,2,0,0,0,0,0,0
"ACSM2B",0,5,0,0,1,91,0,7,0,0,1,2,0,8,0,0,0,0,481,0,0,0,0,0,2,0,0,0
"ACSM3",0,11,149,50,446,61,22,61,0,2,0,1,51,0,41,0,45,8,62,301,87,146,1793,84,40,0,0,142
"ACSM4",0,1,0,1,4,119,10,0,0,5,0,0,0,0,0,0,4,30,1,0,0,1,0,1,0,0,0,8
"ACSM5",2,659,94,11,2107,84,158,37,0,14,0,0,12,9,57,0,0,430,249,0,4,303,0,254,5,0,0,376
"ACSM6",0,0,0,0,50,48,2,1,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1134,24,1,0,8,54
"ACSS1",0,83,497,920,744,88,921,553,0,164,6,14,216,26,604,4,674,1434,251,1960,1007,587,1028,136,952,0,304,1033
"ACSS2",1,236,1382,582,756,144,3871,225,0,1410,218,345,213,24,981,0,2497,1261,377,942,618,835,1348,1237,1005,0,537,1572
"ACSS3",0,193,191,57,1016,122,46,120,0,444,52,1,124,0,35,0,214,1344,154,1625,134,7,337,31,14,545,0,102
"ACTA1",0,0,245,0,2,3,56,26,0,0,0,3658,0,1,0,0,0,11,8,0,59,8,578,2818,69,24,0,20
"ACTA2",50,1524,104938,5864,12169,51,779,961,1,26963,1082,2336,12803,61,2307,0,1875,2224,954,6500,30611,3227,33540,7276,4109,4,101,19221
"ACTB",9830,9011,129267,56783,27442,4280,67763,28067,50,17798,3944,56081,21838,743,50961,510,43576,100822,35794,39597,157021,71178,46208,85412,69199,1571,27429,56143
"ACTBL2",0,0,0,0,9,15,105,0,0,0,0,0,0,1,59,0,0,0,14,0,0,0,0,0,17,0,0,11
"ACTC1",32,2,55649,0,7,8,0,1,0,1,0,0,0,2,0,0,2,0,0,0,1564,0,22,874,0,4,0,0
