"GENE_SYMBOL","GSM4799045--1050685","GSM4799049--1081893","GSM4799054--1005994","GSM4799056--1040211","GSM4799059--1005335","GSM4799060--1006796","GSM4799071--1055419","GSM4799075--1087088","GSM4799076--1096936","GSM4799079--1064719","GSM4799085--1096489","GSM4799086--1045404","GSM4799091--1028337","GSM4799095--1062786","GSM4799096--1045396","GSM4799102--1020143","GSM4799108--1046677","GSM4799111--1028265","GSM4799113--1097176","GSM4799116--1014302","GSM4799120--1091717","GSM4799122--1030566","GSM4799128--1028046","GSM4799129--1011434","GSM4799130--1064847","GSM4799131--1042693","GSM4799132--1081897","GSM4799133--1042013"
"BIRC8",0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIVM",1,183,2032,404,1312,165,797,854,1,691,2,245,199,65,1981,4,1124,980,1289,1213,1265,816,1349,1655,3371,0,702,1510
"BIVM-ERCC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"BLACE",0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLCAP",3,1235,12098,1733,4560,256,2216,1561,0,193,203,2243,551,49,4885,13,2555,4649,1135,5969,2715,4545,6456,3797,4048,0,1410,5919
"BLID",0,0,152,0,70,0,823,8,0,0,0,590,0,6,45,0,0,329,29,0,133,28,0,133,0,0,0,12
"BLK",0,18,0,4,0,11,0,1,0,26,0,0,24,2,4,0,40,0,2,0,2,8,0,1,0,0,0,0
"BLM",5,449,1329,2032,354,157,244,293,4,1,252,772,54,4,686,0,165,324,511,374,444,1117,235,271,814,2,134,1647
"BLMH",1,74,3488,1824,2567,205,1201,507,0,1411,31,138,291,2,2313,0,1338,1212,684,2343,1714,1521,2495,879,2006,0,77,1686
"BLNK",2,633,1469,259,1218,172,732,737,0,59,89,6,562,37,527,0,3,559,567,1,1030,1131,1657,414,351,0,158,491
"BLOC1S1",0,139,406,869,612,29,753,288,24,245,10,612,239,5,935,0,44,1107,311,46,875,1163,786,232,1465,12,144,763
"BLOC1S2",1,687,2001,2168,2713,156,1906,580,1,1686,236,259,626,12,1803,0,61,2526,1483,507,1272,6654,2674,1903,1997,0,313,1576
"BLOC1S3",1,3,701,1791,838,67,355,154,1,112,139,317,455,19,988,332,389,2367,437,1158,1379,2701,1276,534,2436,0,157,2520
"BLOC1S4",0,50,250,271,145,15,207,157,0,270,0,180,142,1,126,0,64,263,131,81,344,167,128,339,271,9,0,172
"BLOC1S5",1,271,1742,2076,1350,60,354,340,0,726,19,953,251,2,831,0,1,536,485,649,584,951,635,783,616,0,715,1039
"BLOC1S5-TXNDC5",0,0,7,5,2,0,9,32,0,6,0,39,8,1,0,0,0,0,1,5,24,4,15,2,2,0,0,0
"BLOC1S6",162,484,3991,3469,3704,362,3153,1179,1,2135,67,1701,705,44,3641,0,1905,3622,2006,2796,2513,2784,4151,3575,2341,0,995,3595
"BLVRA",12,396,5258,3014,6471,224,4596,643,0,2477,3,2471,684,6,4485,2,639,6681,1309,2174,2925,6272,2662,2121,4231,247,437,9324
"BLVRB",5,398,1549,4062,3834,132,6423,318,1,1386,455,2156,1033,2,2331,2,528,11239,1530,1936,1865,4508,2990,4001,5524,8,1171,3708
"BLZF1",2,78,4594,3316,3149,88,1617,979,1,561,173,1533,170,28,2960,0,384,2233,1773,7346,2452,2510,1456,1923,907,6,119,2616
"BMF",0,387,424,186,303,18,91,520,0,159,13,0,298,16,90,0,12,198,196,290,1139,315,609,615,152,0,68,718
"BMI1",0,47,1343,680,1496,37,1462,577,0,705,0,213,198,12,1142,2,18,981,833,945,1391,1090,849,2044,1036,0,72,1701
