"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"COPS3",874,926,706,422,451,909,1010,576,966,214,1061,1344,1506,2822,624,219,337
"COPS4",441,449,685,319,381,755,1046,337,547,139,608,910,1250,2106,858,192,320
"COPS5",1625,1601,1222,943,840,1418,1849,896,1117,517,1876,1859,3381,3120,1951,825,973
"COPS6",1853,1932,1617,1834,1050,1112,2701,2553,3015,635,2641,2294,6292,2801,2071,1008,1128
"COPS7A",1345,1423,1197,1500,2068,1775,468,1288,1817,593,1864,1548,2306,1866,2550,833,914
"COPS7B",347,443,746,655,396,502,590,607,1430,278,932,1524,1028,1085,735,459,437
"COPS8",625,573,829,499,448,875,878,723,817,158,1011,829,1425,2111,576,249,281
"COPZ1",3550,3720,2467,2046,3501,2686,1162,2123,3097,693,3637,3079,5687,5476,2474,991,1129
"COPZ2",202,223,171,114,70,339,256,48,196,303,103,90,429,1258,162,450,640
"COQ10A",267,282,237,132,58,74,156,94,273,369,234,516,186,1204,297,416,728
"COQ10B",438,416,546,329,174,436,423,370,514,122,359,198,523,1318,476,174,226
"COQ2",395,404,183,166,156,213,353,234,325,83,386,255,625,1395,509,108,146
"COQ3",106,115,99,116,211,247,53,92,167,96,239,115,234,360,95,136,194
"COQ4",1669,1752,925,1516,526,1035,571,457,1994,863,911,2006,2071,1735,1301,1000,1140
"COQ5",396,348,375,661,455,304,375,261,569,386,468,880,655,634,884,485,724
"COQ6",277,260,208,225,87,158,168,196,234,157,172,529,333,532,323,226,241
"COQ7",296,326,427,378,263,263,295,284,460,127,628,435,805,612,598,181,216
"COQ9",1423,1601,750,667,321,917,644,724,1292,781,775,1216,1437,2950,1745,868,1119
"CORIN",130,135,35,11,9,45,8,1,41,2,2,78,44,18,13,11,5
"CORO1A",126,143,11006,6241,358,253,172,3127,5783,263,1544,181,1575,599,931,535,109
"CORO1B",3016,3490,2384,3247,926,1857,2264,3248,5692,623,3662,2508,3792,5717,2585,771,743
"CORO1C",1377,1416,1493,1007,439,748,804,618,1989,229,2538,630,964,3514,1223,410,538
"CORO2A",524,587,616,462,316,384,324,1275,937,88,384,396,436,294,171,110,69
"CORO2B",34,45,73,41,5,138,32,21,84,13,417,10,197,37,35,40,28
"CORO6",314,294,41,56,45,10,66,20,142,29,78,189,10,139,53,60,20
"CORO7",114,114,485,557,149,74,135,130,329,179,219,319,195,309,306,129,107
"CORO7-PAM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CORT",3,5,4,10,10,2,4,4,9,10,6,9,15,6,10,10,11
"COTL1",1560,1651,7157,4826,689,803,1098,2586,5020,377,4432,3189,2051,2254,1411,886,179
"COX10",218,270,231,151,131,266,345,226,456,69,378,462,224,905,251,85,109
"COX11",1133,1108,668,613,229,568,368,635,899,411,864,1135,992,2415,996,588,783
"COX14",648,628,539,464,576,1591,254,636,476,465,1150,588,933,2434,598,561,737
"COX15",513,505,625,702,459,410,576,790,756,312,1450,1311,457,573,1156,484,664
"COX16",412,444,285,371,280,414,228,283,400,234,522,608,1499,1113,539,265,342
"COX17",529,519,477,519,1022,751,426,359,591,616,576,438,1370,2285,288,737,839
"COX18",279,266,477,222,102,251,491,220,373,207,306,513,644,775,727,310,381
"COX19",478,507,371,342,243,216,223,262,637,202,522,1029,231,745,891,284,254
"COX20",126,160,131,82,41,129,172,141,143,77,323,530,426,300,231,99,120
"COX4I1",5267,5319,5171,4461,2603,9343,3040,5625,7653,3669,7335,4660,17887,16603,6135,4695,5143
"COX4I2",36,34,99,44,8,17,40,4,36,13,24,4,32,64,48,8,2
"COX5A",2207,2151,1364,2046,966,3469,2452,2346,2714,870,3271,1443,10197,7676,1093,1074,1567
"COX5B",2565,2604,2133,2293,1893,6132,2936,4554,4717,1888,3335,1842,18532,9495,3294,2499,2889
"COX6A1",630,714,930,2128,1193,2082,785,1088,1632,1326,1932,1678,3937,4912,1379,1446,1838
"COX6A2",22,15,2,3,4,1,22,2,19,91,1,1,4,29,0,63,126
"COX6B1",2936,3201,1817,2468,3675,6551,2775,3704,5173,2221,3684,3269,13931,12191,6671,2571,2495
"COX6B2",2,1,8,1,2,3,13,1,7,4,0,4,4,19,111,2,2
"COX6C",2952,3006,2341,4015,3540,13259,1713,2726,2690,1623,2818,1936,14419,10027,4453,2303,2802
"COX7A1",113,123,101,70,21,267,214,15,115,67,29,31,325,42,81,73,33
"COX7A2",1932,2057,1684,1707,1982,6453,2530,1283,3028,873,2236,2530,11428,8603,2317,1215,1389
"COX7A2L",1538,1520,1520,1424,2654,2893,3171,1966,2932,893,1317,1864,6642,9193,6080,1211,1201
"COX7B",1478,1269,978,1340,1313,2446,1628,1948,1153,1039,1499,697,7824,8478,805,1228,1593
"COX7B2",0,0,0,0,4,0,0,0,0,0,0,0,7,1126,76,0,0
"COX7C",4463,4938,3119,2861,3632,4415,3162,4754,3960,2422,3146,3840,13846,17453,3869,3282,4504
"COX8A",1267,1476,1127,3764,2358,4232,1965,2687,2676,1581,2460,1870,12081,6682,2097,1565,1725
"COX8C",0,0,115,0,0,384,4,1,0,0,2,0,3,0,1110,1,0
"CP",31588,32107,3505,2642,5256,1072,1943,15669,6231,5499,2019,3346,2878,821,28785,12651,13773
"CPA1",0,1,2,1,2,0,11,0,1,0,14,0,49,14,3,5,0
"CPA2",0,0,3,1,1,2,22,2,0,0,31,39,116,7,8,0,1
"CPA3",1,2,59,17,0,3,3,3,15,3,10,3,16,2,33,4,6
"CPA4",52,60,25,17,7,1,11,58,13,2,248,7,80,14,19,15,0
"CPA5",1,1,50,39,8,1,13,5,7,0,17,3,22,13,1,3,0
"CPA6",0,2,1,2,1,1,1,0,1,1,3,0,0,0,1,1,3
"CPAMD8",504,574,122,181,68,143,1329,427,868,58,134,5683,370,389,779,323,26
"CPB1",2,0,0,8,1,0,20,76,39,1,4,1,5,116,1,9,1
"CPB2",10,8,6,6,8,7,5,0,3,5281,6,967,6,8,19,9527,11915
"CPD",3570,3607,3917,774,708,639,3223,1045,3063,337,3262,2581,548,7085,3545,816,668
"CPE",859,917,5218,824,743,1483,1660,205,2502,171,2128,596,387,3894,22481,232,80
"CPEB1",21,23,19,10,6,110,75,2,19,9,54,5,20,1174,21,15,9
"CPEB2",293,329,511,216,228,208,441,226,244,319,449,218,206,464,557,510,602
"CPEB3",125,91,130,117,235,243,42,444,76,131,253,146,21,79,323,325,379
"CPEB4",347,359,777,305,159,229,370,1321,485,213,588,245,107,1094,887,404,524
"CPED1",59,51,90,74,14,47,23,53,85,158,103,45,18,106,69,406,532
"CPLX1",99,124,174,95,29,162,44,122,122,264,88,188,366,527,1912,392,166
"CPLX2",0,1,45,0,4,305,74,14,222,0,575,10,15,0,6,15,0
"CPLX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPLX4",0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0
"CPM",3250,3412,470,404,742,105,25,209,235,514,161,152,172,317,1669,487,782
"CPN1",0,0,0,0,0,0,2,0,0,700,2,175,0,11,0,908,947
"CPN2",4,0,11,1,0,1,3,0,0,2819,3,668,1,10,0,4550,5458
"CPNE1",3399,3505,3349,4451,2678,757,5525,2267,4517,999,5952,5545,2911,6648,1188,1213,1060
"CPNE2",1463,1538,1077,905,277,1039,377,1420,1963,170,264,914,1621,443,3393,239,155
"CPNE3",2332,2315,2859,1221,837,2760,3254,1803,1414,388,1979,1645,1110,2075,4510,732,948
"CPNE4",11,12,31,7,9,10,12,6,37,0,28,1,15,10,69,6,1
"CPNE5",51,67,1115,585,18,27,50,220,610,23,193,43,140,105,252,90,4
"CPNE6",0,0,9,11,0,141,14,0,10,17,95,2,15,287,2,23,125
"CPNE7",29,43,78,93,20,60,23,80,502,39,313,225,81,7,187,54,37
"CPNE8",407,382,165,88,70,97,171,33,121,164,351,145,39,405,248,248,328
"CPNE9",2,0,7,4,0,27,7,2,8,0,3,1,1,20,5,0,0
"CPO",6,5,1,13,6,0,7,4,6,8,3,3,1,1,0,9,4
"CPOX",762,759,593,341,442,138,366,329,762,383,867,573,582,670,1429,679,923
"CPPED1",708,690,653,293,291,590,255,318,689,414,395,315,886,96,1301,446,640
"CPQ",937,954,511,244,93,255,787,436,399,292,352,639,351,1798,446,565,825
"CPS1",27,34,12,9,74,6,27,3,41,21649,32,2451,60,293,29,28976,37913
"CPSF1",3840,4426,3572,4623,1153,574,8685,3592,9092,2576,3605,11892,6493,1586,10548,2814,3223
"CPSF2",883,943,1063,701,481,684,1034,917,1272,160,708,1742,1022,2106,1508,289,254
"CPSF3",629,682,709,606,405,565,1774,757,1046,169,691,857,2445,2164,1036,274,288
"CPSF4",502,598,827,651,308,366,679,895,1621,310,1117,1984,993,1180,983,353,415
"CPSF4L",1,3,3,6,2,2,1,0,14,0,1,8,24,0,21,8,0
"CPSF6",1452,1421,1811,1286,873,1151,1669,1556,2309,292,2280,3627,1916,1854,3031,673,671
"CPSF7",1045,1119,1671,1652,972,891,1394,1562,3183,1716,3289,3286,1427,1197,2297,2148,1959
"CPT1A",1355,1417,1250,1552,427,1850,1051,1742,1771,3287,2396,2672,707,1419,2821,3542,3018
"CPT1B",73,85,75,203,15,0,21,38,124,64,63,468,13,49,191,142,63
"CPT1C",49,80,111,95,15,117,738,47,118,43,19,2027,48,633,320,76,19
"CPT2",541,543,293,269,139,386,320,479,849,571,901,533,348,723,675,1030,1250
"CPTP",987,1016,597,547,575,383,490,2210,1055,955,1370,698,1591,2085,1905,973,1174
"CPVL",427,364,1159,371,378,205,980,426,632,112,902,464,243,11806,557,214,80
"CPXCR1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CPXM1",299,308,764,684,53,155,1275,152,987,4,304,1404,3009,5731,1060,139,2
"CPXM2",399,387,171,610,30,90,5908,82,802,35,75,23,353,1314,297,135,32
"CPZ",5,10,31,4,4,2,7,5,22,0,90,4,5,1,24,1,0
"CR1",46,43,1057,382,6,1,2,78,249,12,14,30,7,78,95,39,7
"CR1L",0,0,41,17,5,1,2,2,22,0,45,0,0,61,4,2,4
"CR2",3,4,7486,3294,1,0,10,296,2959,1,46,153,13,13,19,4,0
"CRABP1",4,3,18,71,21,47,204,6981,59,0,9,137,9048,181,9,7,0
"CRABP2",459,556,7088,6086,4311,1265,14474,16075,11300,24,939,4639,24546,2129,4346,371,11
"CRACR2A",17,18,198,85,20,4,66,112,94,14,34,4,18,164,31,26,18
"CRACR2B",590,663,647,912,187,232,248,215,843,161,270,109,981,294,4530,361,141
"CRADD",125,148,154,95,90,127,55,64,151,161,109,74,408,193,123,200,319
"CRAT",130,121,418,346,109,358,357,401,920,2588,2369,707,1454,1347,484,3137,3556
"CRB1",9,11,8,1,4,1,3,21,2,2,6,11,2,12,3,0,0
"CRB2",1,6,176,472,186,144,350,159,466,17,1952,89,255,16,8,67,16
"CRB3",870,879,200,168,177,302,125,337,422,173,63,613,576,149,827,142,235
"CRBN",626,609,806,388,203,638,870,748,636,346,1240,840,457,488,479,496,574
"CRCP",790,787,907,526,387,554,935,831,988,505,993,1241,1068,905,1293,602,523
"CRCT1",1,0,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0
"CREB1",639,614,1391,658,493,800,960,1052,1653,176,605,1353,768,869,990,305,272
"CREB3",916,930,950,899,374,549,778,877,972,198,1612,789,1112,3649,924,250,289
"CREB3L1",192,240,376,148,17,241,475,5,225,8,126,35,446,3108,322,88,18
"CREB3L2",2107,2044,1606,672,508,404,1171,1489,1038,218,2893,966,333,1206,1845,435,546
"CREB3L3",0,0,2,1,1,0,0,2,3,2063,5,1528,0,0,1,5496,3521
"CREB3L4",366,380,569,274,194,358,1117,257,1643,164,343,3410,942,318,622,238,178
"CREB5",74,101,76,36,44,83,76,53,85,15,545,178,112,568,166,40,20
"CREBBP",1652,1840,2584,1595,1011,1076,2228,1601,3044,793,856,4266,1164,1474,3323,992,1204
"CREBL2",680,616,1606,795,645,517,60,996,992,503,1765,900,664,865,1234,870,1088
"CREBRF",853,899,845,517,461,306,413,814,556,284,490,620,295,340,579,399,492
"CREBZF",795,814,2079,1732,605,505,3741,1359,2999,705,3349,2741,1622,1239,3177,984,1500
"CREG1",4497,4800,2514,1517,703,1916,5978,2295,2506,1827,3947,4071,1861,3030,3219,3052,4091
