"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"A1BG",13,23,18,3,4,5,20,6,8,910,14,282,0,16,22,1305,1991
"A1CF",2,0,2,0,2,1,2,2,0,1992,4,437,10,247,1,3843,6323
"A2M",5714,5873,11188,4220,695,1252,535,5607,4784,14395,7088,3964,4855,955,6820,23964,40725
"A2ML1",3,0,14,4,25,8,0,87,20,0,40,3,30,18,46,2,8
"A3GALT2",2,1,3,2,0,0,8,2,4,1,5,5,9,2,1,1,0
"A4GALT",3202,3571,735,1811,386,185,68,347,1510,50,277,65,296,464,912,110,21
"A4GNT",0,0,1,2,1,0,8,1,0,3,7,1,0,0,0,3,7
"AAAS",801,884,868,1013,605,478,912,903,1681,739,2370,2374,1272,2730,1462,992,703
"AACS",284,301,835,795,375,466,507,541,1025,82,1319,946,542,2140,912,112,130
"AADAC",0,0,7,133,37,42,49,74,70,1230,41,322,238,0,393,3617,4571
"AADACL2",0,0,0,4,4,0,0,2,0,1,0,2,1,0,6,1,2
"AADACL3",2,0,111,6,2,0,1,3,1,0,0,0,3,0,46,0,0
"AADACL4",0,1,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
"AADAT",29,45,32,37,14,62,77,7,190,531,96,1266,59,91,2873,843,1327
"AAGAB",887,888,758,990,570,1016,694,793,924,137,680,1057,1044,1815,1027,209,239
"AAK1",1137,1285,1376,1432,915,367,646,1127,823,410,1740,762,534,2072,1132,463,349
"AAMDC",101,104,1304,141,268,195,470,476,277,197,260,344,1797,907,211,300,319
"AAMP",2057,2174,2074,2472,1309,1875,1595,3113,4682,1245,5833,2964,4806,5145,2281,1744,1900
"AANAT",0,2,11,14,1,4,12,1,18,0,7,4,6,1,10,1,1
"AAR2",1231,1260,720,604,682,548,993,623,1342,312,1205,1525,1104,1789,1204,345,400
"AARD",18,12,21,5,98,36,127,256,52,3,291,1,661,85,68,1,0
"AARS2",1187,1251,533,469,277,426,869,294,1003,200,687,1976,588,972,1052,374,306
"AARSD1",96,82,96,164,49,33,41,37,89,60,62,341,77,112,117,61,85
"AASDH",207,201,343,352,213,231,258,160,236,104,348,423,289,258,512,131,136
"AASDHPPT",519,495,554,448,174,426,1055,689,985,191,711,804,864,1210,950,361,463
"AASS",100,123,202,91,41,10,156,147,168,1391,392,520,78,138,155,824,1381
"AATF",1061,1141,1010,1135,546,1019,742,841,2007,273,1695,1981,2346,3125,683,411,374
"AATK",36,37,197,48,7,145,54,61,161,59,105,678,39,150,252,136,47
"ABAT",54,42,308,217,112,97,331,704,273,4947,485,1406,231,97,326,8868,10418
"ABCA1",1126,1255,821,617,229,772,603,1250,1273,746,1020,514,192,848,609,1848,1562
"ABCA10",51,49,62,48,13,6,11,11,34,153,5,64,3,5,49,298,341
"ABCA12",117,122,12,10,8,1,10,3,11,0,9,13,6,9,1,0,0
"ABCA13",113,132,92,26,33,3,16,70,52,2,31,18,60,107,96,18,0
"ABCA2",2495,2834,2027,2213,330,689,601,1629,2160,1522,1698,5535,909,403,1822,1853,1720
"ABCA3",335,332,1475,427,50,557,1645,1082,2426,72,1997,1622,559,46,588,98,67
"ABCA4",32,30,30,21,37,3,89,25,59,54,44,44,63,13,104,59,53
"ABCA5",988,917,956,434,247,104,329,232,258,1110,164,760,145,705,5064,1430,2031
"ABCA6",81,80,160,90,37,40,11,23,131,1481,18,243,3,3,41,1626,3607
"ABCA7",500,512,3066,1371,265,204,181,716,1683,248,583,1409,81,1572,1148,470,124
"ABCA8",52,60,24,35,23,195,22,24,36,1300,10,203,1,141,13,2075,2398
"ABCA9",94,85,56,53,20,13,7,17,110,568,9,101,0,3,61,1460,970
"ABCB1",125,122,336,141,7,40,3,93,144,282,83,90,7,503,14,303,471
"ABCB10",588,558,629,253,74,347,558,358,413,127,836,826,373,419,792,209,306
"ABCB11",0,0,16,26,1,0,3,3,9,730,1,137,1,0,0,790,2078
"ABCB4",15,14,235,160,12,18,19,21,158,745,40,430,19,70,61,1366,1823
"ABCB5",4,4,3,0,3,2,1,5,1,5,26,3,10,711,0,0,0
"ABCB6",228,243,89,117,30,40,79,80,154,101,180,331,44,312,161,146,185
"ABCB7",199,216,564,324,339,198,525,624,490,164,435,437,941,1301,507,206,373
"ABCB8",681,703,805,914,199,276,628,947,2219,428,1071,1371,914,3388,795,577,580
"ABCB9",66,89,338,451,136,78,114,270,258,34,244,271,99,469,794,56,32
"ABCC1",1491,1677,2201,1348,1110,247,1109,1157,3228,77,3379,3010,860,2080,6259,257,64
"ABCC10",614,676,759,550,282,173,643,357,1069,180,1667,2435,268,1053,1055,358,162
"ABCC11",1,1,7,4,4,1,12,7,5,71,7,11,5,8,8,82,73
"ABCC12",2,0,0,0,1,0,2,1,0,0,0,0,3,5,0,1,1
"ABCC2",6,5,34,31,10,2,4,20,25,2797,12,367,1,64,28,3159,5916
"ABCC3",477,531,1270,849,298,31,427,248,1000,3120,909,873,54,52,309,3369,4065
"ABCC4",202,188,583,315,165,71,554,3163,509,33,1173,1195,402,521,134,54,34
"ABCC5",1616,1691,766,553,530,253,2013,1306,1673,360,2548,2363,740,954,1118,715,372
"ABCC6",406,433,49,44,104,12,43,37,29,3006,97,660,35,150,685,3426,5563
"ABCC8",0,0,7,0,1,15,6,16,3,3,0,26,1,36,3,7,1
"ABCC9",340,333,497,95,11,34,55,29,224,535,150,58,350,158,144,842,1320
"ABCD1",714,851,776,924,253,249,403,947,698,264,1079,794,971,939,1065,540,333
"ABCD2",5,3,136,33,4,4,2,44,32,0,24,0,2,17,39,7,1
"ABCD3",1066,1122,635,488,297,695,419,876,1573,971,1069,913,1009,1680,646,1939,2502
"ABCD4",656,722,937,979,411,220,819,543,1240,696,754,4882,742,4422,2803,967,1078
"ABCE1",1017,955,1252,634,405,1307,1269,678,1661,248,1324,1521,1501,990,1138,402,502
"ABCF1",2737,2909,2065,2169,1263,1126,2887,923,4737,761,2801,4706,2538,6878,2950,796,1053
"ABCF2",1164,1191,947,768,258,737,1483,533,3463,206,3928,2191,1714,2258,1181,281,195
"ABCF3",2039,2242,1062,1234,834,1187,2797,1715,2002,769,2722,1426,2151,3251,2759,1331,957
"ABCG1",2616,2717,949,517,144,214,131,603,677,130,323,1128,153,450,810,150,137
"ABCG2",90,97,276,26,4,42,20,32,44,244,22,33,24,294,36,458,971
"ABCG4",7,3,14,7,11,17,50,13,37,5,85,3,34,86,4,9,8
"ABCG5",6,5,4,5,3,2,5,1,1,2667,13,538,32,21,1,4107,6298
"ABCG8",1,0,0,0,2,2,20,4,0,1094,24,206,31,4,2,1501,2484
"ABHD1",2,2,15,8,12,17,91,40,12,88,62,98,180,30,91,181,325
"ABHD10",596,601,622,396,402,582,825,448,554,311,897,537,583,1518,406,635,737
"ABHD11",2331,2491,1535,2845,2166,1693,820,1988,2928,304,691,1655,4238,870,1585,235,362
"ABHD12",3340,3624,1609,1005,2237,1659,1429,1617,2357,503,1411,1520,1613,5780,3511,502,802
"ABHD12B",2,8,8,10,2,26,18,3,8,15,17,5,6,7,36,17,10
"ABHD13",414,422,510,216,176,226,155,307,375,99,257,275,199,473,445,189,187
"ABHD14A",486,536,201,231,85,175,424,250,319,209,470,449,633,632,144,232,330
"ABHD14A-ACY1",12,11,4,4,1,0,2,6,14,28,16,16,4,3,17,21,30
"ABHD14B",711,650,1023,1628,326,399,902,1006,1344,1851,848,1276,1101,916,840,2099,2846
"ABHD15",437,478,721,332,114,132,121,217,691,567,513,302,187,865,609,711,1132
"ABHD16A",165,187,136,134,58,53,133,153,326,35,227,286,131,213,132,63,54
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",876,1028,1604,1169,261,394,447,555,1474,449,1237,2062,757,1076,1032,550,590
"ABHD17B",267,279,279,138,57,150,369,265,301,91,224,314,155,302,287,135,223
"ABHD17C",569,594,698,631,222,814,632,635,2093,34,441,229,591,692,582,62,46
"ABHD2",768,825,1616,874,329,494,628,1216,1728,1365,1204,2407,280,1572,930,2338,3557
"ABHD3",498,453,499,332,149,65,82,169,264,214,313,460,236,1012,476,486,506
"ABHD4",1875,2008,492,241,284,483,849,944,577,204,2393,1870,544,2641,1620,331,370
"ABHD5",268,260,115,104,44,247,152,153,143,86,174,172,178,402,235,107,97
"ABHD6",74,62,363,108,34,70,81,70,147,388,424,201,41,385,81,915,734
"ABHD8",330,406,420,280,213,198,610,284,949,272,800,1182,637,1265,891,494,468
"ABI1",1038,983,2051,965,1436,1471,998,1771,1448,268,1575,1382,1157,2110,798,386,438
"ABI2",605,622,1406,1404,960,968,1451,2203,1168,297,2379,2686,1730,1068,918,540,565
"ABI3",97,124,806,714,95,69,35,300,603,95,427,46,104,116,105,128,33
"ABI3BP",206,184,2076,743,83,32,27,220,987,35,271,22,24,448,757,234,65
"ABL1",1373,1540,1694,1388,340,1177,1835,598,2323,438,1925,3905,2054,3691,2664,551,536
"ABL2",1197,1201,682,601,293,369,987,462,817,214,840,2251,190,1110,638,264,348
"ABLIM1",562,576,3661,2355,3525,2700,3964,6216,3265,554,2434,2138,1126,607,1435,817,860
"ABLIM2",24,32,70,136,58,84,92,127,154,20,133,748,163,190,44,44,23
"ABLIM3",92,115,325,124,7,127,58,74,203,902,70,409,30,722,55,1252,811
"ABO",100,126,255,281,111,148,198,218,1007,14,15,68,575,5,396,15,2
"ABR",406,406,1723,1147,128,439,1001,1010,1885,160,1163,8140,515,3645,1658,329,109
"ABRA",1,3,2,0,4,2,0,1,1,1,0,1,1,0,1,1,2
"ABRACL",156,165,1084,433,407,282,176,396,810,86,762,668,824,1965,590,168,71
"ABT1",1027,1091,901,557,415,975,1053,463,2083,232,1165,1603,1595,1528,810,283,355
"ABTB1",664,697,1621,1233,920,145,437,958,1638,671,1386,1492,780,675,551,893,836
"ABTB2",577,662,291,208,35,174,87,190,402,304,933,554,51,390,1420,377,543
"ACAA1",2992,2990,840,894,192,446,958,1211,980,3652,1017,1411,647,871,1015,7214,9649
"ACAA2",1233,1277,479,412,208,418,2182,575,820,4797,1772,1813,1752,5753,1267,9828,11740
"ACACA",1072,1094,599,499,375,670,1275,977,1688,619,1163,2738,1146,2594,1634,661,989
"ACACB",91,97,606,628,200,57,211,371,321,3492,417,940,213,372,445,3899,5957
"ACAD10",735,754,463,1059,442,251,442,402,969,769,1202,1701,663,564,861,931,1166
"ACAD11",11,18,17,7,10,2,8,3,12,34,9,20,13,4,17,54,37
"ACAD8",488,441,531,413,286,307,1410,670,526,571,612,1063,839,1382,890,771,787
"ACAD9",919,962,1003,752,896,447,946,1150,1807,472,1087,1355,1456,1883,959,581,620
"ACADL",304,255,1,5,11,3,1,0,2,305,5,93,1,44,217,562,555
"ACADM",685,685,783,755,231,485,672,1438,1176,717,962,1071,1386,2023,580,2538,3156
"ACADS",364,387,442,557,202,150,206,359,420,3205,622,959,135,1336,671,4535,5455
"ACADSB",429,433,516,444,94,221,234,797,306,3803,930,900,133,502,745,7157,11643
"ACADVL",9449,10120,8585,4514,2218,1360,4330,4609,7960,18033,5281,19792,5568,8641,14930,25494,26708
"ACAN",69,96,15,26,5,13,17,2,23,7,28,7,36,19,4,1,0
"ACAP1",135,136,4923,2590,206,52,163,1060,1818,339,584,369,165,230,857,391,249
"ACAP2",812,823,1507,863,898,1224,1418,1484,1568,121,1304,656,378,1049,1586,246,253
"ACAP3",1071,1268,1500,1420,386,306,579,1383,1645,1579,2546,2268,1006,3447,3332,1825,1922
"ACAT1",701,629,503,630,193,629,706,549,737,4193,789,1522,1468,3417,406,7257,9318
"ACAT2",649,580,337,256,212,376,1154,257,540,582,607,430,1531,1617,299,636,1234
"ACBD3",2619,2519,1595,885,492,1050,977,1347,1084,233,2132,2331,852,2888,3001,324,340
"ACBD4",205,251,414,490,278,100,171,175,479,1402,562,1042,315,521,459,2358,2341
"ACBD5",432,435,850,288,194,480,769,428,485,560,472,1068,383,2285,366,919,1553
"ACBD6",625,637,799,641,248,864,2071,576,1214,255,2553,2829,1132,1787,901,286,332
"ACBD7",11,14,22,20,23,36,191,65,27,1,132,244,39,77,13,3,3
"ACCS",141,157,550,690,153,43,568,428,999,1350,540,648,224,97,1519,674,1261
"ACCSL",0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0
"ACD",328,401,516,442,209,112,246,206,624,162,753,642,492,457,356,149,163
"ACE",249,290,443,261,25,43,79,468,349,62,167,23,113,80,896,100,27
"ACE2",79,71,14,6,31,1,6,100,3,37,4,4,9,4,13,29,27
"ACER1",0,1,8,4,0,0,0,3,0,5,0,0,0,1,0,3,3
"ACER2",41,54,79,53,5,23,76,131,48,3,78,16,18,13,34,14,5
"ACER3",491,527,2404,905,299,454,736,925,608,130,500,364,447,1047,620,188,156
"ACHE",268,335,706,343,15,503,42,38,334,25,122,84,23,125,124,50,125
"ACIN1",4463,4645,4479,4175,1585,950,3276,2995,8013,1800,4521,23777,2958,6876,7345,2724,2355
"ACKR1",98,124,1062,401,15,33,14,123,309,8,395,2,4,10,54,48,5
"ACKR2",3238,3466,86,74,59,256,76,1248,70,124,8,144,69,5,1028,153,179
"ACKR3",286,337,231,557,122,533,89,27,1871,44,377,157,209,55,320,90,27
"ACKR4",9,12,7,15,4,14,0,5,11,3,11,1,18,1,4,11,3
"ACLY",2246,2345,2298,1632,939,1880,2152,1897,3720,310,2872,4808,1788,9710,3161,521,285
"ACMSD",254,236,13,4,6,2,12,0,3,832,8,184,3,26,23,1146,1403
"ACO1",1214,1300,880,620,275,317,829,770,1162,1943,1637,723,358,3589,665,2150,2914
"ACO2",2386,2773,1351,2215,670,1406,1563,2208,2326,440,1068,1186,2970,3158,1437,697,758
"ACOT1",474,533,47,153,4,107,32,43,32,47,13,85,101,179,177,158,125
"ACOT11",47,72,65,95,105,55,58,218,392,25,673,98,80,1354,224,42,15
"ACOT12",3,4,0,0,0,1,0,0,2,459,0,197,0,28,0,859,773
"ACOT13",923,937,359,288,198,329,615,215,574,619,324,558,931,1801,469,1096,1442
"ACOT2",796,895,208,301,87,254,99,296,374,319,209,842,566,1152,600,832,780
"ACOT4",184,199,24,56,53,51,82,90,89,83,62,122,128,182,123,105,107
"ACOT6",2,4,0,1,0,0,0,0,0,12,1,2,1,5,1,11,9
"ACOT7",354,431,633,509,124,612,1074,388,796,250,1285,495,2136,1616,449,392,366
"ACOT8",658,709,474,540,430,488,470,374,637,197,832,691,1343,1387,1045,215,304
"ACOT9",543,566,576,708,259,253,400,817,551,196,1380,360,651,1278,306,236,279
"ACOX1",612,752,1044,794,434,718,686,964,1583,2836,721,1634,1021,1718,2723,5198,7731
"ACOX2",98,91,119,53,36,56,204,319,58,3270,76,362,473,284,106,3394,6390
"ACOX3",157,173,357,210,144,42,449,240,339,319,379,623,174,984,2849,324,583
"ACOXL",8,5,43,18,23,12,63,22,58,1,33,8,68,8,74,1,3
"ACP1",1884,1977,1328,1145,771,2057,2952,1447,1244,697,1449,2194,7714,2805,2324,1148,1499
"ACP2",831,863,1053,1320,543,486,1433,937,1720,1237,2061,1098,669,2765,1681,1309,1805
"ACP5",430,497,1359,1952,269,406,302,731,9021,235,1180,367,905,10122,1456,452,141
"ACP6",275,253,395,576,474,389,756,357,813,272,556,2417,543,583,779,472,359
"ACPP",52,62,103,33,508,49,110,207,209,3,19,146,233,92,250,10,1
"ACR",3,4,4,4,0,11,9,1,8,6,10,2,6,41,4,11,16
"ACRBP",18,18,46,83,84,13,18,24,102,59,104,140,32,54,110,91,31
"ACRV1",2,3,4,11,5,3,17,2,7,0,8,13,17,13,5,0,0
"ACSBG1",9,9,22,25,6,7,15,8,16,10,11,10,4,9,12,11,12
"ACSBG2",0,2,4,1,1,0,11,4,5,1,15,21,1,7,3,1,1
"ACSF2",652,666,577,3022,834,934,645,1788,2357,1082,463,1462,1078,3164,5563,1357,2337
"ACSF3",743,811,1103,668,246,643,254,394,1063,527,1163,1290,415,546,1248,621,652
"ACSL1",5112,4954,903,614,169,678,393,579,656,10925,765,1942,247,4148,671,17722,23303
"ACSL3",3185,3233,1366,1335,644,1476,894,1347,2251,374,1656,1032,820,2813,1541,710,1027
"ACSL4",243,229,1006,673,370,579,581,1440,982,339,3246,1917,549,819,725,267,674
"ACSL5",107,90,949,537,319,73,41,2233,638,1114,886,279,127,162,189,2939,2471
"ACSL6",7,8,91,33,5,21,6,36,49,63,3,4,1,4,12,148,79
"ACSM1",37,41,28,8,3,2,16,8,18,29,8,75,6,4,197,25,60
"ACSM2A",0,0,0,2,0,0,1,0,0,9569,7,1222,1,5,0,13445,23617
"ACSM2B",0,0,0,0,1,0,0,0,0,7330,2,980,0,1,0,11379,18628
"ACSM3",3034,2915,315,151,40,162,383,240,291,366,81,764,693,43,5761,869,1277
"ACSM4",1,2,6,0,5,0,1,1,5,0,6,2,2,2,16,0,0
"ACSM5",9,6,30,11,2,11,3,8,15,3064,50,486,19,3,3,6310,7671
"ACSM6",0,0,4,1,2,0,3,0,1,0,1,1,6,0,6,0,2
"ACSS1",778,882,1718,706,367,64,1298,786,1399,127,862,778,178,701,542,253,87
"ACSS2",2035,2128,797,677,629,585,858,1202,881,2266,1366,1210,626,2192,1102,1138,3805
"ACSS3",156,144,357,233,486,101,184,345,110,708,565,313,369,1026,345,1058,1844
"ACTA1",241,265,10,102,413,9,16,12,5,1,9,94,22,3,18,452,8
"ACTA2",2023,2076,1808,649,157,1127,1241,197,2316,210,2336,337,1711,684,475,210,98
"ACTB",70107,74173,104229,68529,56565,39481,46573,62590,127055,15824,114050,58657,68077,105335,53656,18993,18100
"ACTBL2",1,2,4,0,8,3,1,5,8,0,24,0,2,2,1,0,0
"ACTC1",274,315,6,1,34,16,73,4,7,0,6,58,8,5,2,1,0
"ACTG1",30090,32510,50543,39777,32384,36752,73192,46547,73169,10874,46848,100929,152016,70726,86679,6197,12633
"ACTG2",163,178,71,54,14,209,177,64,225,7,70,5,227,244,23,4,2
"ACTL10",188,233,143,103,38,115,77,140,303,4,59,70,107,42,123,10,6
"ACTL6A",1183,1187,652,606,955,2009,1814,1110,1629,131,2232,1341,2106,1582,1035,274,269
"ACTL6B",0,0,0,0,0,26,1,2,0,5,1,3,0,0,0,1,10
"ACTL7A",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"ACTL7B",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACTL8",1,0,0,0,0,40,261,8,30,0,0,2,20,1,0,1,0
"ACTL9",0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"ACTN1",2569,3038,4374,4941,3054,2409,2582,4606,6507,1066,7740,8636,7681,10095,14245,1584,1183
"ACTN2",129,123,9,14,29,5,36,8,46,5,65,38,8,106,8,61,1
"ACTN3",12,12,4,5,122,1,4,1,5,4,9,4,4,147,4,6,0
"ACTN4",10667,12446,6791,5441,12481,3628,11294,12722,40743,2043,7632,16222,5442,7974,32492,3609,2860
"ACTR10",818,804,858,646,589,858,747,958,937,275,696,1485,1571,3722,1547,361,442
"ACTR1A",1465,1609,1609,1438,926,1359,2804,1403,1949,642,4168,3396,1710,3579,2249,709,599
"ACTR1B",1182,1205,1866,948,567,1502,2353,1882,3068,586,2480,2361,1908,1473,2725,971,1011
"ACTR2",5239,5214,7124,3943,1622,2685,5851,5751,6573,591,11314,3461,4211,7545,6932,1633,1230
"ACTR3",8093,7914,6220,3379,1571,4150,3644,5276,5514,377,5126,1745,5099,5301,4213,814,817
"ACTR3B",105,130,307,131,76,567,421,106,716,81,836,663,507,249,339,110,128
"ACTR3C",150,133,21,56,48,25,42,78,113,87,134,41,125,201,74,82,115
"ACTR5",195,240,236,255,247,84,171,260,514,145,329,418,329,669,370,105,116
"ACTR6",628,655,465,303,294,368,278,272,355,79,649,662,602,412,548,142,190
"ACTR8",566,581,346,286,81,217,841,503,533,101,710,579,443,725,367,113,136
"ACTRT1",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0
"ACTRT3",100,114,21,19,16,99,318,27,55,20,358,141,106,70,99,50,29
"ACVR1",360,392,625,355,239,409,304,424,1124,113,634,328,760,1048,1052,249,250
"ACVR1B",3841,4091,701,402,454,448,558,1280,930,495,2337,2124,512,1239,1303,630,729
"ACVR1C",92,94,108,16,33,10,16,9,141,47,33,9,23,66,59,87,106
"ACVR2A",278,259,299,170,200,235,348,264,447,133,174,460,566,463,2531,205,241
"ACVR2B",575,533,256,293,116,194,1549,431,467,240,443,1304,184,293,1181,352,469
"ACVRL1",396,425,894,573,38,123,179,186,896,90,255,67,140,131,655,138,43
"ACY1",227,226,59,178,29,78,241,189,247,635,125,387,234,70,233,531,850
"ACY3",6,5,70,52,11,4,10,65,61,433,69,73,20,85,11,469,656
"ACYP1",83,106,130,165,133,78,85,143,175,50,39,321,638,704,291,54,56
"ACYP2",192,164,217,144,143,100,323,145,221,168,166,168,869,619,166,258,324
"ADA",3016,3263,1036,399,79,224,201,523,633,57,278,452,291,982,224,95,26
"ADAD1",0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
"ADAD2",7,10,32,4,0,2,7,2,3,4,2,18,0,3,1,5,1
"ADAL",12,20,106,95,128,93,207,106,238,142,146,158,289,470,262,122,203
"ADAM10",4329,4373,2612,1219,1376,1463,1342,1759,2816,352,1697,1527,1006,2086,3124,595,634
"ADAM11",3,6,29,16,7,9,101,12,37,32,177,54,56,575,29,86,10
"ADAM12",524,534,1184,595,64,534,112,57,1765,15,349,566,380,67,674,36,5
"ADAM15",1563,1765,2565,1488,312,1680,1149,3350,4862,647,5508,4025,3304,1784,1408,883,781
"ADAM17",555,632,705,601,260,310,588,976,1124,75,485,629,604,1761,1901,144,99
"ADAM18",489,502,1,0,0,0,0,0,1,0,1,0,0,27,179,1,0
"ADAM19",269,304,2907,1835,100,126,147,639,2164,81,635,445,111,337,663,207,65
"ADAM2",2,7,0,0,1,0,2,0,0,0,0,3,0,7,142,1,0
"ADAM20",1,1,5,7,5,0,1,0,3,2,1,2,1,1,1,1,2
"ADAM21",0,3,4,2,2,0,5,6,2,0,21,3,4,6,3,0,1
"ADAM22",1560,1649,214,65,39,67,166,37,171,6,147,574,39,104,75,19,1
"ADAM23",319,308,77,20,3,83,43,14,52,1,4,105,8,906,38,13,6
"ADAM28",323,305,1972,1007,153,56,109,278,1208,25,267,57,457,181,182,47,21
"ADAM29",0,0,2,0,3,1,0,1,1,0,0,0,1,0,0,0,2
"ADAM30",0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"ADAM32",68,65,51,11,24,48,98,41,190,0,173,245,99,8,110,13,1
"ADAM33",3579,3938,372,176,33,17,86,34,205,44,57,1042,142,170,318,606,36
"ADAM7",0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"ADAM8",275,289,2597,2730,178,136,103,818,3200,314,1293,699,123,246,1028,409,232
"ADAM9",2774,2842,1506,448,992,651,539,1219,2714,79,1892,1109,421,5965,6530,171,78
"ADAMDEC1",59,49,1025,398,45,94,10,216,647,4,237,4,10,0,447,44,2
"ADAMTS1",12619,13049,1360,424,375,979,1828,8692,4946,135,3766,480,2280,1774,1021,263,94
"ADAMTS10",150,163,999,427,37,20,315,71,627,325,105,3279,154,134,350,492,622
"ADAMTS12",428,395,187,184,27,218,318,12,336,20,481,47,219,42,484,49,28
"ADAMTS13",659,689,101,441,40,25,320,71,501,1523,256,1319,257,74,653,1311,1655
"ADAMTS14",188,225,247,399,91,121,28,74,361,30,318,33,232,376,228,23,6
"ADAMTS15",1482,1577,173,297,1143,385,368,353,637,15,3177,1126,222,25,940,42,6
"ADAMTS16",35,35,7,14,8,15,8,5,53,2,4,103,24,11,34,5,12
"ADAMTS17",14,12,128,76,6,88,36,78,132,168,54,460,37,130,28,90,255
"ADAMTS18",13,13,6,1,2,2,40,1,7,0,59,11,5,11,157,0,2
"ADAMTS19",2,1,0,0,1,1,3,1,1,2,3,237,3,6,1,0,0
"ADAMTS2",575,630,664,752,54,197,141,61,998,299,322,233,817,124,579,399,263
"ADAMTS20",1,1,4,3,64,2,6,0,6,0,1,12,11,10,139,0,0
"ADAMTS3",9,10,60,23,18,8,40,6,37,9,138,256,130,257,28,20,1
"ADAMTS4",223,235,561,540,27,56,94,25,437,31,241,77,71,134,307,39,22
"ADAMTS5",175,178,236,92,13,35,142,72,127,33,685,3385,128,117,699,83,87
"ADAMTS6",29,23,124,105,30,18,27,10,170,33,41,47,37,102,41,32,27
"ADAMTS7",274,282,195,195,7,19,916,18,365,56,205,1707,77,719,562,157,44
"ADAMTS8",84,84,69,26,9,47,32,7,30,10,1231,5,14,1,8,18,14
"ADAMTS9",5283,5353,627,391,45,142,1663,22,569,56,704,209,106,96,251,145,62
"ADAMTSL1",128,126,92,53,7,44,23,8,110,32,112,125,8,41,25,47,27
"ADAMTSL2",153,163,487,227,15,41,36,32,665,771,302,456,107,120,233,736,1085
"ADAMTSL3",63,53,65,41,15,31,112,70,187,131,109,101,64,300,76,299,445
"ADAMTSL4",347,414,397,228,26,21,587,95,338,888,387,244,49,566,592,1236,1381
"ADAMTSL5",43,42,43,26,7,15,15,15,23,69,7,29,22,256,155,151,122
"ADAP1",901,1058,217,408,119,227,86,239,690,51,114,287,91,55,363,55,30
"ADAP2",213,233,355,666,124,206,70,144,311,104,480,88,124,580,161,139,57
"ADAR",5283,5695,8610,6585,2868,3353,6773,9197,12655,1447,10057,19246,3057,5622,6866,2952,2301
"ADARB1",530,504,1081,787,59,188,136,399,606,182,772,663,148,558,393,271,297
"ADARB2",6,5,112,1,2,0,38,42,15,2,37,1,10,108,52,5,1
"ADAT1",341,343,485,256,121,179,248,187,518,131,636,480,202,383,428,131,147
"ADAT2",141,158,314,230,122,24,186,93,417,164,665,616,148,173,336,163,327
"ADAT3",307,362,213,224,53,103,93,57,269,56,109,878,228,308,317,67,64
"ADCK1",159,177,193,316,137,148,141,173,237,146,245,442,197,381,261,136,133
"ADCK2",1044,1080,832,731,262,525,969,1286,1463,152,2096,990,3174,1359,1281,267,305
"ADCK5",504,598,462,1051,136,164,596,568,1226,436,318,822,876,166,1186,394,469
"ADCY1",90,87,118,72,7,33,241,47,104,2028,16,1296,40,96,257,3325,4732
"ADCY10",6,2,4,2,3,2,3,1,1,106,4,21,2,5,2,181,133
"ADCY2",19,24,16,20,4,51,96,1,5,0,1,4,1,145,12,3,0
"ADCY3",630,646,832,455,76,128,244,2124,768,63,769,177,560,245,741,79,74
"ADCY4",243,297,596,319,22,18,103,65,263,255,173,199,56,44,610,266,116
"ADCY5",453,529,626,489,73,274,2613,115,640,124,424,42,310,340,606,207,142
"ADCY6",1532,1703,793,497,220,329,505,1043,1042,506,2711,3247,173,1267,1199,757,820
"ADCY7",69,66,1304,450,30,65,115,320,1205,32,401,80,134,78,491,121,24
"ADCY8",0,0,30,0,2,9,101,3,1,0,64,517,0,6,3,0,2
"ADCY9",643,633,569,283,189,142,410,470,371,500,155,547,160,1335,392,638,899
"ADCYAP1",0,1,12,2,4,1303,0,0,3,2,59,2,0,1,38,1,0
"ADCYAP1R1",62,75,1437,33,5,56,76,5,398,11,116,89,47,2,7,30,43
"ADD1",2570,2769,4277,3288,3534,1437,5062,2195,4161,1452,3263,7857,2000,7475,8604,1876,2218
"ADD2",10,9,298,186,27,230,970,409,2100,10,2134,775,284,358,87,22,5
