GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
ZNF682,9.8198,8.97263333333333,8.71676666666667,8.7882,8.89953333333333,8.6413,9.1619,9.11123333333333,8.80996666666667,8.9911,8.71746666666667
ZNF683,9.3187,7.6386,9.508,10.3639,9.5124,9.1493,8.0672,8.5642,9.5255,7.5778,10.1933
ZNF687,8.9875,8.6416,8.7775,8.6298,8.7543,8.894,8.4765,9.2242,8.2359,8.3291,9.1731
ZNF688,7.8266,7.0594,6.4618,6.8641,6.9999,7.6881,6.3248,7.2905,7.1712,7.2571,6.6094
ZNF689,10.1024,10.8415,10.6623,10.6306,10.3131,10.6111,10.7905,10.3784,10.6018,10.4537,9.9943
ZNF69,9.0477,8.5911,8.0596,7.6389,8.4871,7.8829,7.7933,7.6939,7.9384,8.3148,8.6187
ZNF691,7.05,7.6084,7.2922,7.204,7.1049,7.3112,6.9195,6.763,8.0468,7.2262,7.2037
ZNF695,6.5433,6.4331,6.1483,6.3351,6.5266,6.6011,6.4157,6.6764,6.3922,6.099,6.8131
ZNF7,9.1667,7.0298,8.4735,8.7311,8.3731,8.1946,7.3101,8.5279,7.0616,7.4151,7.4347
ZNF700,10.3396,9.6579,10.0435,9.0868,9.9594,9.7596,9.7749,9.7739,10.802,9.5472,9.8315
ZNF703,8.0025,7.0702,6.8099,6.6302,7.3701,6.9859,7.5893,7.1876,7.0911,7.4935,6.972
ZNF706,10.76995,12.02895,11.12715,11.646,10.69605,10.98715,11.2945,11.50905,11.07675,11.20055,11.4109
ZNF708,10.9738,10.9365,11.1005,10.4739,10.8351,11.2295,10.8914,10.9699,10.978,10.9241,11.8276
ZNF71,8.1098,7.5604,8.2429,7.2397,8.0204,7.6479,7.481,8.5668,7.2144,8.0785,8.2571
ZNF710,10.1604,8.9644,9.754,8.7379,9.4365,9.1558,9.9249,9.1555,8.7442,9.5145,8.5638
ZNF711,6.7564,6.4812,6.1147,6.12605,6.4849,6.39895,6.32795,6.8113,6.45715,6.1727,6.4463
ZNF714,6.51,6.522,6.2958,6.207,6.3417,6.5849,6.4106,6.5689,6.2534,6.1097,6.5233
ZNF718,6.8492,6.8439,6.1742,6.6397,6.4363,6.6918,6.7486,6.4451,6.4348,6.506,6.9311
ZNF74,7.1291,7.8785,7.8587,7.9294,7.336,7.45253333333333,8.10763333333333,7.96013333333333,8.0811,7.73946666666667,7.97856666666667
ZNF747,8.2024,7.1338,7.7121,7.5333,8.1002,7.1628,7.1658,7.9061,7.3287,7.5243,7.5722
ZNF749,7.704,8.0934,7.8941,7.0437,7.8223,7.3578,7.9281,8.2738,7.8854,7.3443,8.7405
ZNF750,7.803,6.5913,6.0837,6.2688,7.2369,6.4138,6.7825,6.8711,6.7787,6.5331,6.313
ZNF75A,7.7416,8.8104,7.5419,7.3352,6.9118,7.2949,7.4437,7.7369,7.6205,7.2078,7.7391
ZNF75D,7.5149,7.6514,7.6611,6.3583,7.8234,7.7947,7.937,7.6171,7.965,7.4605,6.5415
ZNF763,9.2249,8.6103,7.7597,7.4001,7.6619,7.4168,8.8127,6.9453,8.1862,7.7806,8.0331
ZNF764,9.7403,9.743,9.4017,9.2986,9.5497,10.193,9.505,9.2784,9.6604,9.6159,8.2861
