"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"CDK7",876,793,864,341,2181,1829,2570,3193,869,1879,1905,850,828,3064,786
"CDK8",855,1296,1015,523,1837,2471,2391,4061,1151,2167,1502,3017,1192,1786,1031
"CDK9",3131,1889,3700,1112,2747,3023,1939,8150,2802,3873,3348,2405,3483,5394,1215
"CDKAL1",2225,1517,4178,2355,1945,3181,2337,4938,1936,4471,6333,3214,2855,3962,1695
"CDKL1",364,207,363,65,176,1013,264,581,355,536,328,343,1016,932,231
"CDKL2",147,6,58,1,1,1471,108,298,30,189,127,228,38,46,157
"CDKL3",53,18,46,28,31,44,62,137,14,91,39,38,90,52,71
"CDKL4",37,32,26,11,21,9,132,162,34,91,35,31,75,31,0
"CDKL5",1339,1499,1765,1518,4266,3352,7313,3243,5600,8805,705,2493,2018,1692,587
"CDKN1A",4007,3045,2570,326,3855,8994,8960,1218,4020,16114,6729,7051,3256,5152,4122
"CDKN1B",4117,3310,6821,1663,3272,3813,4499,8942,3577,6679,5629,2793,4577,9102,2146
"CDKN1C",293,169,736,96,177,276,197,674,396,287,165,455,1763,212,18
"CDKN2A",5897,116,5422,333,11,9128,15,2804,127,52,3215,7538,311,3515,1764
"CDKN2AIP",760,587,1295,302,1288,1634,2187,1295,706,908,1386,643,1324,2491,520
"CDKN2AIPNL",691,677,849,223,805,1079,887,2402,672,1923,1342,444,682,2021,364
"CDKN2B",2860,144,4057,533,48,7818,326,521,404,559,762,8571,3247,1364,3431
"CDKN2C",1783,2413,1346,191,308,344,195,555,798,2423,3049,1780,1031,1703,769
"CDKN2D",288,416,635,149,204,829,362,461,380,531,272,362,349,1460,392
"CDKN3",278,560,685,421,697,1540,401,1138,208,1013,995,1174,228,667,771
"CDNF",21,27,49,20,75,47,115,137,46,44,62,36,89,85,33
"CDO1",53,19,65,3,3049,53,118,10,550,407,1156,31,1384,129,34
"CDON",2013,734,757,130,544,301,513,1477,473,170,3252,1895,4423,766,78
"CDPF1",184,261,275,107,244,267,415,573,240,326,334,232,344,495,67
"CDR2",1794,2007,2155,761,1830,2880,2406,8352,5064,3407,1663,1272,2521,3127,1852
"CDR2L",1335,495,3665,1265,847,2152,5572,6609,5216,5684,1458,1324,1462,814,321
"CDRT1",375,8,55,3,69,86,32,138,68,365,26,29,30,54,162
"CDRT15",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"CDRT15L2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDRT4",413,75,157,26,89,57,53,699,70,128,70,107,194,131,156
"CDS1",345,1558,900,470,3767,7212,11334,5326,2240,8116,5580,1299,80,1147,1626
"CDS2",6035,5618,6583,1730,5591,9109,10267,13564,4172,11377,8858,5475,8023,13073,2362
"CDSN",2,0,0,14,6,33,3,0,37,25,321,73,12,117,1
"CDT1",748,980,1706,477,904,855,1483,15239,1347,1124,1483,1963,131,1443,1140
"CDV3",13252,10901,19292,4635,12415,25548,26023,47317,12559,18786,21213,9868,13735,30611,2421
"CDX1",21,5,51,1,10,7,10,59,95,17,2,22,3,91,7
"CDX2",163,1,1,1,233,0,29,404,2,604,0,648,0,6,1
"CDX4",0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
"CDY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDYL",2352,2783,3854,1355,3200,10077,7590,10295,6389,6737,4718,3392,2758,6226,4975
"CDYL2",2518,1028,1894,1921,2988,1627,369,3931,1559,2156,2913,2376,2569,3793,715
"CEACAM1",5226,1109,4382,774,7559,257,23137,2559,2508,2693,2766,3397,421,1508,91
"CEACAM16",128,0,1,1,0,0,7,0,10,0,3,3,7,4,0
"CEACAM18",1,0,1,5,0,0,0,0,0,0,2,0,0,0,4
"CEACAM19",1049,35,120,61,150,376,182,143,125,332,393,128,250,311,433
"CEACAM20",273,0,2,19,2,0,0,1,6,1,2,1,3,0,1
"CEACAM21",374,174,477,22,36,79,7,232,72,51,62,64,351,1148,18
"CEACAM3",25,20,57,876,14,17,18,29,0,10,0,23,17,67,85
"CEACAM4",92,47,75,43,4,45,2,22,49,29,2,23,126,106,58
"CEACAM5",148,834,387,438,57814,0,594,12,1,570,0,41638,0,820,38
"CEACAM6",351,498,62630,50627,77658,284,151508,111,8,2578,1,57536,0,1464,41
"CEACAM7",8,2,13,45,2899,0,26,4,0,1,0,27503,0,30,2
"CEACAM8",0,1,14,1,7,1,10,4,0,0,0,7,2,3,7
"CEBPA",3171,5142,1640,1004,4006,1882,4167,8628,6155,6502,6001,1897,2800,6395,2343
"CEBPB",5410,2865,2589,1608,4198,8597,2331,9129,5386,3294,7186,4712,3735,7164,757
"CEBPD",1190,2386,863,666,1697,4295,2085,6150,5807,964,715,1197,2346,2262,872
"CEBPE",4,1,18,10,0,5,0,4,6,1,1,65,3,21,2
"CEBPG",1938,1676,3156,1157,5044,6511,3011,12596,6023,9136,10716,2439,2560,7804,2762
"CEBPZ",2869,2751,4127,1404,6266,9991,7204,16117,4444,9211,15413,4242,4146,11345,1625
"CEBPZOS",1063,1607,1461,731,2634,3611,3310,7797,3302,4909,4983,1034,2275,3614,770
"CECR2",7,282,165,1000,1517,10,149,11966,36,372,336,231,436,770,6
"CEL",76,28,30,50,51,17,22,189,10,110,0,117,72,399,53
"CELA1",4,1,9,0,0,1,0,0,4,5,3,1,13,1,1
"CELA2A",0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
"CELA2B",2,1,0,0,0,0,0,1,1,0,1,1,0,0,0
"CELA3A",0,0,0,1,0,0,0,0,0,0,0,0,6,0,0
"CELA3B",7,0,1,0,0,0,0,0,1,0,0,0,0,0,3
"CELF1",9628,4982,11894,2591,11613,15269,12469,41078,9229,12778,13696,10212,11394,19751,4941
"CELF2",7540,3215,8438,1358,770,3830,208,4621,3695,618,1411,1823,6988,15777,734
"CELF3",2,1,2,11,0,3,1,5,1,1,1,1,8,2,0
"CELF4",8,10,38,54,2,9,2,141,6,6,891,10,41,24,4
"CELF5",8,1,1,32,37,9,79,266,43,3,3,2,3,11,3
"CELF6",7,2,6,1,1,0,4,2,5,5,0,4,15,5,1
"CELSR1",3752,520,5083,1206,4542,3369,6332,7181,1682,2834,12329,5071,2000,7703,66
"CELSR2",3103,1088,1603,2259,2693,2149,2059,5327,5635,6801,13853,16477,1226,5451,1137
"CELSR3",1154,2639,1226,366,244,4517,13264,1641,732,10483,6355,4322,250,2739,1866
"CEMIP",24828,324,4996,459,432,5042,390,268,928,379,13044,612,8229,9097,87
"CEMP1",20,10,15,6,7,5,37,24,23,13,29,3,22,43,12
"CEND1",48,16,22,27,3,2,4,9,10,1,4,2,11,25,0
"CENPA",272,356,591,206,503,1273,362,1429,717,703,2259,549,67,942,229
"CENPB",3460,3704,4688,1989,2977,2934,8766,5537,5977,4240,3881,4275,3964,8560,1311
"CENPBD1",381,430,429,508,384,768,750,2500,1202,474,1072,894,794,1198,98
"CENPC",2354,1789,3450,1166,2980,3404,2671,5988,2054,3842,3485,3869,5123,5487,1506
"CENPE",1129,1103,2699,764,4592,9776,4468,13492,1672,9231,7997,7500,811,4430,2012
"CENPF",8546,5896,9011,6618,9803,16687,10954,99070,10857,33131,44882,17302,1324,13734,5318
"CENPH",394,613,596,166,717,515,955,5042,332,851,944,533,144,1106,401
"CENPI",540,358,486,74,977,1593,587,3644,766,1417,1791,1565,213,1091,1011
"CENPJ",1389,991,1359,481,1566,1817,1207,11942,1064,2793,1229,7509,1836,2128,2804
"CENPK",721,423,535,163,814,674,586,3160,578,1797,642,1362,213,1455,1045
"CENPL",991,440,891,482,590,928,576,2214,769,1091,1762,826,464,1594,719
"CENPM",169,400,837,139,346,242,294,1116,223,886,517,378,47,832,165
"CENPN",470,672,894,586,1122,1285,904,7258,1459,1228,1420,1238,469,1627,888
"CENPO",1120,1033,1696,653,1258,2738,2402,14063,2545,4012,3853,1232,792,2248,582
"CENPP",645,386,643,210,544,683,528,3743,306,1447,625,1338,1169,1100,1156
"CENPQ",227,156,385,179,600,549,542,1236,282,832,1036,636,248,835,668
"CENPT",1326,500,1432,935,794,1399,1310,4789,2241,1806,1285,1445,2569,2189,1851
"CENPU",646,274,934,638,1701,1175,1540,2141,1049,2791,1849,2095,229,2043,1874
"CENPV",247,112,262,45,473,36,58,4934,609,2525,115,619,247,391,17
"CENPW",302,494,588,172,774,653,342,3477,348,419,746,2682,226,824,134
"CEP104",2934,2041,3269,1159,3719,2686,3998,9481,4354,4318,3889,2972,3924,5038,2063
"CEP112",478,244,448,319,435,703,471,1885,595,1109,158,656,4260,755,17
"CEP120",2905,1512,2762,822,1827,4516,2192,6339,1460,3054,3664,1662,3623,6218,1197
"CEP126",268,117,289,79,170,202,256,641,321,1645,523,852,1986,817,249
"CEP128",2518,1008,2818,892,1021,1577,864,9013,927,2092,2800,2822,3169,2975,2634
"CEP131",1103,717,1381,572,269,512,1131,7497,1511,1908,1883,849,727,1465,518
"CEP135",1607,959,2102,1012,1474,1856,1184,7017,1440,2458,6713,1617,2096,3540,1073
"CEP152",1563,957,1320,440,1354,1771,2138,8102,1100,3101,2311,2447,2123,2559,2373
"CEP162",975,526,867,443,1421,1639,1513,6687,844,1296,1872,1597,2474,2030,723
"CEP164",1905,810,1991,605,1239,1554,2048,3572,3165,1698,1426,1364,4527,4537,1090
"CEP170",5292,2054,4202,1147,2030,7068,2900,12173,3471,6320,8017,2762,6769,6240,512
"CEP170B",2722,3229,4178,1568,5815,5793,4494,16710,6609,8905,7384,8721,3015,4252,3377
"CEP19",183,64,327,64,82,241,188,321,206,335,122,303,240,558,146
"CEP192",6166,2493,7122,2398,5910,8222,6805,23695,9955,8725,10859,8778,8536,12615,6217
"CEP250",5007,3270,5464,3140,1782,4414,7209,15212,6653,7134,17117,11915,3326,7795,3797
"CEP290",2114,947,1979,949,3066,3365,4221,9703,2454,5145,2762,3804,5712,3650,1261
"CEP295",2013,1367,3185,919,3709,3615,3952,6740,4701,4327,3006,3931,3735,7094,2685
"CEP295NL",117,63,194,42,133,195,58,627,123,87,7,172,874,124,117
"CEP350",20304,7007,20045,6391,11375,16281,19376,35702,12886,18011,34826,13235,16100,27473,6712
"CEP41",500,1107,669,285,978,990,2768,4189,837,2738,1955,1295,1145,1502,235
"CEP44",705,714,1015,1948,1649,1928,1513,1451,751,6454,1567,2845,1574,2261,840
"CEP55",708,943,1462,1120,2022,2095,1210,7752,1156,3256,2832,1596,172,4564,764
"CEP57",1768,1541,3285,724,3455,3552,2508,6140,5054,4260,3250,2367,3184,9436,1341
"CEP57L1",543,254,685,1009,845,1309,773,1342,613,810,1192,1398,1368,1158,868
"CEP63",1621,2340,1907,631,1811,2710,6025,12072,2494,4144,3494,2813,3078,3403,1210
"CEP68",868,1791,2292,644,1719,2686,1265,8120,1874,3536,2905,1527,5556,4172,582
"CEP70",958,566,665,638,1591,1148,4318,8814,2120,3164,2796,2309,886,2267,636
"CEP72",1478,250,945,327,340,733,496,2396,1841,726,1508,1239,474,1169,1260
"CEP76",519,319,737,521,538,995,781,4225,815,919,947,688,521,1281,300
"CEP78",1881,854,2175,948,2925,3325,1082,16335,1523,4840,2873,3086,2273,4015,3014
"CEP83",1786,544,819,319,1342,1626,1012,5703,1248,2159,1242,1895,1976,1854,918
"CEP85",1437,707,1345,1584,1181,2795,1347,8006,2893,2449,3093,2519,1065,3015,1254
"CEP85L",1684,946,2951,531,849,1388,744,3481,1141,766,1260,1916,3282,5753,484
"CEP89",1615,1270,1624,962,2317,4234,2734,8885,4195,5936,4602,2137,2741,2556,1461
"CEP95",3068,965,2120,912,2543,3655,2775,10950,2116,4801,4506,3445,3884,3781,2071
"CEP97",1454,1054,1943,361,1845,2424,2424,8347,1105,3739,4781,2903,1709,3010,1221
"CEPT1",2005,2143,2873,612,3507,5467,1876,3856,2077,3306,1798,3141,3130,7065,2075
"CER1",0,4,0,0,0,0,1,61,0,2,0,0,1,0,0
"CERCAM",2311,1850,867,461,1386,7990,5979,4237,5201,3651,2226,1495,8163,406,1931
"CERK",4189,1548,5872,1200,1341,6465,2001,1610,1933,3839,4391,1623,5516,8976,1022
"CERKL",49,7,48,10,1,31,5,46,19,1,254,14,2,197,2
"CERS1",2,5,33,8,0,265,4,48,39,37,6,0,27,9,0
"CERS2",5447,6763,11984,3549,13737,54066,17793,25866,9974,16649,30263,5042,5830,14659,3819
"CERS3",17,598,16,15,883,665,4065,3043,0,17,3,388,10,3125,2
"CERS4",501,346,1444,2209,1059,189,63,1183,401,1217,2488,160,1240,4123,26
"CERS5",1805,1256,2118,632,1565,2963,2314,6534,3510,2358,2708,1439,2847,3338,1305
"CERS6",5823,6543,4129,3129,7833,16275,8637,16599,4732,9481,9367,4024,3542,10454,1340
"CES1",644,84,50,138,19529,227,378,564,11,1553,7116,161,3606,305,2
"CES2",1815,1988,1942,767,8786,3075,4574,6144,4424,5269,5478,3869,3761,3839,607
"CES3",44,12,5,23,931,50,3169,90,26,95,248,71,40,142,7
"CES4A",231,77,198,211,259,118,256,126,588,624,692,184,649,613,260
"CES5A",0,0,42,7,36,0,3,11,0,3,323,1,0,0,0
"CETN1",0,0,0,0,0,0,0,26,0,0,0,0,1,0,0
"CETN2",837,895,1037,1483,2097,3058,2778,5505,2828,6234,3649,1956,1528,2494,429
"CETN3",411,848,585,285,1250,901,852,2955,355,1751,582,705,814,1400,337
"CETP",49,39,2468,17,124,62,34,83,54,48,49,27,125,1730,4
"CFAP126",18,10,0,4,5,13,4,7,1,577,2,29,0,10,3
"CFAP20",585,992,1270,631,1284,1568,1423,6182,1092,1649,1563,788,947,1757,268
"CFAP221",210,7,39,16,147,6,91,175,27,510,88,425,121,32,2
"CFAP36",800,600,673,575,1561,2637,2182,3710,1467,3246,1641,698,1790,2154,321
"CFAP43",18,4,29,26,127,36,234,150,19,817,50,146,77,27,103
"CFAP44",1972,970,960,429,2042,1384,2998,5022,2748,4967,1466,5015,3162,1680,2261
"CFAP45",39,74,64,228,25,3184,147,56,117,1828,131,242,48,90,89
"CFAP46",0,7,5,5100,22,1,1,86,5,4,1,0,35,15,6
"CFAP47",41,174,139,307,19,18,7445,310,690,575,372,607,41,23,24
"CFAP52",1,2,0,18,10,0,3,1,0,208,1,24,5,0,2
"CFAP53",105,53,53,93,80,452,460,443,157,599,127,57,78,72,136
"CFAP54",253,33,297,118,76,211,105,195,103,3421,61,714,749,137,4
"CFAP57",71,15,41,114,142,79,106,38,41,478,10,30,65,36,15
