"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"A1BG",23,11,41,2,407,17,20,57,6,52,269,18,41,68,9
"A1CF",0,0,2,1,14039,0,348,6,0,2358,3934,2,11,0,12
"A2M",28545,44179,36200,9621,61710,51777,11172,14522,15751,36569,40332,14978,203872,63872,503
"A2ML1",6552,113,186,264,4822,6486,7862,1014,143522,3670,35230,2585,13,370,292
"A3GALT2",3,1,1,15,2,1,1,3,0,2,3,4,7,1,5
"A4GALT",399,407,1351,89,1907,1589,3205,581,1337,1462,508,2190,1759,1658,837
"A4GNT",81,0,0,0,0,0,0,0,6,1,0,0,0,1,2
"AAAS",1916,1093,1758,491,1656,1697,2390,8382,1875,3156,2033,1736,2809,2896,1128
"AACS",1360,831,2090,1340,2531,3234,2014,10134,2956,3617,2615,1653,2314,3200,1512
"AADAC",0,157,5,0,3331,1,111,50,454,848,1447,603,0,1,2
"AADACL2",0,8,0,3,2,0,0,4,0,0,1,4,2,0,0
"AADACL3",0,0,0,0,0,3,0,0,0,0,0,0,37,0,0
"AADACL4",0,0,2,2,0,0,0,0,0,0,0,0,0,2,0
"AADAT",145,286,148,73,1107,3556,697,3085,379,1599,552,572,423,56,283
"AAGAB",1859,3388,1938,2114,4518,3925,6891,10137,4303,6405,4534,3116,2386,5626,1239
"AAK1",9540,5061,7642,2853,11431,27420,19076,25469,15156,21836,13657,6609,13942,16292,6560
"AAMDC",295,629,299,107,588,523,646,501,425,423,540,607,850,959,106
"AAMP",2775,3747,3638,2302,5912,5261,5072,12193,6647,3789,12154,2588,3485,6302,673
"AANAT",0,1,1,1,0,1,1,30,0,1,0,0,7,1,0
"AAR2",1520,1507,1735,664,1801,2992,2157,5221,2475,3229,5673,2147,2060,3294,941
"AARD",35,0,78,5,0,173,25,58,0,1,0,7,90,22,0
"AARS2",2007,1363,1789,463,1217,1712,2334,3585,2132,1667,3694,1597,1595,2505,785
"AARSD1",258,117,208,65,101,232,138,516,153,382,141,133,321,266,97
"AASDH",680,419,777,687,1448,1523,1024,2657,625,1826,1480,1228,1565,1683,527
"AASDHPPT",1019,1173,1710,523,2414,2798,2978,5845,1733,4888,2006,1433,1730,4108,575
"AASS",546,872,410,82,2325,612,723,7015,511,542,1283,1831,3085,1214,165
"AATF",3938,3251,4814,2008,2845,5653,7709,12381,5127,8985,15463,3519,3429,10189,1632
"AATK",28,58,202,84,70,152,21,162,81,62,33,108,226,230,95
"ABAT",892,2214,1343,364,16543,825,8065,1124,1540,4223,3510,459,827,2281,905
"ABCA1",15895,9550,9010,3344,12897,58347,27177,36508,23614,32037,16305,12630,21531,15775,5270
"ABCA10",186,51,147,57,483,103,555,87,129,537,194,368,4313,111,432
"ABCA12",337,610,290,482,3061,6738,1175,222,11,131,309,1659,47,1348,1392
"ABCA13",7414,520,38,217,732,156,36,6069,1090,69,11,2045,6,2,20
"ABCA2",5909,2444,2816,1144,2148,5198,8680,4135,3790,1634,7349,1190,6295,6072,4831
"ABCA3",2743,1175,1448,736,166,7432,231,4549,3261,253,27245,2559,1392,2278,54
"ABCA4",47,12,507,25,31,23,154,127,37,29,22,131,78,208,169
"ABCA5",1646,389,839,623,3656,2314,1783,1830,945,2057,1866,3016,2861,2346,6080
"ABCA6",745,624,1178,145,5918,619,384,357,573,1703,1371,782,8499,1489,253
"ABCA7",3588,774,2837,967,625,1273,1194,1252,900,825,1203,2299,1895,5398,1247
"ABCA8",187,80,368,26,2731,63,129,57,39,644,761,318,6131,117,177
"ABCA9",614,457,202,95,1176,408,152,222,362,465,237,434,5428,589,43
"ABCB1",1101,448,656,124,774,228,27690,568,328,575,777,265,992,2211,22
"ABCB10",962,879,1169,280,2027,3120,2342,2701,1204,1484,3028,1216,1575,3430,1378
"ABCB11",21,2,46,5,4469,0,154,28,1,1132,1559,7,64,153,0
"ABCB4",149,148,1333,54,3639,174,395,1125,174,883,2445,86,432,1936,21
"ABCB5",2,0,1,58,3,15,12,4,0,2,0,1,21,3,1
"ABCB6",66,18,99,36,109,79,55,224,76,124,140,64,213,257,131
"ABCB7",1239,980,1410,553,1683,2281,1426,2249,936,1857,8953,1653,1659,3132,728
"ABCB8",1538,873,1269,1043,963,1837,2507,4661,1316,2659,3426,1293,1832,2568,795
"ABCB9",1082,412,518,240,325,614,1736,1794,940,801,1671,800,447,1109,607
"ABCC1",7849,2645,9443,1445,5710,7320,5367,22136,9714,11821,36676,6301,7567,13726,211
"ABCC10",2936,1495,2154,483,1198,2246,1572,3187,2636,2642,2291,1731,2672,2808,1532
"ABCC11",7,26,32,2393,113,52,26,38,86,89,20,30,32,30,46
"ABCC12",1,0,0,395,0,1,0,40,0,2,0,0,0,1,2
"ABCC2",89,10,98,493,3046,58,451,105,28,624,1718,45,223,267,101
"ABCC3",6759,5189,1712,1096,7383,10186,870,965,3266,12921,2058,3139,2058,4478,71
"ABCC4",3362,3964,1817,549,5176,1124,315,5656,8596,12939,21608,1445,3238,2837,147
"ABCC5",2693,5142,2286,1814,4841,2635,10127,22526,1995,7391,3938,10476,9837,6699,1769
"ABCC6",28,11,32,48,2194,45,80,41,4,529,1226,170,499,10,5
"ABCC8",0,1,20,57,0,1,0,583,2,9,1,9,32,2,0
"ABCC9",848,1587,1345,662,3703,2120,560,403,362,858,973,633,17146,1588,30
"ABCD1",1489,850,1175,423,649,1793,770,1140,1665,677,4490,818,1198,1701,497
"ABCD2",641,223,635,74,50,288,11,447,258,27,128,116,1210,1783,26
"ABCD3",2011,1368,2519,1725,12444,10874,10227,6129,15218,12629,5053,5777,2819,4179,1574
"ABCD4",1992,1270,2223,538,1972,1576,1953,7207,1642,3008,2548,2384,3744,3737,1578
"ABCE1",2083,3205,3554,2227,7532,9210,7621,13994,2627,11073,8516,10862,3300,8495,1495
"ABCF1",5292,4760,6932,3728,4511,7869,9386,15455,7453,10261,15950,5662,5456,9715,2775
"ABCF2",2221,2920,2732,2255,2954,7228,5529,20872,4284,6255,12861,3784,3686,7378,1219
"ABCF3",2501,3242,2488,1702,2734,4326,6749,9383,4158,4235,4904,3731,3149,5843,1887
"ABCG1",3854,2972,3281,812,1582,8096,951,4638,2596,5520,2105,1799,2595,5978,1579
"ABCG2",653,222,422,69,1024,23462,215,218,197,376,705,154,327,628,4240
"ABCG4",10,4,6,2401,11,12,12,8,12,42,8,6,34,14,1
"ABCG5",0,0,2,14,862,1,33,4,0,248,355,0,4,0,2
"ABCG8",1,0,0,0,1139,0,43,11,0,190,726,0,11,0,0
"ABHD1",16,18,16,15,17,26,35,27,13,26,65,8,66,53,6
"ABHD10",1221,1510,1604,555,1714,1431,2851,6233,1003,2363,2391,1515,1367,3752,448
"ABHD11",1092,938,966,1289,2451,1232,3433,2457,1667,1142,2323,1189,421,1162,731
"ABHD12",3752,3961,2995,891,2893,4639,6458,8954,10928,6473,8442,3280,1370,4492,2451
"ABHD12B",1,0,0,13,2,3,1,54,0,2,0,18,0,0,5
"ABHD13",892,1331,1035,477,1620,2501,1659,1758,567,1656,1739,1840,1250,2724,1481
"ABHD14A",416,741,356,28,371,531,1270,316,531,797,661,269,382,478,77
"ABHD14A-ACY1",3,13,11,0,10,7,7,12,6,16,3,5,14,6,8
"ABHD14B",1907,2325,1679,631,3377,3303,6006,1906,2768,2289,3636,977,2388,5115,179
"ABHD15",1400,1930,1772,474,1653,4200,3673,2200,2067,3013,2671,1906,1527,2708,762
"ABHD16A",426,179,364,84,205,166,171,278,155,258,192,239,314,438,204
"ABHD16B",6,2,2,45,8,25,0,8,43,5,12,21,13,29,33
"ABHD17A",3707,2020,3020,591,775,1285,1408,1566,1037,1433,983,964,1763,3511,1085
"ABHD17B",565,1474,1212,536,1526,1589,1006,4999,566,3507,907,1062,909,2040,367
"ABHD17C",2964,1481,835,1033,5413,1523,5933,8845,2370,2817,4505,1853,472,3003,730
"ABHD2",12977,63533,8368,4251,43865,19641,34788,21932,37791,70736,77254,18975,11123,22041,1759
"ABHD3",1889,733,1341,597,1290,2310,699,2776,1317,1107,1813,1220,1321,2879,1042
"ABHD4",1631,592,1378,783,1638,2096,1395,1358,1662,3017,6685,2392,2949,2000,2178
"ABHD5",766,922,694,985,1851,2143,4387,2332,2015,4236,1844,1210,1221,1504,754
"ABHD6",504,416,897,55,1317,1345,1956,839,670,1068,1199,486,1003,2405,162
"ABHD8",665,190,689,419,321,1037,444,584,874,552,782,541,434,914,220
"ABI1",5005,4321,6205,2009,6987,9852,5671,13699,5961,6070,16037,4458,4764,12998,1822
"ABI2",2193,2814,2935,924,3803,4348,1684,10637,3387,4384,7424,3189,6191,4652,1045
"ABI3",3411,1257,1941,415,351,771,126,983,999,346,476,502,1351,4472,50
"ABI3BP",2787,1356,3227,302,204,639,155,836,3412,155,2074,931,6709,5380,11
"ABL1",5670,3749,5484,1987,4423,6647,4914,27937,7009,12527,7515,5013,12752,8589,1484
"ABL2",4048,2805,5218,1902,3366,8671,4032,11951,4322,7626,14055,3725,10303,6105,1241
"ABLIM1",5628,5101,15546,2300,13480,1552,7204,34954,4781,17720,9193,10620,15971,23771,475
"ABLIM2",350,81,226,170,50,80,81,126,105,201,901,541,1067,349,12
"ABLIM3",477,797,1563,165,5525,6018,4309,660,3205,1665,1027,942,4267,2285,1597
"ABO",49,226,31,8,1464,12,29,1330,104,287,14,202,637,135,4
"ABR",11815,8855,7006,2399,7281,9562,3331,16014,8256,9206,8017,6948,8097,13039,278
"ABRA",0,0,16,5,0,0,2,0,0,0,0,0,18,0,1
"ABRACL",1204,1425,3266,583,3017,2329,4487,11866,2170,1511,4197,1482,654,3885,388
"ABT1",1237,2109,2415,763,1764,2553,3299,9247,1876,2430,3193,1341,1296,4425,954
"ABTB1",1458,538,1843,297,752,1388,485,1241,902,505,1553,605,2286,2709,1646
"ABTB2",190,240,779,2036,563,2293,552,443,1053,1080,1206,793,374,17297,133
"ACAA1",2486,4771,2408,886,7859,2511,8475,11364,5270,4799,5115,3023,3206,5087,1090
"ACAA2",1492,1159,2093,402,5541,4515,3319,15824,12946,1940,8880,2279,3896,4096,733
"ACACA",5180,6279,6643,2396,17226,11584,23079,42112,12809,37888,20996,12249,6046,11959,5169
"ACACB",2310,424,2077,376,5881,674,467,3293,1433,951,2806,929,18313,2215,1418
"ACAD10",2453,1243,1547,671,2368,1679,2539,6466,2742,3284,2541,2206,2701,3040,1083
"ACAD11",291,92,194,45,176,342,167,489,140,186,119,287,510,282,113
"ACAD8",1118,664,887,292,1431,1101,1422,1529,1552,2258,1998,1029,1857,1963,826
"ACAD9",1947,2441,2113,675,3116,4229,5258,18047,4055,4249,6627,3509,3084,5638,2025
"ACADL",2,204,47,352,669,4,34,1083,229,278,785,403,416,5,0
"ACADM",1957,1259,3010,654,4823,4592,1479,3799,1681,8120,6516,2323,2245,4786,1208
"ACADS",575,543,578,103,2107,704,1045,2000,1920,1580,1789,734,1233,1534,302
"ACADSB",1072,2610,1233,364,14521,1026,3855,9800,1130,3615,6358,706,1944,3683,195
"ACADVL",12370,5112,7944,3312,15080,24890,16705,20009,17030,24489,13593,11829,21849,12233,5367
"ACAN",50,219,211,53,89,344,326,9,37,24,406,51,299,112,18
"ACAP1",4067,1121,6029,577,270,777,41,2702,2243,346,498,687,3150,10792,493
"ACAP2",5614,4743,7491,2675,7438,13184,14811,42138,6269,10541,11859,5507,8401,15452,3415
"ACAP3",1594,1259,1664,766,871,705,2438,9384,2337,1997,606,1561,2592,2139,2707
"ACAT1",1017,849,1343,743,6861,2896,1529,3269,1617,3001,5906,640,2490,4977,351
"ACAT2",788,1154,2645,181,4572,2596,2537,4717,1001,1997,3670,1660,805,3380,2293
"ACBD3",4418,4138,3895,3060,6293,6670,11072,22386,6499,7003,7923,4429,5152,7717,2629
"ACBD4",492,220,710,167,853,827,1530,1163,777,1180,1342,516,1204,1128,446
"ACBD5",2772,2069,3145,1046,5135,5332,5978,5054,4594,6020,10703,2634,2144,5094,1011
"ACBD6",3042,1634,2055,809,1963,1860,2377,7777,2347,3591,4158,1970,2475,4038,1628
"ACBD7",63,28,88,4,40,20,62,3650,57,124,301,116,25,50,4
"ACCS",636,260,806,157,435,233,1232,1586,408,727,304,632,2087,1343,391
"ACCSL",0,0,1,2,1,0,0,0,0,0,1,0,0,0,4
"ACD",459,422,918,440,561,627,797,2336,1285,762,638,477,660,1169,231
"ACE",2003,909,1086,352,302,1930,112,654,2606,477,269,347,1220,2098,49
"ACE2",91,45,185,31,809,2,176,59,34,27,64,549,41,17,43
"ACER1",7,8,14,14,0,0,3,4,6,8,0,0,14,37,0
"ACER2",237,9435,488,89,16265,1950,1074,11063,7651,6999,627,1125,619,363,1829
"ACER3",1719,1103,1780,408,2754,2852,1796,4032,1928,2595,1174,3082,2391,6169,732
"ACHE",418,166,944,97,145,10,40,183,163,150,1720,27,116,992,55
"ACIN1",14649,9027,13360,4593,9564,10366,16443,45946,12033,22829,17651,17292,20964,20822,9752
"ACKR1",139,480,2757,17,1,0,4,67,542,5,21,101,10590,2996,5
"ACKR2",75,64,2526,18,511,118,2170,308,725,355,77,101,207,2415,3943
"ACKR3",461,517,396,134,374,844,2002,619,231,1172,179,1173,3953,1616,2005
"ACKR4",14,19,65,1,67,41,2,2,138,22,10,53,186,73,6
"ACLY",8854,9912,11592,10093,18326,43135,27574,60935,21979,37696,56728,7559,12080,23061,2348
"ACMSD",0,0,0,0,1319,0,45,8,1,152,340,1,0,0,2
"ACO1",4135,2176,2435,1204,5229,6801,2416,5797,7670,5508,17713,2261,9222,5280,1411
"ACO2",4174,7192,6190,2284,10061,7460,7891,16693,5541,10115,9709,4235,5700,11818,956
"ACOT1",64,63,404,20,250,191,94,90,36,73,248,54,233,83,58
"ACOT11",2897,573,236,126,1441,1225,1075,2444,2101,2384,643,1621,606,557,706
"ACOT12",4,0,4,0,938,2,11,11,0,69,446,0,13,2,1
"ACOT13",1041,1332,1604,1074,1714,3034,1662,2525,1013,2017,2996,1641,1255,1718,795
"ACOT2",527,563,658,75,719,605,628,1140,475,423,658,281,894,694,98
"ACOT4",316,128,356,24,174,880,151,251,495,428,1150,223,124,841,609
"ACOT6",3,0,18,0,4,2,0,0,0,2,4,0,0,0,3
"ACOT7",879,697,1071,191,1078,1299,1305,6210,2228,1708,1007,950,609,3074,229
"ACOT8",808,555,942,606,817,1108,850,1691,932,875,1000,1918,769,1468,651
"ACOT9",2002,704,1549,660,1593,3998,2133,1772,2014,2293,1532,2164,3498,3298,688
"ACOX1",5319,5322,5116,2316,22832,61332,74366,63886,15226,80384,13837,7563,10316,8304,7847
"ACOX2",64,249,99,43,1611,120,121,110,93,198,548,145,866,211,4
"ACOX3",970,2154,1251,723,2722,3559,4819,10626,4459,3502,4032,1411,1958,1694,670
"ACOXL",144,1785,275,48,2244,702,5,594,5264,994,91,142,78,75,0
"ACP1",2276,3390,3250,1685,4531,6052,5165,9300,4896,5894,8843,2016,2481,5071,1346
"ACP2",5148,3020,3245,1017,2809,5955,4163,5930,4089,2096,4082,2186,2184,6955,810
"ACP5",18298,4204,3228,1114,2557,7801,988,3160,4152,1978,995,899,555,14277,66
"ACP6",1577,1533,519,499,3065,3908,1252,3687,4085,5445,3983,3027,1426,1210,1585
"ACR",2,1,5,22,6,2,0,10,10,0,5,1,30,8,0
"ACRBP",327,215,236,140,82,223,128,512,225,223,101,74,206,398,35
"ACRV1",18,2,8,0,0,0,3,5,70,4,3,0,0,0,0
"ACSBG1",6,277,23,19,93,10,16,90,63,440,10,175,7,28,11
"ACSBG2",0,0,0,8,4,2,1,4,0,0,1,0,24,8,0
"ACSF2",1258,1301,2693,1061,3093,4265,11340,2040,5757,8122,1522,2305,1837,1882,2961
"ACSF3",2186,1184,2680,617,1455,1451,1665,6452,2638,1289,273,2194,3227,4163,1389
"ACSL1",2844,4671,7608,1706,44218,7908,27690,3985,21345,9978,10781,3605,21347,5764,2933
"ACSL3",2914,8262,2982,6574,15493,10216,7513,14824,5941,18671,9700,3097,4000,9937,3420
"ACSL4",4485,2093,4420,724,5088,6571,1087,5402,6223,13719,5684,3534,6860,9139,205
"ACSL5",3173,7110,3319,363,24089,1865,44214,4460,25978,10643,6857,2586,4854,14746,1556
"ACSL6",156,56,419,37,78,55,6,256,130,28,103,42,463,1244,18
"ACSM1",72,62,26,39,132,4,177,138,52,17,25,8,24,34,4
"ACSM2A",0,1,7,0,4426,0,117,1,0,452,1823,0,4,1,0
"ACSM2B",3,0,2,18,4291,0,168,5,4,418,1705,1,11,3,0
"ACSM3",1012,161,396,492,1171,158,4726,31436,1743,560,669,228,254,692,45
"ACSM4",0,0,0,0,1,3,1,1,0,0,0,0,1,0,0
"ACSM5",52,83,107,82,3572,72,142,58,21,376,1268,26,400,406,0
"ACSM6",0,68,0,1,59,0,2,0,25,981,0,2,27,0,0
"ACSS1",4379,1962,4422,1088,1205,600,314,2082,4101,1136,4278,1429,2782,5052,726
"ACSS2",1466,975,1534,958,4734,1312,1619,2723,2596,1825,6785,2472,3096,4445,1685
"ACSS3",597,427,512,245,1973,265,321,229,578,703,2962,458,3011,561,147
"ACTA1",17,1,22,93,3,7,9,17,21,4,4,9,28,16,229
"ACTA2",15603,8581,10169,5899,3007,29513,9682,1376,7651,16890,3646,2419,112000,4478,233
"ACTB",217195,230156,367192,123009,245607,527672,419625,406334,379574,243938,277892,146613,300526,581916,36038
"ACTBL2",0,0,4,5,9,0,13,0,0,14,0,57,9,5,40
"ACTC1",2,0,173,10,6,110,52,64,2,5,1,0,454,8,5
"ACTG1",73800,111260,129308,24452,203079,162736,261174,349317,140428,286085,126859,56289,112871,203096,28568
"ACTG2",316,126,1624,84,133,753,762,89,182,1018,167,164,33403,100,585
"ACTL10",102,73,226,17,69,146,153,105,512,248,230,217,69,173,40
"ACTL6A",1677,3118,2750,1479,3072,6854,6115,18605,3285,3359,7025,4207,1500,6529,1935
"ACTL6B",0,0,0,2,0,0,0,14,0,0,0,0,0,1,0
"ACTL7A",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",1,4,4,0,0,4,0,1,0,0,0,1,1,4,2
"ACTL8",0,0,0,14,3,2,0,51,7,5,14,0,0,12,0
"ACTL9",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"ACTN1",13227,6799,7596,3921,12677,33536,19977,16976,12258,21581,20358,12509,38722,15845,12986
"ACTN2",13,5,104,31,3,4,18,69,2,12,115,27,66,10,0
"ACTN3",3,1,12,7,7,3,0,5,0,5,0,1,12,12,3
"ACTN4",43235,24121,56964,17741,32038,42128,37620,63296,53866,52690,58648,26604,30647,33064,10844
"ACTR10",1677,1750,1768,721,2696,5697,3225,4527,1212,3648,5203,1998,2369,3903,1875
"ACTR1A",4047,2714,4797,1461,5151,5564,7962,10685,5243,9803,6246,2857,7494,10852,1441
"ACTR1B",2010,2360,3047,611,2911,3214,3791,6432,2127,2626,3205,1905,3055,5431,740
"ACTR2",18640,17305,29375,12319,28832,43500,33717,66122,29693,30940,30752,8580,18461,51159,3075
"ACTR3",13053,10483,22996,7296,17500,26961,23777,25326,12430,11264,24242,6561,14869,43248,4359
"ACTR3B",452,541,297,217,465,783,594,2028,521,1058,1541,788,469,749,270
"ACTR3C",1149,437,578,234,764,507,575,869,1576,1209,3091,751,634,774,325
"ACTR5",479,282,488,284,557,1252,547,1484,740,1038,1503,1105,679,1247,626
"ACTR6",553,465,825,575,1704,2032,1304,3681,475,1557,1924,814,748,2243,612
"ACTR8",1624,2224,1778,668,2776,2950,4645,7175,3161,4477,2754,1580,2398,3688,618
"ACTRT1",8,2,0,0,0,0,2,0,0,0,14,1,0,0,0
"ACTRT2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"ACTRT3",226,80,48,1,30,150,159,344,155,32,13,141,137,155,50
"ACVR1",1736,1176,1173,487,1801,3875,1461,2584,2247,2150,3135,1771,3874,2465,302
"ACVR1B",2325,2104,1449,1500,3152,2610,3710,11320,5285,4907,3055,2960,2802,2577,446
"ACVR1C",135,42,45,16,116,24,1,1177,70,53,789,354,1716,233,11
"ACVR2A",703,1700,1048,380,3012,2630,2613,4688,1803,1734,1720,975,5468,2098,368
"ACVR2B",1578,7791,1464,627,2375,4859,8001,79807,2939,5210,6418,2411,2011,1300,3272
"ACVRL1",2390,1566,2317,262,308,2155,456,834,1643,926,485,492,6817,3624,41
"ACY1",104,536,90,1291,492,248,327,642,220,426,183,163,170,272,105
"ACY3",44,11,322,2,148,0,6,11,20,22,46,165,6,63,0
"ACYP1",517,283,396,71,396,636,326,1386,198,872,1406,664,339,937,800
"ACYP2",443,397,688,81,647,559,590,787,578,1209,622,431,942,1167,318
"ADA",524,447,1087,568,465,438,3502,1182,317,905,167,1996,811,1905,26
"ADAD1",0,0,0,2,1,1,0,4,0,0,2,0,0,0,0
"ADAD2",1,0,14,5,9,5,55,40,6,7,1,4,7,5,0
"ADAL",493,441,390,208,406,705,1015,2065,471,815,848,932,732,1355,289
"ADAM10",8625,34708,9867,3274,26620,42123,158191,96435,18024,105251,23573,12503,10479,28278,4819
"ADAM11",12,23,19,81,12,23,30,1977,51,234,50,4,24,27,2
"ADAM12",7186,1975,1288,988,572,13116,2791,922,15562,1789,682,655,41534,2370,113
"ADAM15",2181,2292,3895,1889,4095,11208,5926,6672,9042,7554,9985,4930,9068,12750,2350
"ADAM17",2802,3214,4197,1180,4781,12509,15094,30664,6830,8031,13146,2928,4318,7826,2088
"ADAM18",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"ADAM19",10053,2921,15792,899,1819,10296,36229,5138,4080,14337,4828,3573,9376,17431,4392
"ADAM2",0,25,94,10,4,1,4,252,233,0,0,39,1,0,1
"ADAM20",239,51,67,25,143,186,133,597,44,160,69,137,387,159,195
"ADAM21",62,4,14,0,2,22,66,2,0,3,48,15,22,19,10
"ADAM22",1257,164,586,145,383,381,1601,1121,849,1073,4430,1109,2693,850,28
"ADAM23",113,169,412,81,223,75,68,1263,72,156,1501,821,2219,1096,4
"ADAM28",2915,2085,3072,420,1141,2773,466,3662,671,322,959,1680,2618,6190,235
"ADAM29",3,0,74,29,0,3,2,2,8,8,5,3,2,16,0
"ADAM30",0,0,0,8,0,1,0,1,1,0,0,0,0,0,0
"ADAM32",217,29,257,61,62,239,154,450,91,152,43,184,724,266,322
"ADAM33",18,2,197,67,40,4,46,55,181,24,7,44,1002,214,0
"ADAM7",2,0,2,5,0,0,0,0,0,0,0,0,4,0,1
"ADAM8",7345,2733,2128,424,2019,8237,3493,1215,3003,1884,3486,527,807,3089,1231
"ADAM9",4849,8499,8228,2617,12646,22340,41436,13601,10832,13563,12388,8562,10407,8997,6934
"ADAMDEC1",4810,2520,2837,621,568,6394,42,3383,2428,124,2817,722,205,14323,10
"ADAMTS1",849,3385,1893,541,2275,1714,1277,850,1209,6511,866,1166,10261,4419,17963
"ADAMTS10",638,285,1021,155,322,499,382,246,757,1092,1272,361,6098,1031,21
"ADAMTS12",3215,932,261,234,805,13796,3422,2216,2251,9177,3963,1321,7647,3387,11
"ADAMTS13",192,64,81,117,222,113,131,422,100,194,174,122,330,68,50
"ADAMTS14",998,225,317,13,175,410,675,510,232,634,250,286,1467,210,12
"ADAMTS15",62,77,179,157,136,9,30,51,250,706,8,502,2086,487,1
"ADAMTS16",113,2,7,24,2,1487,81,10,0,139,7,180,3218,4,1
"ADAMTS17",149,130,391,383,335,37,838,2794,711,108,39,84,773,1239,19
"ADAMTS18",37,47,51,18,2,4,45,1817,0,5,42,28,1179,2,0
"ADAMTS19",0,15,184,1,0,0,8,3256,47,762,31,2,0,4,0
"ADAMTS2",4274,1671,637,439,923,11280,2715,976,9683,5242,1330,803,12255,1565,17
"ADAMTS20",361,0,25,97,0,153,1,884,204,145,816,560,9,0,0
"ADAMTS3",175,41,213,96,25,61,30,37,85,133,991,79,604,487,96
"ADAMTS4",1258,1391,511,102,477,3059,764,271,1223,2913,657,241,4289,872,29
"ADAMTS5",231,1620,902,159,693,2022,794,203,599,3450,295,148,6155,3431,92
"ADAMTS6",269,84,253,22,320,510,170,506,198,566,119,575,1898,333,2094
"ADAMTS7",288,521,547,194,300,772,323,9858,619,2079,1504,552,1241,616,9
"ADAMTS8",2,6,22,3,1,15,0,1,61,2,1,4,111,24,1
"ADAMTS9",1103,1655,1360,223,1275,1329,1233,780,1138,2216,602,858,13302,2023,96
"ADAMTSL1",230,439,207,59,247,196,234,144,252,838,211,155,6966,405,1
"ADAMTSL2",862,285,510,171,423,213,518,192,298,645,492,232,2740,443,18
"ADAMTSL3",123,716,620,96,956,348,142,288,223,510,435,182,5380,907,0
"ADAMTSL4",1050,453,433,197,2939,46874,4638,28759,3146,846,406,678,2982,973,13785
"ADAMTSL5",69,115,86,50,556,393,31,83,1052,146,27,209,54,322,11
"ADAP1",500,366,463,156,284,1146,177,399,545,260,768,161,191,342,76
"ADAP2",2564,1827,1230,614,1064,3015,555,2457,1545,918,1844,1623,5816,2355,66
"ADAR",42178,17979,40897,12637,35386,51464,33060,132756,52785,42074,192573,28483,32629,69290,18866
"ADARB1",1556,1040,4467,640,967,2638,492,6677,2516,1940,493,1976,5655,5167,3612
"ADARB2",141,0,120,48,1,5,12,33,1,32,5,7,10,164,1
"ADAT1",1848,1878,2191,1221,1709,1935,3283,9713,3524,2808,2770,2230,2807,3474,929
"ADAT2",806,423,614,172,992,707,657,2966,329,665,462,1222,987,1418,421
"ADAT3",189,58,142,143,55,112,242,95,82,184,119,87,94,299,73
"ADCK1",545,472,459,318,317,399,830,1434,367,501,1093,722,576,641,286
"ADCK2",1002,2808,1426,554,2172,2091,4645,5927,2850,2667,2717,1134,981,3602,1070
"ADCK5",403,183,443,95,427,413,347,1260,738,358,161,551,442,555,553
"ADCY1",130,398,644,49,3092,259,8649,7525,3253,4318,9307,961,2976,596,3
"ADCY10",37,3,25,24,92,10,100,44,85,34,51,17,80,18,107
"ADCY2",475,0,41,34,2,25,6,4,4,8,3677,83,171,30,0
"ADCY3",3097,2200,3290,670,1667,7158,1742,7584,5028,2910,14091,1523,6526,7841,1328
"ADCY4",408,355,920,225,369,260,142,216,879,548,175,392,5316,1308,115
"ADCY5",199,13,774,685,86,44,94,553,62,126,862,286,2793,765,2
"ADCY6",3229,1415,3301,2451,4431,4843,13098,6295,7143,6112,11010,3202,6534,1647,2457
"ADCY7",7537,3681,6464,1052,2006,8745,1124,9761,5983,1541,2943,3172,6285,14328,12465
"ADCY8",2,0,0,47,0,1,2,6,2,0,0,0,2,0,0
"ADCY9",1152,603,928,422,3084,2739,733,793,721,1285,3095,1850,4147,4076,488
"ADCYAP1",11,13,169,1,0,0,0,12,0,2,0,1,125,119,0
"ADCYAP1R1",8,18,13,24,39,96,13,458,8,68,9,15,362,32,0
"ADD1",11960,13209,16104,5118,15587,17423,16349,43494,14716,22500,27873,11078,24325,23170,6278
"ADD2",131,30,540,335,10,10467,59,14248,179,549,18,90,1566,2397,16
"ADD3",6245,3267,9552,2953,8136,3061,11467,20273,7801,8391,6957,5724,12195,17403,1272
"ADGB",16,6,3,31,7,0,0,8,0,4,7,2,21,1,1
"ADGRA1",0,0,5,30,6,0,0,2,0,0,0,1,2,4,0
"ADGRA2",3084,2338,2564,687,666,2980,2121,740,2390,3947,1088,734,10445,3720,32
"ADGRA3",673,2265,826,496,4585,6042,15149,6824,2040,4074,6349,4226,2084,659,1465
"ADGRB1",183,47,313,200,22,40,23,611,165,13,10,44,35,417,12
