"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"ADA",80,1433,1605,250,5182,6699,5397,1472
"ADAD1",1,5,0,0,0,1,6,1
"ADAD2",65,8,81,27,8,3,48,4
"ADAL",9,605,187,308,152,67,277,179
"ADAM10",5412,7123,27577,8867,9440,3507,13564,7116
"ADAM11",613,1275,653,390,96,68,336,178
"ADAM12",406,5539,5724,2038,5294,9491,28911,1792
"ADAM15",9474,9291,15277,12671,18972,6025,21558,10242
"ADAM17",1917,7616,8439,7042,7723,4104,14198,7600
"ADAM18",2,0,5,0,1,0,0,0
"ADAM19",14056,8891,17376,2130,25248,188953,30325,24734
"ADAM2",0,2,0,0,1,1,0,0
"ADAM20",95,2569,1828,1048,755,604,2629,2774
"ADAM21",18,178,78,16,12,103,66,36
"ADAM22",304,1884,901,2387,650,480,2926,193
"ADAM23",77,189,8762,1723,2742,8964,6785,3225
"ADAM28",180,3957,1522,115,7567,1362,13418,6041
"ADAM29",2,11,3,0,0,6,12,0
"ADAM30",0,0,1,0,0,1,10,4
"ADAM32",24,605,172,29,62,24,375,363
"ADAM33",200,1011,492,34,205,668,2890,153
"ADAM7",2,7,0,0,0,19,12,3
"ADAM8",8576,1836,9604,11114,10506,8500,10449,10032
"ADAM9",1432,26116,7988,3592,6736,5310,16090,8077
"ADAMDEC1",17,81,245,7,2232,1100,581,970
"ADAMTS1",1282,15656,1424,2910,6969,2307,30054,2240
"ADAMTS10",497,494,1325,1139,4355,1093,6922,934
"ADAMTS12",182,2474,2993,245,1307,1223,5631,1105
"ADAMTS13",480,1502,857,2008,606,1102,1607,2222
"ADAMTS14",835,430,2900,1732,1255,1442,3335,2166
"ADAMTS15",73,179,211,140,395,88,1390,95
"ADAMTS16",37,151,244,28,167,367,1735,11
"ADAMTS17",3269,5535,6007,3064,1322,2790,2216,16346
"ADAMTS18",48,688,53,85,617,63,2381,1797
"ADAMTS19",4,60,82,3,3,12,63,408
"ADAMTS2",1143,20562,7518,2849,4154,3935,14121,4051
"ADAMTS20",7,1654,1190,77,1138,602,3671,3485
"ADAMTS3",21,360,190,269,294,678,1225,57
"ADAMTS4",1255,3238,1459,1227,3742,2168,7460,1614
"ADAMTS5",190,538,593,266,409,404,1899,1057
"ADAMTS6",28,402,574,162,509,655,3181,450
"ADAMTS7",762,1557,1859,1055,604,779,2637,660
"ADAMTS8",33,242,38,9,124,214,424,159
"ADAMTS9",545,2368,1556,1418,6507,1393,22766,13457
"ADAMTSL1",159,170,994,232,979,1052,3209,295
"ADAMTSL2",393,3863,2912,2080,1174,882,4323,1521
"ADAMTSL3",52,2804,608,1385,637,205,1481,297
"ADAMTSL4",301,950,419,271,955,722,2163,1032
"ADAMTSL5",2,100,51,91,34,16,45,519
"ADAP1",203,39,95,116,26,22,44,43
"ADAP2",274,807,1130,596,940,794,1489,822
"ADAR",14405,45699,55993,44751,105352,39283,89083,83222
"ADARB1",1590,13571,11135,6956,5684,2563,13759,22200
"ADARB2",604,372,2907,36,3552,2078,2857,10151
"ADAT1",449,1993,1711,4027,1461,1039,3475,3543
"ADAT2",304,775,612,359,394,339,562,542
"ADAT3",412,724,645,722,249,256,357,759
"ADCK1",149,939,822,728,479,313,556,707
"ADCK2",1640,2212,2447,2352,982,969,1544,2637
"ADCK5",639,2820,816,1131,371,283,620,866
"ADCY1",342,1765,2323,4173,240,108,862,369
"ADCY10",7,40,87,77,29,17,83,47
"ADCY2",59,371,1080,78,9,142,822,5
"ADCY3",10053,16642,9706,15294,5002,1432,15373,16814
"ADCY4",262,855,930,545,1335,560,4806,716
"ADCY5",2626,1000,5734,1005,865,2330,2634,9320
"ADCY6",3531,5650,10762,13558,3447,3237,13607,2930
"ADCY7",3758,5158,3448,1614,6786,2780,8773,4931
"ADCY8",6,204,0,30,4,3,24,0
"ADCY9",7112,10304,7183,2742,4311,1736,7732,8437
"ADCYAP1",3,3,1,8,61,143,289,3
"ADCYAP1R1",1,158,44,12,68,38,215,10
"ADD1",7062,15472,15024,15186,14380,7690,27934,16658
"ADD2",23,17841,497,7150,277,61,1321,26
"ADD3",445,23028,4252,2746,8384,7532,21377,6315
"ADGB",1,156,16,0,2,5,6,0
"ADGRA1",9,0,0,1,0,6,0,27
"ADGRA2",4639,1901,3957,2845,3247,1429,7213,2276
"ADGRA3",8449,5727,19366,11337,2535,5149,9492,15520
"ADGRB1",5112,17790,17231,56,608,372,993,266
"ADGRB2",664,2374,837,4896,1451,1287,1718,204
"ADGRB3",24,167,242,323,449,458,1160,177
"ADGRD1",76,3400,660,58,396,2242,1346,413
"ADGRD2",0,0,0,0,0,0,0,0
"ADGRE1",8,80,49,29,379,309,312,475
"ADGRE2",1067,669,480,539,2191,1226,2039,2595
"ADGRE3",10,37,12,9,33,123,96,234
"ADGRE5",1497,5545,1193,995,6492,2042,7353,5750
"ADGRF1",15,181,2146,14,442,138,572,243
"ADGRF2",6,16,92,5,3,0,38,2
"ADGRF3",86,109,153,286,94,63,142,340
"ADGRF4",6,6,105,97,13,1,88,15
"ADGRF5",137,4809,3917,2004,3267,1036,11468,2832
"ADGRG1",3465,4142,4211,8486,1575,982,3702,4023
"ADGRG2",4,8789,83,5,65,369,774,108
"ADGRG3",27,82,21,51,126,260,113,140
"ADGRG4",5,2,9,2,58,1,151,1
"ADGRG5",193,102,172,299,706,195,455,192
"ADGRG6",38,2913,4317,778,518,227,2543,6087
"ADGRG7",0,3,1,1,10,31,38,107
"ADGRL1",596,8871,2012,17148,1525,1410,4935,15812
"ADGRL2",276,10737,3095,1942,7842,2275,20186,6709
"ADGRL3",52,6039,1112,64,1348,1323,5185,3451
"ADGRL4",31,1221,1193,534,1913,391,4613,595
"ADGRV1",115,2984,401,21931,623,1369,1340,2232
"ADH1A",4,14,715,2,33,2,384,1447
"ADH1B",39,2016,723,28,2980,80,10866,9130
"ADH1C",9,28,337,6,217,20,678,704
"ADH4",1,1,9,1,21,0,36,2215
"ADH5",963,7723,4635,4342,4810,2680,7618,8689
"ADH6",0,0,29,4,4,6,30,519
"ADH7",0,1,28,7,5,15,1,1
"ADHFE1",125,815,245,432,270,115,726,582
"ADI1",4197,2633,4593,2536,2179,874,3581,4332
"ADIG",4,12,27,14,0,0,4,13
"ADIPOQ",4,1,197,0,1605,18,6397,0
"ADIPOR1",4191,5860,7665,4394,4501,3367,6032,6359
"ADIPOR2",540,2083,1988,1062,1247,818,2468,13234
"ADIRF",3152,412,1901,1757,260,201,1405,114
"ADK",2396,1755,6117,2305,2607,2111,4817,8399
"ADM",1281,630,582,741,399,231,803,4320
"ADM2",23,150,92,97,414,558,300,70
"ADM5",72,8,100,127,134,22,230,881
"ADNP",2636,35173,23859,21563,16257,8362,33297,19597
"ADNP2",2295,6152,6273,7299,5887,3989,7554,6717
"ADO",471,305,614,1003,281,330,485,1135
"ADORA1",100,180,737,217,688,1170,883,44
"ADORA2A",0,3,0,1,0,0,0,1
"ADORA2B",32,517,81,278,213,63,1038,1049
"ADPGK",1060,2617,3100,3018,3544,1864,4758,4373
"ADPRH",98,823,517,234,591,523,953,673
"ADPRHL1",71,789,306,323,89,23,202,81
"ADPRM",13,343,526,244,643,129,1102,309
"ADRA1A",30,150,26,22,121,19,820,2473
"ADRA1B",25,139,108,444,90,83,365,643
"ADRA1D",8,70,3,14,6,3,32,8
"ADRA2A",90,74,213,120,386,189,1736,107
"ADRA2B",17,296,132,145,58,23,138,730
"ADRA2C",11,18,37,109,22,6,201,28
"ADRB1",41,143,42,85,42,43,98,51
"ADRB2",39,784,357,199,1239,148,2560,7242
"ADRB3",24,1,9,5,6,18,5,0
"ADRM1",3942,13339,7531,14849,3762,2563,5268,9662
"ADSL",1285,5319,6972,3914,4139,4160,6485,6596
"ADTRP",42,42,845,7,115,1304,100,114
"AEBP1",19689,25444,62670,15322,33076,35326,121293,16500
"AEBP2",5016,2731,9565,4548,3739,3646,8061,8153
"AEN",431,585,850,1023,750,416,1158,1299
"AFAP1",767,1793,2517,4035,2686,2136,5498,9398
"AFAP1L1",293,2048,718,1071,567,486,2317,1032
"AFAP1L2",815,1625,1103,528,645,1222,2283,1507
"AFF1",3890,31850,17677,13985,28134,18605,60789,21132
"AFF2",3,255,14,2421,23,76,54,47
"AFF3",263,2156,2422,80,1106,438,11068,8625
"AFF4",2136,12412,14807,8303,8895,6164,22937,6223
"AFG3L2",3035,8495,7360,6277,4518,1853,5839,4067
"AFM",5,0,1,0,3,4,3,1158
"AFMID",820,3215,2831,1367,1371,1422,2812,1784
"AFP",2,11,39,8,17,0,397,19
"AFTPH",657,3902,6572,3577,5953,2502,10832,5797
"AGA",175,1624,2267,1606,1346,463,1728,792
"AGAP1",942,5418,2990,9329,3500,2758,9241,5852
"AGAP2",246,542,570,281,1037,393,1770,951
"AGAP3",3622,3892,5265,8056,4918,3635,6975,8036
"AGAP4",1670,3817,4014,4380,2878,1882,4449,3422
"AGAP5",369,296,946,1020,538,466,1255,941
"AGAP6",3410,7361,13938,14085,8916,5611,12021,13356
"AGAP9",4466,10894,6109,6799,6412,2698,11708,17572
"AGBL1",0,0,0,0,0,0,0,0
"AGBL2",70,192,438,195,676,420,747,554
"AGBL3",15,132,310,61,225,131,492,134
"AGBL4",12,303,100,1120,687,76,326,10
"AGBL5",1088,5215,2114,2758,1042,798,2089,2983
"AGER",1417,4522,2283,3170,2198,1392,4136,3806
"AGFG1",804,6674,7396,5256,7079,4720,12968,9000
"AGFG2",272,2737,469,1468,1038,397,1871,2319
"AGGF1",427,2201,2512,1614,1910,1108,3263,1893
"AGK",430,1593,1546,1438,1087,657,1808,1558
"AGL",559,7849,9776,5573,6317,2929,10292,6757
"AGMAT",22,381,195,102,119,120,220,261
"AGMO",3,101,16,6,22,45,179,168
"AGO1",1649,4037,3833,6370,5696,5609,8070,9290
"AGO2",2208,10027,5616,9785,4561,2746,10701,11872
"AGO3",718,5617,3515,3185,3069,1632,5930,5098
"AGO4",111,2080,1996,4158,2088,1337,4414,3677
"AGPAT1",2011,5033,3456,3554,2179,2271,3291,3472
"AGPAT2",549,3066,5238,1971,839,301,1474,837
"AGPAT3",2292,3563,3866,4865,3243,3654,4600,5905
"AGPAT4",236,560,195,354,415,249,660,237
"AGPAT5",337,3088,1942,989,705,458,1392,1173
"AGPS",335,4954,3676,2592,3223,1652,6048,3209
"AGR2",1,239,70,26,25,44,210,80
"AGR3",0,39,2,0,0,0,4,1
"AGRN",10587,5907,28053,34548,21404,17044,19246,10301
"AGRP",6,0,0,4,0,2,8,4
"AGT",9,3436,238,477,133,76,879,3489
"AGTPBP1",370,4750,3441,2317,2332,1806,5291,5876
"AGTR1",1,81,34,3,86,6,585,379
"AGTR2",0,3,0,0,0,5,118,0
"AGTRAP",131,996,559,316,376,353,508,421
"AGXT",1,32,3,4,4,7,3,5296
"AGXT2",2,0,0,0,2,1,1,355
"AHCTF1",1639,9261,16763,5095,8957,4746,18278,8737
"AHCY",9340,40846,26697,21663,6924,11344,10828,25503
"AHCYL1",3122,5494,5779,5197,3586,3378,8446,3741
"AHCYL2",371,2205,1116,1883,2169,1964,3654,2987
"AHDC1",2963,7203,8071,6175,4050,3086,9103,3954
"AHI1",152,4075,1444,2677,3233,1271,5928,2210
"AHNAK",135354,115865,362946,105248,125178,52281,460549,133000
"AHNAK2",1413,4386,90707,4139,1969,1204,14342,785
"AHR",358,7903,5797,2445,14465,4977,25135,14544
"AHRR",38,113,270,110,32,71,32,632
