"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"FBXO2",75,6048,173,292,403,611,502,80
"FBXO21",1502,2648,4328,3797,2332,1618,5044,3341
"FBXO22",1097,2915,3881,3154,3236,1644,5400,3046
"FBXO24",135,257,231,152,86,101,285,183
"FBXO25",161,2368,2512,3421,2140,1038,3619,3205
"FBXO27",1082,672,1411,2495,204,139,408,3171
"FBXO28",898,3345,4347,3480,2982,1741,4583,3634
"FBXO3",258,2874,2578,1155,2049,1028,4348,2041
"FBXO30",122,4128,3446,1840,2035,1132,5032,2618
"FBXO31",795,1541,1501,2586,1234,894,3264,2480
"FBXO32",1544,11349,3447,1434,3213,1977,10720,718
"FBXO33",454,2366,1550,1202,1487,640,2990,1455
"FBXO34",2108,5948,9666,5935,5202,4097,8377,5695
"FBXO36",104,699,209,167,182,129,275,292
"FBXO38",1102,5504,7390,5743,5747,2741,10515,5245
"FBXO39",36,25,71,96,360,101,113,227
"FBXO4",182,652,1658,324,1330,527,2091,1237
"FBXO40",14,0,1,0,8,8,13,0
"FBXO41",319,2300,1416,4838,681,871,1077,2407
"FBXO42",1525,7974,10265,5830,4337,2582,8158,3708
"FBXO43",6,1729,100,176,285,85,267,493
"FBXO44",641,3638,1793,1556,1890,1129,1591,1346
"FBXO45",323,1213,1162,1275,537,391,1131,2089
"FBXO46",3222,2568,3960,9053,3274,2302,6779,4771
"FBXO47",1,19,9,0,1,1,2,10
"FBXO48",11,123,82,79,124,84,225,242
"FBXO5",82,2231,1157,1065,1097,359,1143,2281
"FBXO6",225,1777,577,242,1354,391,692,1648
"FBXO7",1425,4253,6316,6237,6291,5562,10397,8084
"FBXO8",171,1434,1873,809,1333,493,2089,851
"FBXO9",757,6899,5214,3638,4404,2064,5370,5272
"FBXW10",36,54,119,13,32,58,61,52
"FBXW11",2015,5916,9980,6181,6737,6196,11485,4306
"FBXW12",22,24,4,21,11,9,16,2
"FBXW2",1616,7455,6943,6865,5307,3390,11082,8810
"FBXW4",5093,5658,8330,6212,4494,4059,9233,4950
"FBXW5",7309,13074,20121,10138,20503,25718,33096,19157
"FBXW7",246,3823,5933,2638,20608,6419,21021,3629
"FBXW8",1807,2191,3562,3438,2422,2930,5338,5075
"FBXW9",490,1313,771,1153,456,346,648,1621
"FCAMR",0,1,0,26,80,916,28,12
"FCAR",1,15,3,2,82,79,80,218
"FCER1A",15,119,90,2,113,53,606,16
"FCER1G",78,526,611,162,1089,446,780,850
"FCER2",3,0,30,1,44,157,390,40
"FCF1",84,2701,1731,665,1226,467,1943,1136
"FCGBP",13592,12602,61163,55652,1684,2029,4509,87596
"FCGR1A",63,233,413,144,782,390,468,512
"FCGR1B",16,38,138,19,214,97,151,172
"FCGR2A",317,2142,2486,996,2395,2234,6026,2266
"FCGR2B",35,146,175,14,661,375,1257,482
"FCGR3A",127,1365,1512,526,1634,1095,2729,2606
"FCGR3B",6,62,3,20,59,61,144,70
"FCGRT",7228,4444,5775,8019,5472,4773,8333,4735
"FCHO1",161,1170,491,853,1246,2493,3768,4738
"FCHO2",212,4057,4326,2966,4353,2645,7400,2494
"FCHSD1",672,1365,2474,6989,2945,1873,4467,2749
"FCHSD2",2615,3153,8408,3944,10663,3488,12351,4622
"FCMR",31,221,411,39,1794,384,7681,784
"FCN1",58,237,96,21,1069,475,699,380
"FCN2",393,755,73,0,17,671,152,138
"FCN3",22,324,45,195,62,8,114,462
"FCRL1",4,84,253,1,786,187,5784,393
"FCRL2",43,32,3424,3,1261,3512,9710,216
"FCRL3",18,315,678,6,3311,18589,32231,894
"FCRL4",0,1,19,0,170,26,34,2
"FCRL5",428,43,6024,10,4513,6570,7262,261
"FCRL6",2,62,8,6,53,5,140,52
"FCRLA",6,10,42,0,223,17,728,93
"FCRLB",5,70,40,35,116,273,205,103
"FDCSP",0,1,0,0,863,446,509,43
"FDFT1",1663,7317,8719,4905,4860,3269,13519,11757
"FDPS",2879,3691,8779,7102,6811,5537,12829,6787
"FDX1",43,770,573,383,422,141,493,454
"FDXACB1",26,471,336,215,344,179,557,556
"FDXR",1264,1010,1974,3039,997,1902,1864,2762
"FECH",289,4605,1391,966,1616,754,2554,1430
"FEM1A",4386,5178,6458,7492,3164,2338,4705,8566
"FEM1B",1486,4679,10790,3753,3900,1978,7545,5233
"FEM1C",367,3089,3967,4721,3350,963,7659,4000
"FEN1",1672,2546,1758,6383,1699,1500,1721,4482
"FER",78,2103,1366,1417,1799,789,5202,1639
"FER1L5",33,30,62,182,343,108,351,67
"FER1L6",17,312,226,7,60,50,167,3
"FERD3L",0,0,0,0,0,0,0,0
"FERMT1",941,175,4428,2935,1710,936,2772,8245
"FERMT2",245,6081,1766,1553,1612,903,8043,1296
"FERMT3",775,2174,2357,1182,3870,1923,3557,4128
"FES",842,1457,3231,2071,1355,705,2865,1298
"FETUB",2,0,2,0,0,5,11,221
"FEV",0,1,0,1,0,1,0,0
"FEZ1",214,146,386,168,214,384,958,6937
"FEZ2",334,1403,1416,1198,1179,618,2259,2358
"FEZF1",0,4,10,19,0,6,13,8
"FEZF2",78,4,3,4,2722,22,12612,7
"FFAR1",4,1,0,5,2,7,0,5
"FFAR2",0,23,3,2,20,32,9,61
"FFAR3",1,0,2,1,6,4,1,1
"FFAR4",5,56,31,1,237,88,274,693
"FGA",0,7,4,8,6,2,1,54120
"FGB",3,3,4,3,1,1,9,38389
"FGD1",257,1960,551,2954,276,353,1345,1643
"FGD2",920,1888,1271,920,5221,1444,7394,3515
"FGD3",333,1072,1354,1116,3212,1193,5597,1866
"FGD4",380,2049,4450,2921,2692,2608,10456,3735
"FGD5",1012,2950,3499,2322,25987,37329,73404,2219
"FGD6",2504,3514,4323,16831,21609,13027,60463,48636
"FGF1",24,70,199,66,504,629,769,323
"FGF10",2,75,38,2,71,28,537,1520
"FGF11",0,20,40,11,18,31,76,15
"FGF12",4,464,204,40,2438,95,2831,208
"FGF13",40,63,137,399,51,22,262,56
"FGF14",2,91,4,12,20,10,69,2
"FGF16",0,5,6,10,0,5,6,0
"FGF17",134,1027,326,76,13,78,83,15
"FGF18",7,267,109,52,45,150,198,19
"FGF19",4,0,0,0,0,0,0,0
"FGF2",71,342,202,159,4043,2124,5080,243
"FGF20",0,5,3,0,0,4,7,5
"FGF21",1,376,0,1,1,2,1,9
"FGF22",6,14,3,8,2,0,8,9
"FGF23",1,0,0,0,0,4,0,0
"FGF3",0,0,0,0,0,1,0,0
"FGF4",0,0,0,0,0,0,0,0
"FGF5",0,16,3,58,11599,19,231,8
"FGF6",1,0,0,0,0,0,1,0
"FGF7",20,90,340,4095,712,604,8919,71
"FGF8",3,25,42,5,9,29,28,0
"FGF9",1,17,26,3,30,0,99,5
"FGFBP1",12,15,43,36,208,6,79,33
"FGFBP2",6,15,10,4,20,11,23,27
"FGFBP3",61,48,126,447,48,30,143,136
"FGFR1",963,11931,2772,2526,4455,3000,15043,2333
"FGFR1OP2",210,1443,2865,887,2044,1091,4230,1838
"FGFR2",432,836,2248,3447,3627,1285,8355,4626
"FGFR3",9482,1427,39990,70778,27264,4811,17233,36456
"FGFR4",184,955,112,216,74,34,125,694
"FGFRL1",2756,2253,1242,4222,1328,1134,2646,1687
"FGG",1,14,10,10,5,6,2,32213
"FGGY",320,2344,6015,1837,2687,1699,5934,2959
"FGL1",1,7,6,27,12,37,333,7683
"FGL2",116,1308,1147,111,5240,1044,3902,1524
"FGR",177,761,2936,1409,1649,629,1666,1462
"FH",1635,4260,7500,2267,3016,1379,4966,3196
"FHAD1",231,316,783,913,2247,2502,2403,530
"FHDC1",3662,2625,13280,8251,2651,2245,2639,777
"FHIT",9,171,176,79,192,212,288,412
"FHL1",169,1607,1109,611,2029,537,9408,541
"FHL2",897,1129,1618,1955,1544,877,8951,454
"FHL3",304,864,1211,1448,608,584,1610,1253
"FHL5",15,151,73,139,105,38,1051,34
"FHOD1",1007,4393,1891,4879,1898,1618,4028,2337
"FHOD3",1767,1635,4786,1063,17235,9257,35208,36136
"FIBCD1",6,55,1,123,0,2,11,0
"FIBIN",779,386,2198,57,515,320,1973,114
"FIBP",1242,4639,3488,4206,1894,1380,2988,3380
"FICD",307,446,542,695,608,273,946,895
"FIG4",135,2748,1736,1682,2039,907,3165,1145
"FIGLA",0,1,0,3,5,2,3,0
"FIGN",27,971,257,87,412,539,2452,271
"FIGNL1",284,3683,2686,3005,2091,994,3492,5077
"FILIP1",124,1283,1109,204,851,552,3867,344
"FILIP1L",458,2834,3780,1577,6883,2801,38679,2091
"FIP1L1",1618,5208,5284,4022,3874,2300,7137,4869
"FIS1",2749,4572,4391,2988,2087,1660,3813,3630
"FITM1",37,125,59,132,74,33,82,221
"FITM2",170,3446,559,957,378,213,884,813
"FIZ1",427,499,835,1791,563,530,639,1367
"FJX1",507,258,486,1080,913,604,1292,1901
"FKBP10",2993,17744,3522,4415,2820,5170,12876,1433
"FKBP11",1712,1833,5074,1465,7058,7694,9098,6382
"FKBP14",46,1014,275,420,1026,547,1427,674
"FKBP15",3284,7690,9101,6718,8733,5086,14701,9659
"FKBP1A",2576,4788,8299,4566,11627,7038,13319,7375
"FKBP1B",0,44,11,7,10,1,23,28
"FKBP1C",21,26,73,8,70,58,86,75
"FKBP2",2860,2564,5028,2416,2120,1741,3505,1977
"FKBP3",574,5340,3506,1949,2205,1036,3064,2102
"FKBP4",10232,10911,22088,6152,4480,3860,12258,63876
"FKBP5",217,6967,1207,3620,21977,2655,68344,13259
"FKBP6",0,1,0,63,0,2,0,2
"FKBP7",59,166,162,153,319,186,887,171
"FKBP8",7518,11023,7095,13897,5853,4865,9034,12184
"FKBP9",963,5816,3154,2423,3432,2568,8418,7264
"FKBPL",265,553,541,642,420,263,606,589
"FKRP",733,664,1180,2089,885,787,1499,2237
"FKTN",278,7837,4592,2820,3966,1772,8075,3566
"FLAD1",3231,3889,9270,13709,5011,3499,5732,8256
"FLCN",2194,6014,6771,4463,2312,1876,6574,3803
"FLG",3224,11,210,6,0,41,3181,3
"FLG2",920,0,6,0,0,4,769,2
"FLI1",272,1240,1684,521,3734,1088,7908,5854
"FLII",7022,20145,15755,18431,9327,3769,14420,14184
"FLNA",28691,331086,107931,154226,119409,67144,327378,107893
"FLNB",11457,29017,37903,20250,41320,48593,88911,48943
"FLNC",1079,33218,1656,1157,1209,1399,6030,984
"FLOT1",3015,6596,6393,13406,5141,3091,8719,4255
"FLOT2",5368,7716,11790,14925,7470,14541,12707,18825
"FLRT1",50,84,18,17,2,94,54,18
"FLRT2",287,1852,1438,294,1831,1084,9588,4580
"FLRT3",18,1428,54,50,42,20,626,5734
"FLT1",265,6279,3094,4593,4017,1082,10477,3089
"FLT3",4,79,43,3,494,75,949,249
"FLT3LG",11,36,43,105,62,31,80,101
"FLT4",382,2407,900,1386,741,500,2710,1433
"FLVCR1",726,2683,1942,1516,1043,1116,1558,9938
"FLVCR2",51,1227,371,216,903,379,730,1080
"FLYWCH1",1892,3869,3134,5261,4885,2290,5175,7888
"FLYWCH2",229,1433,783,1535,680,507,1386,1076
"FMN1",739,3176,1583,917,5321,1477,6154,2030
"FMN2",27,308,273,39,10,307,167,333
"FMNL1",984,9310,3268,1722,10047,5023,13462,8000
"FMNL2",1264,19904,10060,9435,14216,34102,23734,13282
"FMNL3",2121,7988,7642,10836,9594,8516,17264,29460
"FMO1",96,76,250,9,225,46,1029,13
"FMO2",14,488,681,2,830,79,2324,156
"FMO3",7,164,361,8,97,96,589,1350
"FMO4",25,251,606,233,1207,467,1420,557
"FMO5",19,352,128,71,99,51,429,1093
"FMOD",640,688,2522,1895,2388,1968,8115,1042
"FMR1",383,4584,4128,3918,4501,1983,6179,5410
"FMR1NB",1,13,6,5,2,0,7,17
"FN1",35530,186273,458503,275981,927657,340205,2089674,505111
"FN3K",2098,1064,362,2193,531,349,921,715
"FN3KRP",833,1688,1308,3715,1327,1112,2809,3623
"FNBP1",2843,7761,8707,4745,12990,13839,20226,7254
"FNBP1L",824,7487,6681,3492,3582,4009,11392,6067
"FNBP4",6492,18625,32639,21949,24313,16930,37133,26313
"FNDC1",2619,1779,14175,1083,6546,10789,65002,3159
"FNDC3A",625,3423,7985,4446,11303,4168,18992,4680
"FNDC3B",837,11555,7975,5358,19528,9520,40221,23726
"FNDC4",53,54,118,95,99,50,605,226
"FNDC5",18,411,27,37,34,81,176,70
"FNDC7",8,34,33,88,13,19,64,3
"FNDC8",3,2,14,1,3,0,4,8
"FNDC9",6,2,3,0,7,4,2,6
"FNIP1",878,9134,7753,5009,6588,3371,13260,7062
"FNIP2",577,5514,5450,6519,10388,4484,13764,7464
"FNTA",307,3944,2255,1340,1369,655,2709,1729
"FNTB",42,851,415,425,349,181,483,442
"FOCAD",617,11501,5490,3222,6162,2932,14158,3870
"FOLH1",113,296,586,352,953,716,967,279
"FOLR1",17,648,13,26,0,8,6,3
"FOLR2",173,665,347,315,826,402,2224,169
"FOLR3",0,10,1,1,1,19,3,10
"FOS",6377,10057,2450,3943,17401,17093,29790,1216
"FOSB",6200,2140,325,1155,8998,5037,10427,307
"FOSL1",110,214,212,1289,286,114,559,118
"FOSL2",2311,4414,3645,5508,7127,3879,17732,8431
"FOXA1",221,127,620,7389,2851,6789,2675,6839
"FOXA2",0,151,11,739,0,0,1,904
"FOXA3",1,12,31,6,5,3,9,231
"FOXB1",6,4,1,4,0,6,6,14
"FOXB2",2,2,1,8,0,4,0,0
"FOXC1",1525,1215,7863,17919,5269,1939,12772,4875
"FOXC2",21,43,124,597,107,157,686,503
"FOXD1",426,12,263,1205,303,107,625,29
"FOXD2",61,197,104,56,33,16,44,74
"FOXD3",24,2,28,5,107,93,190,79
"FOXD4",458,227,1076,2024,283,207,274,179
"FOXD4L1",253,96,533,249,108,191,114,205
"FOXD4L3",100,24,106,90,42,9,0,34
"FOXD4L4",65,50,869,196,99,79,44,209
"FOXD4L5",45,32,603,48,29,18,7,184
"FOXD4L6",18,3,61,14,20,4,1,30
"FOXE1",0,41,51,10,253,158,190,2218
"FOXE3",0,180,1,3,2,0,7,3
"FOXF1",15,407,42,35,73,101,281,147
"FOXF2",5,564,111,333,36,60,181,35
"FOXG1",57,2757,13758,17,11,16,843,1223
"FOXH1",16,84,30,96,3,6,22,17
"FOXI1",5691,326,6533,2876,2461,109,1408,65
"FOXI2",240,384,540,689,477,300,335,41
"FOXI3",6,60,10,240,7,1,12,29
"FOXJ1",1242,509,682,34,7,8,23,518
"FOXJ2",622,2994,1734,2425,1792,1269,4469,3244
"FOXJ3",574,4765,4534,3312,3767,1598,7786,6599
"FOXK1",4971,4841,4913,13545,9593,7808,13999,21687
"FOXK2",4096,8769,12239,10570,6300,7083,10273,35184
"FOXL1",5,54,60,233,46,70,220,256
"FOXL2",132,2,2,65,0,1,6,6
"FOXL2NB",94,4,8,15,0,0,12,2
"FOXM1",3049,6654,4290,6756,2933,3680,5941,86662
"FOXN1",2879,9097,5376,1986,5625,4983,9515,1073
"FOXN2",88,1119,1402,638,3467,664,5013,2649
"FOXN3",3724,4218,10743,10686,5820,3847,11570,3068
"FOXN4",182,1039,73,83,3,69,26,2
"FOXO1",646,1562,6567,2553,5771,4285,15357,3417
"FOXO3",1878,6462,4868,5401,5099,2994,8411,6223
"FOXO4",351,631,1250,1415,992,625,1958,1178
"FOXO6",175,569,490,345,222,293,190,1141
"FOXP1",909,2201,12353,12061,17590,8289,39065,5070
"FOXP2",2578,433,3379,34,12655,2049,16120,3672
"FOXP3",85,393,237,56,834,558,534,1724
"FOXP4",4593,6033,7587,6775,6215,6242,4746,3856
"FOXQ1",118,892,114,142,334,3497,1076,3051
"FOXR1",1,3373,1,1,1,0,3,0
"FOXR2",0,0,0,0,0,0,1,0
"FOXRED1",1641,2210,2303,2573,1460,1382,2171,3615
"FOXRED2",1707,3579,2703,5243,2878,2057,3942,9815
"FOXS1",153,192,278,168,239,260,598,145
"FPGS",2006,3634,3618,4931,3081,1873,6085,3981
"FPGT",17,1342,1286,294,1201,431,1949,622
"FPGT-TNNI3K",0,49,30,0,55,13,26,11
"FPR1",72,407,377,244,1089,841,1782,730
"FPR2",17,71,11,26,219,177,193,123
"FPR3",298,2096,1272,338,5114,1708,2395,4115
"FRA10AC1",181,550,1174,372,922,580,1319,856
"FRAS1",1096,29930,5227,1090,6593,52309,15848,18728
"FRAT1",36,43,86,338,119,48,222,104
"FRAT2",415,40,238,1241,144,83,265,280
"FREM1",212,3654,849,217,875,147,3225,419
"FREM2",44,1328,70,215,97,78,484,26
"FREM3",5,3849,0,2,10,12,50,0
"FRG1",275,1162,1211,689,717,364,952,735
"FRG2",0,0,4,3571,1,3,3,0
"FRG2B",1,0,8,51,0,0,2,12
"FRG2C",2,14,9,33,0,1,0,0
"FRK",267,763,1083,898,4924,4205,3338,3677
"FRMD1",96,6843,295,3,976,849,771,1051
"FRMD3",109,2661,327,173,1081,587,2544,187
"FRMD4A",292,8888,2045,1847,6968,14681,10453,14386
"FRMD4B",111,1269,1221,692,1419,1689,5099,1088
"FRMD5",33,295,81,431,31,40,168,27
"FRMD6",118,3975,2787,2410,1684,1246,6779,3735
"FRMD7",23,2,21,1,0,0,1,15
"FRMD8",1413,2083,2771,4923,1501,1189,2356,3087
"FRMPD1",18,943,21,5,9,68,48,19
"FRMPD2",96,14,59,0,4,25,14,7
"FRMPD3",23,629,299,745,4025,1658,1442,196
"FRMPD4",1,534,4,1,84,881,435,18
"FRRS1",100,753,1194,359,3018,965,3614,2978
"FRRS1L",13,128,3,28,3,1,2,36
"FRS2",321,1188,2526,1128,1593,1293,4103,2085
"FRS3",317,1421,800,750,409,266,637,920
"FRY",322,4110,3756,29675,5947,11851,20794,7105
"FRYL",1846,9760,21147,20069,16073,6637,31292,22004
"FRZB",57,447,261,476,376,192,1077,110
"FSBP",0,43,17,13,10,9,11,42
"FSCB",1,9,0,5,0,0,1,3
"FSCN1",3388,3471,2053,6454,3671,6845,6394,48014
"FSCN2",455,1322,592,452,106,161,319,57
"FSCN3",6,4,52,32,18,42,65,24
"FSD1",9,393,2,2882,74,23,59,141
"FSD1L",14,840,348,390,180,223,428,434
"FSD2",11,41,10,0,6,3,5,8
"FSHB",0,2,1,0,0,0,0,0
"FSHR",2,0,0,0,4,1,11,0
"FSIP1",1,114,22,57,14,28,63,42
"FSIP2",452,1002,7734,17,83,73,8653,2265
"FST",64,155,275,32,534,128,1111,589
"FSTL1",817,5027,3103,2284,3919,2295,17344,1125
"FSTL3",102,313,559,272,336,1928,960,926
"FSTL4",223,1382,766,96,1066,257,958,1795
"FSTL5",3,68,10,0,0,58,11,24
"FTCD",8,125,31,149,42,11,78,1206
"FTCDNL1",0,1,1,0,0,0,0,0
"FTH1",14281,87042,56553,30552,47809,45235,89470,120996
"FTHL17",0,0,0,0,0,0,0,0
"FTL",24509,55278,27926,22046,36916,30034,58086,68826
"FTMT",1,0,0,0,0,0,0,0
"FTO",361,2652,1551,2607,1910,1139,5335,2498
"FTSJ1",658,2336,1736,1999,1307,969,2232,2216
"FTSJ3",2241,6925,6395,5474,4220,5239,5810,8689
"FUBP1",1527,7442,12859,8924,11673,5218,18296,8060
"FUBP3",1339,4931,4540,3911,2663,1838,5848,3353
"FUCA1",245,3365,1767,778,1875,673,2404,1968
"FUCA2",464,6380,2810,1940,2288,1081,3613,1467
"FUNDC1",145,829,551,362,726,452,943,465
"FUNDC2",283,1275,893,917,768,406,1695,849
"FUOM",39,1350,284,240,316,141,438,757
"FURIN",8682,4901,11240,7639,4030,2385,6614,10784
"FUS",12379,29480,36891,39281,28085,19091,46129,30021
"FUT1",437,1798,329,1856,157,271,395,3665
"FUT10",669,1419,1730,769,2150,1325,3866,3454
"FUT11",955,1245,1931,2060,1641,1039,3405,2765
"FUT2",20,199,37,105,50,82,109,609
"FUT3",1500,181,2357,741,5,60,72,122
"FUT4",128,868,286,252,782,741,1168,1607
"FUT5",6,3,10,0,0,2,0,0
"FUT6",986,60,1517,117,9,9,46,118
"FUT7",0,40,10,8,116,11,82,34
"FUT8",106,5146,1578,623,4648,1015,6007,4681
"FUT9",0,111,1,78,58,80,144,0
"FUZ",1974,392,1677,2676,928,693,1225,1294
"FXN",652,1233,1705,2979,2153,1222,3250,1878
"FXR1",1577,10017,7825,3773,5539,4127,11457,8640
"FXR2",1021,2553,2522,2383,2276,1202,3904,2407
"FXYD1",3,4,4,1,1,2,14,16
"FXYD2",49,31,246,273,765,5963,758,6924
"FXYD3",1714,100,3531,761,1950,1448,5326,4444
"FXYD4",2,68,0,0,0,0,0,1
"FXYD5",96,581,843,722,1190,470,3032,2133
"FXYD6",83,115,130,1441,855,154,677,103
"FXYD6-FXYD2",0,0,0,0,0,0,0,0
"FXYD7",0,2,3,0,7,0,25,3
"FYCO1",3054,3639,4268,8263,6453,3199,12772,3756
"FYN",283,3916,3127,2364,5689,2811,13935,3015
"FYTTD1",648,3500,1986,1523,2025,791,3607,2582
"FZD1",370,701,1288,1823,439,572,1876,791
"FZD10",372,23,258,660,24,23,84,74
"FZD2",55,1092,321,548,404,432,663,741
"FZD3",57,1828,605,1944,292,622,1896,1483
"FZD4",215,2253,1192,640,1449,565,5236,543
"FZD5",949,729,399,456,367,160,442,1554
"FZD6",1293,8380,7457,3239,3929,2527,9389,5610
"FZD7",593,384,553,429,1283,609,1812,3969
"FZD8",211,1808,642,844,285,335,870,740
"FZD9",5,290,16,48,10,34,26,671
"FZR1",2140,6137,2857,5646,1606,1105,2812,4297
"G0S2",36,147,63,1043,262,262,438,116
"G2E3",199,2735,1765,1114,2173,1206,2781,1882
"G3BP1",3622,8704,11479,8285,8750,6007,11913,8451
"G3BP2",3228,4920,5179,4983,5160,3359,8720,5766
"G6PC",0,0,0,1,0,0,0,2171
"G6PC2",0,3,0,0,0,0,3,0
"G6PC3",1216,5196,3035,2073,1484,1739,2762,4177
"G6PD",1922,11185,3643,9498,3303,1651,4996,4254
"GAA",9103,11012,10072,11319,5011,2808,8479,6200
"GAB1",270,3539,2236,2883,2551,1135,6786,2753
"GAB2",2053,1134,10839,1459,2816,1064,4771,1327
"GAB3",75,586,400,140,1149,635,1584,871
"GAB4",0,0,0,0,0,0,0,0
"GABARAP",516,1274,1683,771,1138,575,1791,682
"GABARAPL1",289,655,752,504,693,558,2437,1015
"GABARAPL2",212,853,770,589,942,609,2062,525
"GABBR1",2475,1410,8465,2571,6079,5448,12847,8248
"GABBR2",8,50,3,7,9,22,31,2940
"GABPA",220,2144,2924,1610,1841,678,3033,1638
"GABPB1",96,989,1212,955,1446,669,2288,1728
"GABPB2",269,971,3933,1520,3754,1206,5504,1353
"GABRA1",0,1678,0,1,5,1,0,4
"GABRA2",0,117,11,6,13,0,109,6
"GABRA3",17,1154,269,238,1,53,0,70
"GABRA4",4,21,92,127,706,2489,1342,4
"GABRA5",202,3171,9,1,0,45,9,1088
"GABRA6",0,1,1,0,0,1,1,0
"GABRB1",0,39,2,0,63,281,95,0
"GABRB2",4,2655,161,20,61,35,201,82
"GABRB3",292,1397,61,356,752,8,72,2069
"GABRD",43,984,173,492,47,53,322,56
"GABRE",208,674,6389,6252,727,253,3324,4799
"GABRG1",2,1,1,0,7,0,2,0
"GABRG2",0,0,0,0,128,2,262,418
"GABRG3",9,67,17,85,214,1,198,2442
"GABRP",172,124,217,178,361,817,464,351
"GABRQ",38,235,226,250,5,21,5,46
"GABRR1",31,221,85,308,194,137,154,301
"GABRR2",12,209,126,254,267,129,445,161
"GABRR3",4,1,1,14,0,0,0,0
"GAD1",31,27,125,19,868,2214,1103,959
"GAD2",6,8,2,20,10,16,8,0
"GADD45A",847,662,1642,12877,2089,6685,4893,2866
"GADD45B",410,912,730,523,1328,1221,2369,1310
"GADD45G",321,978,461,1833,155,399,302,428
"GADD45GIP1",1132,4381,1748,2248,1099,1047,1484,2079
"GADL1",0,15,1,0,1,1,13,0
"GAGE1",0,1,0,0,0,0,0,0
"GAGE10",15,6,16,8,5,0,10,7
"GAGE12B",0,0,0,0,0,0,0,0
"GAGE12C",0,0,0,0,0,0,0,0
"GAGE12D",0,0,0,0,0,0,0,0
"GAGE12E",0,0,0,0,0,0,0,0
"GAGE12H",0,0,0,0,0,0,0,0
"GAGE13",0,0,0,0,0,0,0,0
"GAGE2E",13,7,12,0,0,0,0,0
"GAK",9606,9668,11959,18051,14142,9403,21966,18919
"GAL",73,763,39,1,0,40,27,167
"GAL3ST1",2,75,18,18,0,6,8,25
"GAL3ST2",940,593,2542,208,315,30,181,32
"GAL3ST3",0,147,2,55,0,14,4,0
"GAL3ST4",351,1469,1081,1929,1500,948,1672,823
"GALC",88,5655,2208,1350,2617,1033,4893,1744
"GALE",91,1331,329,2142,292,215,485,737
"GALK1",362,1256,722,943,443,294,752,1471
"GALK2",173,1767,1914,2844,2205,1172,4362,3026
"GALM",84,439,202,56,903,430,1049,781
"GALNS",564,2626,1658,3010,1410,1018,3167,2204
"GALNT1",317,5677,7312,2958,5056,2081,10940,6124
"GALNT10",365,1399,1741,1222,1242,830,4330,1156
"GALNT11",1050,9232,4373,6862,9523,6229,17247,18732
"GALNT12",199,193,1847,1646,320,527,1342,424
"GALNT13",66,576,765,506,90,130,396,9
"GALNT14",46,594,1350,11834,1090,639,1186,5
"GALNT15",73,134,705,68,418,414,4973,276
"GALNT16",31,190,914,1234,129,110,768,54
"GALNT18",527,6650,1988,1107,1407,1017,3385,4719
"GALNT2",1050,13543,4363,5150,4482,2871,9290,13021
"GALNT3",38,2011,806,1217,458,245,798,1025
"GALNT4",23,62,93,108,56,46,66,173
"GALNT5",3,332,584,2972,419,247,1663,92
"GALNT6",1845,2080,1118,1373,901,558,1143,1683
"GALNT7",387,1185,1882,1005,517,654,1797,402
"GALNT8",5,7,15,7,35,36,43,33
"GALNT9",43,2108,54,16,1,17,27,13
"GALNTL5",0,1,0,1,0,5,0,0
"GALNTL6",1,36,5,0,9,12,79,5
"GALP",0,22,0,1,1,0,0,0
"GALR1",0,1,0,1,0,0,49,2
"GALR2",1,16,1,45,0,1,0,5
"GALR3",1,1,13,17,2,3,2,11
"GALT",1056,6436,1766,1723,2050,1672,3519,2043
"GAMT",822,4376,4073,1057,389,344,1024,598
"GAN",79,859,543,1333,337,233,1175,992
"GANAB",6850,20108,13904,16134,11746,8241,18586,15678
"GANC",414,3515,3761,4642,5357,2570,9457,4570
"GAP43",6,5,28,347,34,23,177,189
"GAPDH",82453,141940,163198,78638,31830,43748,87340,1349478
"GAPDHS",4,2,0,4,0,0,17,2
"GAPT",2,7,138,1,175,46,342,59
"GAPVD1",1534,7550,7231,4667,4964,3365,11559,7544
"GAR1",450,763,663,570,453,229,498,638
"GARNL3",207,1812,1610,1032,755,497,2053,4223
"GART",4416,9863,16774,13747,10823,6174,19429,11988
"GAS1",220,2185,503,75,470,634,3787,286
"GAS2",22,1445,58,86,44,84,73,103
"GAS2L1",1803,788,2538,1232,1182,653,2396,4520
"GAS2L2",10,6,8,17,8,3,53,20
"GAS2L3",130,1987,1146,829,452,343,1367,2675
"GAS6",8202,17368,11356,7913,14624,5967,30354,2186
"GAS7",426,1129,1978,310,1097,539,2652,845
"GAS8",1161,3163,1083,3616,730,545,1931,1546
"GAST",6,0,10,2,0,0,0,0
"GATA1",10,0,0,2,0,3,5,2
"GATA2",35,350,150,1684,108,59,627,132
"GATA3",117,249,236,212,848,291,1231,5751
"GATA4",153,1,7,0,4,6,12,119
"GATA5",0,8,13,2,4,2,0,16
"GATA6",452,362,686,648,930,553,1674,1252
"GATAD1",304,2426,2193,1104,1332,769,2338,1485
"GATAD2A",3083,5460,6305,7906,3533,2098,7993,7604
"GATAD2B",1427,4455,6981,6022,6630,3817,10669,6026
"GATB",521,1415,1213,1380,1103,791,1497,1241
