"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"ACOX2",18,34,6,44,28,0
"ACOX3",196,1543,187,364,2187,1976
"ACOXL",0,0,0,0,0,0
"ACP1",294,1074,337,826,957,260
"ACP2",972,645,770,520,656,0
"ACP5",3105,737,977,134,139,829
"ACP6",213,344,135,433,182,1
"ACR",0,0,0,0,0,0
"ACRBP",49,4,47,0,3,0
"ACRV1",0,0,9,0,0,0
"ACSBG1",2,10,0,0,3,0
"ACSBG2",3,0,0,0,0,0
"ACSF2",74,273,155,305,151,2
"ACSF3",104,88,122,62,164,7
"ACSL1",398,648,139,45,271,38
"ACSL3",730,19043,851,5359,2245,3
"ACSL4",283,33,315,220,505,4
"ACSL5",356,65,96,56,157,1
"ACSL6",18,1,1,0,1,0
"ACSM1",0,1777,0,34,30,0
"ACSM2A",6,0,0,0,0,0
"ACSM2B",5,0,0,0,0,0
"ACSM3",11,18,13,32,25,10
"ACSM4",3,0,0,0,0,0
"ACSM5",61,0,4,0,183,0
"ACSM6",3,1,0,0,0,0
"ACSS1",648,1192,299,1314,1199,0
"ACSS2",327,593,280,151,267,0
"ACSS3",28,721,33,6,114,0
"ACTA1",2,0,0,13,26,0
"ACTA2",3564,2369,11308,2829,19371,3378
"ACTB",4351,2905,4951,3652,5947,1273
"ACTBL2",0,0,0,0,0,0
"ACTC1",0,0,2,0,20,8
"ACTG1",9499,750,10011,8389,15510,1127
"ACTG2",34,21,64,0,352,59
"ACTL10",7,19,81,54,97,0
"ACTL6A",83,73,48,89,215,0
"ACTL6B",0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0
"ACTL8",0,232,9,0,57,0
"ACTL9",0,0,0,0,0,0
"ACTN1",5233,288,6112,3858,2901,1586
"ACTN2",11,35,1,11,2,0
"ACTN3",0,0,0,0,0,0
"ACTN4",3010,768,3050,3798,1573,3352
"ACTR10",416,947,794,826,939,378
"ACTR1A",611,1922,1229,1174,1900,2996
"ACTR1B",732,1310,1083,1360,1953,81
"ACTR2",1098,1003,1684,2095,1128,262
"ACTR3",681,299,520,425,484,1
"ACTR3B",100,108,49,220,110,0
"ACTR3C",17,33,20,0,18,0
"ACTR5",37,1,21,4,6,0
"ACTR6",61,128,46,151,57,0
"ACTR8",86,114,98,81,324,0
"ACTRT1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",5,28,19,0,10,93
"ACVR1",154,1,75,26,49,0
"ACVR1B",261,614,529,680,334,0
"ACVR1C",55,0,7,19,0,0
"ACVR2A",41,93,149,50,133,0
"ACVR2B",48,16,88,62,22,0
"ACVRL1",381,133,428,151,267,0
"ACY1",2,20,4,0,5,0
"ACY3",12,39,3,0,8,0
"ACYP1",29,66,28,122,26,0
"ACYP2",17,53,56,11,58,0
"ADA",162,185,86,0,368,0
"ADAD1",0,0,0,0,0,0
"ADAD2",13,0,7,0,0,0
"ADAL",91,301,164,294,88,3872
"ADAM10",410,205,302,304,251,0
"ADAM11",5,0,6,0,0,0
"ADAM12",1146,76,5251,1477,2208,2782
"ADAM15",365,2345,918,2445,644,2840
"ADAM17",640,268,620,490,719,1
"ADAM18",0,0,0,0,0,0
"ADAM19",207,4,343,93,613,27
"ADAM2",0,0,0,0,0,0
"ADAM20",15,0,20,36,0,0
"ADAM21",0,4,0,0,0,0
"ADAM22",20,16,1,12,35,0
"ADAM23",47,6,36,0,47,0
"ADAM28",221,28,42,240,37,0
"ADAM29",3,0,0,0,13,0
"ADAM30",0,0,0,0,0,0
"ADAM32",8,0,0,0,113,0
"ADAM33",155,0,62,0,76,0
"ADAM7",0,0,0,0,0,0
"ADAM8",1023,5,905,1206,323,20
"ADAM9",149,126,42,54,545,0
"ADAMDEC1",239,0,9,0,19,0
"ADAMTS1",35,8,17,66,28,13
"ADAMTS10",69,62,243,127,152,0
"ADAMTS12",159,255,2352,483,3008,885
"ADAMTS13",37,84,11,72,43,0
"ADAMTS14",63,13,339,130,421,2
"ADAMTS15",123,19,110,239,74,0
"ADAMTS16",66,3,445,65,329,19
"ADAMTS17",4,88,21,98,35,0
"ADAMTS18",13,25,3,0,1,0
"ADAMTS19",0,0,0,0,3,0
"ADAMTS2",426,43,1738,127,1455,310
"ADAMTS20",0,0,0,0,0,0
"ADAMTS3",6,17,3,0,8,0
"ADAMTS4",202,66,370,423,773,2466
"ADAMTS5",230,120,490,0,186,138
"ADAMTS6",12,0,29,0,22,0
"ADAMTS7",48,37,528,199,205,14
"ADAMTS8",35,30,0,0,43,1
"ADAMTS9",39,28,113,25,102,0
"ADAMTSL1",50,11,51,1,24,0
"ADAMTSL2",39,30,204,150,74,1036
"ADAMTSL3",6,4,19,68,36,1
"ADAMTSL4",81,0,33,12,53,0
"ADAMTSL5",16,17,73,8,24,0
"ADAP1",19,0,89,88,52,1
"ADAP2",646,122,616,175,187,588
"ADAR",1733,247,1874,3879,1914,5
"ADARB1",303,132,227,52,321,0
"ADARB2",1,0,0,0,0,0
"ADAT1",121,60,197,193,292,0
"ADAT2",177,379,106,15,142,0
"ADAT3",0,0,0,0,0,0
"ADCK1",51,238,59,104,24,0
"ADCK2",340,302,425,974,329,167
"ADCK5",32,47,106,0,236,1371
"ADCY1",20,0,112,0,492,0
"ADCY10",0,0,0,0,17,0
"ADCY2",18,4171,9,37,53,0
"ADCY3",432,168,140,47,477,31
"ADCY4",195,21,96,220,169,0
"ADCY5",27,0,31,11,84,0
"ADCY6",26,0,15,62,7,0
"ADCY7",324,24,172,83,80,81
"ADCY8",0,0,0,0,0,0
"ADCY9",56,42,34,15,53,0
"ADCYAP1",15,0,6,0,2,0
"ADCYAP1R1",6,14,16,59,13,0
"ADD1",567,775,597,866,1067,1088
"ADD2",83,0,54,0,53,0
"ADD3",459,540,387,45,207,2
"ADGB",0,0,0,0,0,0
"ADGRA1",0,0,0,0,0,0
"ADGRA2",279,8,244,149,202,0
"ADGRA3",28,5,50,0,74,10
"ADGRB1",8,0,11,8,5,0
"ADGRB2",1,1,66,459,67,1
"ADGRB3",7,0,10,0,0,0
"ADGRD1",22,0,3,35,27,3
"ADGRD2",0,1,0,0,0,2
"ADGRE1",16,0,0,0,7,0
"ADGRE2",107,2,43,0,58,7
"ADGRE3",0,0,0,0,0,0
"ADGRE5",1125,284,423,341,468,36
"ADGRF1",33,0,10,0,7,0
